@relation 'NeuroticismFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-27,29-46,48-69,71-73,75-83,85-93,96,99'

@attribute number numeric
@attribute differ numeric
@attribute work numeric
@attribute relig numeric
@attribute Comma numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cNEU {y,n}

@data
10.08,1.16,5.81,0.39,3.1,95,4143.03,0.05,4239,0.16,n
2.79,2.79,2.79,0.47,3.26,243,27562,0.03,28498,0.15,y
2.71,3.17,2.15,0.57,2.15,1118,614830,0,622150,0.01,y
0.79,3.15,2.36,0,0,85,2972.73,0.1,3201,0.37,n
0,0,0,0,10,361,60937.4,0.03,63195,0.22,n
3.77,0.94,1.89,0,2.83,216,19345.4,0.06,21766,0.33,n
2.06,1.55,3.09,0.17,3.26,962,446252,0.01,456202,0.11,n
1.01,5.05,0,1.01,4.04,559,152219,0.01,153896,0.08,n
1.65,3.85,1.37,0.55,4.4,238,27449.6,0.01,27822,0.04,y
1.96,0,0.98,0,0,138,8926.11,0.04,9061,0.17,n
1.51,3.73,1.4,0.47,4.07,431,91298.5,0.01,91701,0.03,n
1.97,3.24,2.72,0.22,3.9,236,25651.9,0.03,26805,0.18,y
0,1.56,0,0.78,2.72,1071,565761,0.01,569584,0.03,n
0,0,0,0,0,187,16580.2,0.03,16845,0.12,n
1.41,2.92,1.41,0.4,4.84,477,111206,0.01,112134,0.06,n
1.02,3.06,4.08,4.08,2.04,361,58695.3,0.02,63826,0.05,y
2.54,2.54,5.58,0,1.52,497,116529,0.02,120779,0.13,n
0,0,0,0,3.45,99,4243.83,0.04,4660,0.06,y
1.85,4.32,2.16,0,2.16,831,338383,0.01,341154,0.07,n
1.81,4.35,2.61,0.19,4.61,278,27967.7,0.04,36786,0.21,n
2.5,1.25,0,0,8.12,374,64849.8,0.03,67740,0.19,y
0,0,0,0,3.45,99,4201.5,0.03,4687,0.04,y
4.35,1.17,3.18,0.84,2.17,46,967.5,0.06,976,0.04,n
4.8,2,2,1.2,2,405,78205,0.01,81253,0.01,n
0,0,0,0,4,381,68247.6,0.03,70505,0.16,y
4.88,0,3.66,0,2.44,56,1205.1,0.12,1362,0.31,n
2.97,2.43,1.35,0.81,5.95,367,46193.6,0.06,62940,0.33,n
0,0,2.7,0,2.7,139,8137.73,0.08,8817,0.39,n
2.23,3.17,1.88,0.35,2.23,584,164031,0.02,167499,0.12,y
10.22,2.92,0,0,5.84,1043,532379,0.01,538780,0.06,n
0.93,1.87,0,0,4.67,457,99059.2,0.03,101166,0.26,y
3.25,2.17,3.61,0.36,0.96,695,238038,0.01,239033,0.05,n
3.26,2.17,0,0,2.17,255,30917.9,0.03,31439,0.19,y
2.51,2.76,3.76,0.67,2.84,40,732.5,0.06,734,0.03,n
2.46,2.11,1.4,0.7,3.86,277,36015.4,0.03,36920,0.21,n
0,14.29,14.29,0,0,378,67968.2,0.02,69841,0.09,n
1.93,3.38,2.9,0,2.42,167,13037.8,0.04,13281,0.21,y
1.13,4.52,0.56,0,3.39,197,15938.2,0.07,17908,0.36,y
0,8.7,2.17,0,4.35,119,5588.16,0.1,6340,0.37,y
1.75,2.79,2.62,0.35,4.19,262,32959,0.02,33381,0.13,y
3.85,0,0,0,3.85,563,153582,0.01,156035,0.08,n
0.75,2.26,10.53,0,10.53,266,31169.8,0.03,34191,0.11,y
1.14,0,2.27,0,1.14,1267,767221,0,798934,0.01,n
1.17,2.92,0.97,1.56,6.61,318,49024.8,0.02,49584,0.06,y
2.84,2.52,1.64,0.22,3.94,130,7666.67,0.05,7938,0.22,y
4.56,2.28,3.8,0.76,2.66,288,39168,0.02,40303,0.13,y
3.84,1.24,2.03,0.23,1.58,322,49274,0.02,50466,0.12,n
3.23,0,1.61,0,0,595,172875,0.01,174859,0.05,n
0,3.7,3.7,0,0,294,39642.4,0.04,41550,0.21,y
0.62,2.5,1.88,0,1.88,333,53583.4,0.02,54306,0.07,n
0,0,7.69,0,0,194,18123.1,0.02,18313,0.06,n
0.9,2.71,0,0.45,1.81,174,13616.8,0.05,14360,0.19,n
1.3,3.9,1.3,0,7.79,176,14764.9,0.03,14973,0.09,y
1.44,3.6,0.72,0,0.72,1323,871606,0,872305,0.01,n
0,3.36,3.36,0.67,6.71,38,648.17,0.07,653,0.06,y
1.32,2.63,2.63,0,3.95,947,442522,0.01,444948,0.03,n
1.63,2.69,1.81,0.12,2.69,175,14120.1,0.04,14554,0.22,y
0,0,0,0,0,274,36363.3,0.02,36794,0.04,n
0,8.33,0,0,0,134,8096.6,0.07,8311,0.35,y
15.38,0,12.82,0,5.13,622,184474,0.02,189353,0.21,n
4.02,1.15,4.6,0,1.15,257,24340.7,0.05,31404,0.16,n
6.83,2.61,1.41,0.6,0.8,413,82803.9,0.02,83757,0.07,n
0,2.94,1.47,1.47,0,1226,729549,0,749015,0,n
1.25,1.25,1.25,0,0,141,8399.66,0.07,9196,0.31,y
0,0,0,0,0,415,84621.1,0.01,84969,0.04,y
1.38,3.92,1.15,2.76,1.38,84,3223.35,0.06,3287,0.15,y
1.13,4.25,1.98,1.42,4.53,446,95134.1,0.02,97416,0.1,y
2.16,3.53,1.44,0.39,4.64,253,26645.7,0.07,29632,0.39,n
3.79,2.68,4.24,0.22,4.02,213,20225.1,0.07,21100,0.44,n
3.61,2.41,2.41,0,6.02,343,56515.9,0.02,57442,0.1,n
0,0,0,0,0,295,42927.7,0.01,42998,0.01,y
4.42,4.42,0,0,0.88,443,92762.5,0.02,95665,0.15,y
0,0,0,0,7.14,329,49454.7,0.03,52282,0.17,y
0,21.05,0,0,0,714,245021,0.02,250442,0.16,y
0,1.23,1.23,0,0,478,111885,0.01,113210,0.02,n
4.23,1.59,1.59,0,3.17,61,1761,0.04,1761,0.02,n
1.12,2.79,0.56,2.79,1.68,166,12689.4,0.04,13137,0.17,y
2.04,0,4.08,2.04,2.04,494,117689,0.01,119963,0.08,n
2.38,3.75,2.25,0.75,1.5,955,441841,0.01,450439,0.08,n
1.12,3.37,2.25,0,5.62,436,90799.3,0.02,92952,0.11,y
0,0,0,0,0,94,3706.68,0.09,3973,0.39,y
0,4.6,3.45,2.3,4.6,542,138053,0.01,145576,0.01,y
0,0,0,0,0,321,48543.8,0.03,49782,0.22,n
0,0,0,22.22,0,70,1969.99,0.1,2172,0.29,y
7.14,0,0,0,0,447,95181.3,0.02,97635,0.13,y
0,0,0,0,0,149,10140.3,0.04,10581,0.11,y
0,8.33,0,8.33,0,161,11667.8,0.05,12225,0.26,y
0.88,5.26,3.95,0,5.26,325,49975.1,0.03,51220,0.18,y
2.82,2.82,5.63,0,1.41,297,41728.8,0.03,42826,0.17,y
0.93,4.06,1.99,0.43,5.62,231,22856.8,0.06,24946,0.36,n
4.26,0,2.13,4.26,0,65,1696.85,0.1,1876,0.28,y
0,0,0,0,0,451,98153.1,0.02,99733,0.12,n
0,0,0,0,0,36,185.71,0.4,377,0.63,n
0,0,0,0,9.09,83,2935.76,0.08,3120,0.26,y
0,0,7.69,0,0,154,11424.5,0.02,11510,0.05,y
0,0,0,0,0,539,138337,0.02,142460,0.13,y
3.03,6.06,3.03,0,3.03,535,133010,0.02,139855,0.15,n
2.19,1.46,1.09,0,1.82,285,39451.6,0.02,39856,0.04,y
1.5,2.43,2.21,0.29,3.39,356,59578.9,0.03,61533,0.17,n
1.43,0,2.14,0,0,222,17150.1,0.09,22359,0.34,n
3.1,1.94,2.71,0,3.49,145,9755.34,0.04,10042,0.14,n
2.57,2.18,2.18,0.4,3.76,739,267574,0.01,270029,0.07,n
2.37,2.82,3.38,0.11,2.48,145,10258,0.02,10272,0.01,y
2.43,3.41,2.01,0.61,4.26,633,196606,0.01,198186,0.07,n
1.83,3.44,1.37,0.69,2.18,332,51211.9,0.03,53309,0.16,n
2.17,2.71,1.94,0.27,5.59,50,1146.83,0.06,1150,0.08,y
3.4,1.94,2.91,0.97,3.4,628,193156,0.01,194779,0.05,n
2.26,1.61,4.35,0.97,1.45,89,3755.17,0.03,3804,0.02,n
3.53,3.53,0,0,1.18,1225,743530,0,746216,0.02,n
3.12,0.24,2.64,0.24,8.39,731,264627,0.01,265324,0.02,n
3.11,1.52,1.52,0.41,3.18,899,396675,0.01,400536,0.03,y
1.5,2.94,1.77,0.52,6.02,376,68180.7,0.02,69300,0.08,n
2.52,1.53,4.25,0.13,1.2,102,4359.8,0.09,4668,0.36,y
1.43,1.43,2.86,0,1.43,322,50065.9,0.02,50696,0.1,n
2.92,3.89,3.16,0.73,2.19,385,62433.4,0.02,72697,0.04,n
3.58,2.15,1.08,0,3.23,644,203058,0.01,204908,0.05,n
2.4,2.23,2.23,0,1.71,457,100045,0.02,102101,0.16,n
1.4,2.18,0.92,3.8,4.23,254,30611.8,0.02,31359,0.09,n
1.46,2.81,1.71,0.45,3.12,307,42793.6,0.04,45225,0.23,y
2.91,2.63,1.25,0.55,3.19,294,40662.7,0.03,41888,0.14,n
1.49,2.12,1.42,0.48,2.76,289,39253.6,0.03,40499,0.13,n
1.59,2.01,2.68,0.25,1.26,369,65119.5,0.02,66518,0.09,n
4.46,1.91,3.18,0.64,2.55,1264,780799,0.01,792237,0.06,n
1.13,1.01,2.93,0.34,4.62,57,1509.5,0.05,1522,0.03,y
2.56,2.24,1.28,1.28,0.32,290,40289.5,0.02,41037,0.08,n
1.8,1.96,2.43,0.71,4.15,198,17832.2,0.05,18495,0.29,y
2.42,2.75,5.05,0.39,3.08,171,12680.2,0.06,13671,0.28,n
2.9,3.26,0.72,1.09,7.25,326,50112.9,0.02,51706,0.11,n
2.68,2.79,3.82,0.16,1.26,241,27321.2,0.03,28150,0.11,n
11.76,0,0,0,0,177,14043.1,0.06,14643,0.36,y
2.54,3.81,2.72,0.18,4.17,464,103794,0.02,105666,0.08,n
1.94,4.16,4.85,0.14,3.05,265,33752.4,0.02,34425,0.03,n
1.47,1.63,1.78,0.7,4.26,102,4216.48,0.09,4694,0.32,n
0.44,2.63,2.63,0.44,6.14,802,313912,0.01,318280,0.04,y
1.37,3.12,0.98,0.2,4.49,122,6529.3,0.07,6893,0.26,y
0.7,2.52,2.41,1.01,4.63,216,21645,0.03,22428,0.15,y
1.4,3.79,1,0,1,315,48289.7,0.02,48683,0.06,n
1.24,2.07,1.45,0.16,4.62,1596,1251780,0.01,1263790,0.07,n
5.49,2.75,3.92,1.18,1.57,245,28355.6,0.03,29130,0.08,n
0.28,2.78,3.89,0.28,4.44,146,9777.14,0.05,10084,0.19,y
0,4.26,0,0,0,731,261379,0.01,264141,0.06,y
1.64,1.91,3.35,0.26,2.56,317,44228.9,0.03,48360,0.17,n
2.39,1.79,5.46,0.19,3.1,209,20582.2,0.03,21092,0.11,y
2.94,2.06,3.45,0.29,4.48,58,1054.67,0.08,1516,0.12,n
2.59,2.79,1.79,0.2,2.79,270,35195.6,0.02,35659,0.06,y
1.4,1.4,3.5,0.53,5.25,75,2650.67,0.04,2660,0.05,n
4.79,2.9,1.67,0.11,5.24,135,8479.96,0.04,8711,0.12,n
2.4,1.35,1.2,0.15,2.85,335,54004.8,0.02,54838,0.09,y
1.5,4.51,0.38,0,3.76,312,44661,0.05,46150,0.38,y
1.3,3.89,4.54,1.08,2.16,306,44142.5,0.03,45388,0.16,n
1.84,1.65,1.01,1.29,2.3,1460,1056550,0,1060480,0.03,y
2.06,2.85,1.58,0.13,1.58,300,43159,0.02,43968,0.07,n
2.41,2.69,3.99,0.07,1.79,775,290973,0.01,296174,0.08,n
2.99,2.99,0.75,0,0.75,381,70739.6,0.01,71416,0.04,n
0.97,1.45,0.48,0,3.38,573,154659,0.02,160407,0.18,n
2.35,1.81,2.77,0.21,2.24,332,51657.2,0.03,53320,0.2,n
2.31,1.54,6.15,0,3.85,950,438219,0.01,445454,0.09,y
2.48,3.5,2.77,0,1.17,354,59885.4,0.02,61142,0.1,y
1.44,2.52,2.88,0.59,4.32,463,103722,0.02,105113,0.13,n
1.22,3.67,1.1,0.61,4.65,256,30788.5,0.03,31646,0.16,n
4.79,1.5,2.1,0,0.3,1350,895790,0.01,904309,0.05,n
1.64,2.52,3.72,0.55,1.42,196,15523.1,0.06,17982,0.25,y
0.57,2.83,3.4,0.28,1.98,258,29260.8,0.07,30879,0.46,n
3.45,0.91,2.72,0,1.45,606,177453,0.01,180788,0.07,n
0.72,2.17,1.69,0.97,2.9,134,8649.25,0.02,8697,0.03,n
1.69,1.5,3.2,0.19,3.57,77,2830.5,0.03,2837,0.01,n
7.56,0.89,2.22,1.33,1.33,959,441049,0.01,453251,0.1,n
1.04,2.52,2.07,0.15,2.52,475,108866,0.02,110588,0.13,y
1.32,1.88,1.98,0.28,2.92,699,236036,0.01,240885,0.09,n
0.54,0.27,1.61,1.34,3.23,900,397632,0.01,400980,0.06,n
1.15,3.83,1.53,3.07,5.36,721,248889,0.02,255465,0.12,y
4.32,0.72,2.88,0,0,239,24116.1,0.05,26937,0.27,y
3.22,2.19,1.54,0.26,3.15,29,334.42,0.14,348,0.26,y
3.69,3.04,2.28,0.43,4.01,160,12180.8,0.03,12382,0.06,y
0.74,2.22,1.48,0,0,289,38381.5,0.03,40329,0.15,n
1.82,0.61,0.61,0.61,3.64,222,21894.7,0.04,23462,0.21,y
2.68,6.25,0.89,0,5.36,332,51669.8,0.03,53479,0.18,y
3.59,2.12,2.78,0.49,1.47,254,29724.9,0.04,30978,0.18,n
