@relation '5. OpennessFinder_Emotion Affect + SN Features'

@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cOPN {y,n}

@data
13.2,9.27,3.93,0.28,0.84,0.28,241,28030.7,97.74,0.02,28314,0.49,0.07,y
6.75,3.75,2.81,0,1.13,0,159,10831.2,87.33,0.04,12050,0.49,0.1,n
14.29,7.14,7.14,0,0,7.14,907,404895,98.76,0.01,407823,0.5,0.04,y
6.32,5.46,0.86,0,0,0.57,459,102508,97.95,0.01,103590,0.49,0.08,n
3.57,2.38,1.19,0,0,0,72,2015.24,81.1,0.12,2262,0.46,0.38,y
11.86,7.44,4.19,0.23,1.86,0.23,91,3763.98,93.98,0.05,3899,0.49,0.09,n
4.55,4.55,0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,n
4.74,2.63,2.11,0,0,0,144,6219.2,61.25,0.15,8791,0.43,0.48,y
6.79,4.18,2.44,0.35,0.35,0.7,126,7710.5,99.49,0.02,7729,0.5,0.01,y
8.16,2.04,6.12,0,0,0,414,84404.8,99.21,0.01,84584,0.5,0.04,y
6.39,2.83,3.51,0.18,2.2,0.18,89,3036.16,79.31,0.12,3452,0.45,0.43,y
0,0,0,0,0,0,82,2956.54,91.25,0.09,3036,0.47,0.38,n
9.2,4.83,4.27,0.27,2.03,0.66,169,12774.1,91.06,0.05,13457,0.48,0.28,n
10.12,8.07,2.04,0.49,0.39,0.58,41,762.5,97.76,0.07,765,0.49,0.06,y
4.41,2.65,1.76,0.18,0.53,0.71,440,94264.3,98.05,0.01,95323,0.5,0.05,n
8.7,4.35,4.35,0,0,0,77,2816.33,98.82,0.03,2824,0.5,0.03,y
5.66,5.03,0.63,0,0.16,0.16,24,225,88.93,0.13,241,0.48,0.12,y
7.78,2.22,5.56,0,1.11,3.33,565,156458,98.55,0.01,157750,0.5,0.03,y
10.46,9.03,1.43,0,0.66,0.33,159,10399.2,83.84,0.08,11611,0.47,0.43,n
3.15,2.32,0.75,0,0,0.08,775,289468,96.76,0.01,296135,0.49,0.07,y
5.88,4.41,1.47,1.47,0,0,379,66420.9,93.22,0.03,69191,0.49,0.27,y
6.6,3.55,3.05,0,0.51,1.02,826,338268,99.52,0,339027,0.5,0.01,y
4.93,3.76,1.17,0,0.47,0.47,175,14199.5,94.34,0.04,14654,0.49,0.17,y
4.75,3.26,1.48,0.3,0.3,0.3,486,115531,98.43,0.01,116816,0.5,0.03,y
9,4.8,4.2,0,2.25,0.45,302,43566.4,96.49,0.02,44428,0.49,0.1,y
7.47,5.06,2.41,0.72,0.24,0.48,322,47166.9,91.84,0.02,50780,0.49,0.04,n
7.5,4.77,2.66,0.27,0.82,0.61,436,90494.3,95.87,0.02,92933,0.49,0.1,y
3.09,3.09,0,0,0,0,127,7633,96.93,0.03,7743,0.49,0.08,y
0,0,0,0,0,0,1098,593081,98.66,0.01,598066,0.5,0.04,n
7.28,3.32,3.86,0.09,2.43,0.27,313,48253.6,99.46,0.01,48356,0.5,0.01,n
0,0,0,0,0,0,457,100985,97.34,0.01,102634,0.49,0.06,y
9.36,7.77,1.2,0,0.2,0.4,139,9100.53,96.27,0.04,9251,0.49,0.11,n
9.3,6.59,2.71,0.39,1.55,0.39,95,4143.03,94.78,0.05,4239,0.48,0.16,n
7.44,6.51,0.93,0,0.47,0,243,27562,94.52,0.03,28498,0.49,0.15,n
7.69,4.52,3.05,0.68,0.79,0.68,1118,614830,98.64,0,622150,0.5,0.01,y
7.09,4.72,2.36,0.79,0,0.79,85,2972.73,85.28,0.1,3201,0.46,0.37,n
0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,y
6.6,4.72,1.89,0,0,0.94,216,19345.4,84.09,0.06,21766,0.47,0.33,y
5.5,3.09,2.41,0,1.55,0.17,962,446252,96.74,0.01,456202,0.49,0.11,y
5.05,3.03,2.02,0,1.01,1.01,559,152219,97.95,0.01,153896,0.5,0.08,y
7.14,4.95,2.2,0,0,1.65,238,27449.6,98.15,0.01,27822,0.5,0.04,n
9.8,2.94,6.86,0,1.96,0.98,138,8926.11,95.81,0.04,9061,0.49,0.17,n
5.59,2.91,2.44,0.35,0.7,0.23,431,91298.5,98.98,0.01,91701,0.5,0.03,y
5.7,4.43,1.27,0.09,0.22,0.39,236,25651.9,93.3,0.03,26805,0.49,0.18,y
5.84,4.28,1.56,0,0,0.39,1071,565761,98.92,0.01,569584,0.5,0.03,y
0,0,0,0,0,0,187,16580.2,96.37,0.03,16845,0.49,0.12,y
6.75,3.33,3.33,0.1,0.81,0.5,477,111206,98.37,0.01,112134,0.5,0.06,n
15.31,12.24,3.06,0,0,2.04,361,58695.3,90.83,0.02,63826,0.49,0.05,y
5.08,3.05,2.03,0.51,1.02,0,497,116529,94.92,0.02,120779,0.49,0.13,n
3.45,3.45,0,0,0,0,99,4243.83,89.29,0.04,4660,0.49,0.06,y
5.86,2.47,3.4,0.31,0.93,0.31,831,338383,98.36,0.01,341154,0.5,0.07,y
6.31,3.78,2.46,0.23,1.17,0.34,278,27967.7,73.16,0.04,36786,0.48,0.21,y
3.12,3.12,0,0,0,0,374,64849.8,93.47,0.03,67740,0.49,0.19,y
17.24,3.45,13.79,6.9,6.9,0,99,4201.5,88.4,0.03,4687,0.49,0.04,y
6.69,3.01,3.51,0.17,0.5,0.67,46,967.5,97.73,0.06,976,0.49,0.04,y
7.2,5.2,2,0.8,0,0.4,405,78205,96.07,0.01,81253,0.5,0.01,y
8,4,4,0,0,0,381,68247.6,94.78,0.03,70505,0.49,0.16,y
8.54,3.66,4.88,2.44,1.22,2.44,56,1205.1,81.15,0.12,1362,0.46,0.31,y
11.08,7.57,3.51,0,1.62,0.54,367,46193.6,69.16,0.06,62940,0.47,0.33,y
10.81,5.41,5.41,0,0,2.7,139,8137.73,86.09,0.08,8817,0.47,0.39,y
6.7,4.35,2.35,0.12,1.06,0.35,584,164031,96.69,0.02,167499,0.49,0.12,n
6.57,2.92,3.65,0,0.73,0,1043,532379,98.16,0.01,538780,0.5,0.06,y
4.67,1.87,2.8,0,0,1.87,457,99059.2,95.49,0.03,101166,0.49,0.26,n
4.46,2.65,1.81,0.36,0.36,0.48,695,238038,98.99,0.01,239033,0.5,0.05,y
14.13,9.78,4.35,1.09,1.09,1.09,255,30917.9,96.22,0.03,31439,0.49,0.19,y
8.35,5.26,3.01,0.08,1.84,0.33,40,732.5,98.85,0.06,734,0.5,0.03,n
6.32,5.26,1.05,0.35,0,0.35,277,36015.4,94.9,0.03,36920,0.49,0.21,y
0,0,0,0,0,0,378,67968.2,95.9,0.02,69841,0.49,0.09,y
11.11,5.31,5.8,0.97,0.48,2.9,167,13037.8,95.2,0.04,13281,0.48,0.21,n
9.6,4.52,4.52,0,0.56,1.13,197,15938.2,83.4,0.07,17908,0.47,0.36,n
0,0,0,0,0,0,119,5588.16,80.95,0.1,6340,0.46,0.37,y
7.68,3.84,3.66,0.17,1.75,0.17,262,32959,97.14,0.02,33381,0.49,0.13,n
3.85,0,3.85,0,0,3.85,563,153582,97.43,0.01,156035,0.49,0.08,y
8.27,7.52,0.75,0,0.75,0,266,31169.8,89.11,0.03,34191,0.49,0.11,n
11.36,9.09,2.27,0,1.14,0,1267,767221,95.81,0,798934,0.5,0.01,y
7,5.25,1.36,0,0.58,0.19,318,49024.8,97.88,0.02,49584,0.49,0.06,n
7.77,4.49,3.06,0.22,0.98,0.33,130,7666.67,92.86,0.05,7938,0.48,0.22,y
7.6,5.32,2.28,0.38,0.76,1.52,288,39168,95.44,0.02,40303,0.49,0.13,y
9.37,7.11,2.14,0,0.9,0.11,322,49274,95.94,0.02,50466,0.49,0.12,n
6.45,6.45,0,0,0,0,595,172875,98.16,0.01,174859,0.5,0.05,y
11.11,3.7,7.41,0,3.7,3.7,294,39642.4,92.67,0.04,41550,0.49,0.21,n
8.12,5.62,2.5,0.62,1.25,0,333,53583.4,97.52,0.02,54306,0.49,0.07,n
15.38,15.38,0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
5.88,4.07,1.81,0.45,0.45,0,174,13616.8,91.52,0.05,14360,0.48,0.19,y
5.19,3.9,1.3,0,0,0,176,14764.9,96.98,0.03,14973,0.49,0.09,y
2.88,1.44,1.44,0,0,0,1323,871606,99.82,0,872305,0.5,0.01,y
7.38,6.71,0.67,0,0,0.67,38,648.17,97.32,0.07,653,0.49,0.06,y
6.58,5.26,1.32,0,1.32,0,947,442522,99,0.01,444948,0.5,0.03,y
6.83,4.44,2.34,0.58,0.18,0.53,175,14120.1,93.82,0.04,14554,0.48,0.22,n
33.33,33.33,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
16.67,8.33,8.33,0,0,0,134,8096.6,92.24,0.07,8311,0.47,0.35,n
0,0,0,0,0,0,622,184474,95.83,0.02,189353,0.49,0.21,n
4.02,0.57,3.45,0,0.57,1.15,257,24340.7,74.57,0.05,31404,0.48,0.16,y
11.45,8.23,3.01,0,0.8,0.4,413,82803.9,97.8,0.02,83757,0.49,0.07,y
10.29,7.35,2.94,0,1.47,0,1226,729549,97.31,0,749015,0.5,0,n
8.75,3.75,5,2.5,0,2.5,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,y
4.38,3.46,0.69,0,0.23,0.23,84,3223.35,94.72,0.06,3287,0.48,0.15,y
9.63,7.37,2.27,0.57,0.28,0.57,446,95134.1,96.3,0.02,97416,0.49,0.1,y
9.08,6.41,2.68,0.13,1.76,0.26,253,26645.7,84.25,0.07,29632,0.47,0.39,y
6.03,3.12,2.9,0.67,1.12,0.22,213,20225.1,90.43,0.07,21100,0.47,0.44,n
7.23,3.61,3.61,0,2.41,0,343,56515.9,96.92,0.02,57442,0.49,0.1,y
4,0,4,0,0,0,295,42927.7,99.67,0.01,42998,0.5,0.01,y
7.08,3.54,3.54,0,1.77,0.88,443,92762.5,95.18,0.02,95665,0.49,0.15,y
14.29,7.14,7.14,0,0,7.14,329,49454.7,92.22,0.03,52282,0.49,0.17,n
0,0,0,0,0,0,714,245021,96.53,0.02,250442,0.49,0.16,y
12.35,9.88,2.47,0,2.47,0,478,111885,98.55,0.01,113210,0.5,0.02,y
8.47,6.35,2.12,0,0,0.53,61,1761,99.49,0.04,1761,0.5,0.02,y
7.26,5.03,2.23,1.12,0.56,0.56,166,12689.4,93.79,0.04,13137,0.49,0.17,y
4.08,0,4.08,0,4.08,0,494,117689,97.04,0.01,119963,0.49,0.08,y
4.88,2.5,2.25,0.75,0.5,0.5,955,441841,97.2,0.01,450439,0.5,0.08,n
3.37,0,3.37,0,1.12,1.12,436,90799.3,96.19,0.02,92952,0.49,0.11,y
0,0,0,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,y
8.05,5.75,2.3,0,2.3,0,542,138053,94.51,0.01,145576,0.5,0.01,n
6.06,6.06,0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
22.22,22.22,0,0,0,0,70,1969.99,83.97,0.1,2172,0.46,0.29,y
3.57,3.57,0,0,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,y
0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,y
16.67,16.67,0,0,0,0,161,11667.8,91.73,0.05,12225,0.48,0.26,y
9.65,7.46,2.19,0,1.32,0,325,49975.1,95.51,0.03,51220,0.49,0.18,y
12.68,12.68,0,0,0,0,297,41728.8,95.58,0.03,42826,0.49,0.17,y
9.82,6.12,3.49,0.14,1.78,0.57,231,22856.8,86.79,0.06,24946,0.47,0.36,y
8.51,6.38,2.13,0,0,2.13,65,1696.85,84.17,0.1,1876,0.47,0.28,y
10,0,10,0,10,0,451,98153.1,97.16,0.02,99733,0.49,0.12,n
0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,y
0,0,0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
0,0,0,0,0,0,154,11424.5,98.25,0.02,11510,0.49,0.05,y
0,0,0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
3.03,3.03,0,0,0,0,535,133010,93.46,0.02,139855,0.49,0.15,y
8.76,5.47,3.28,0.36,1.82,0.73,285,39451.6,98.17,0.02,39856,0.5,0.04,y
6.84,3.9,2.88,0.42,1.05,0.58,356,59578.9,94.82,0.03,61533,0.49,0.17,n
8.57,4.29,4.29,0,0,2.86,222,17150.1,70.55,0.09,22359,0.46,0.34,y
11.24,6.59,4.65,0,1.94,0.39,145,9755.34,94.75,0.04,10042,0.49,0.14,y
5.05,3.56,1.49,0.1,0.5,0.4,739,267574,98.39,0.01,270029,0.5,0.07,y
8.79,6.65,2.14,0.11,0.9,0.23,145,10258,99.63,0.02,10272,0.5,0.01,y
7.24,4.32,2.86,0.12,0.91,0.37,633,196606,98.6,0.01,198186,0.5,0.07,y
6.99,4.12,2.75,0.57,0.69,0.69,332,51211.9,93.77,0.03,53309,0.49,0.16,y
7.22,4.47,2.66,0.18,0.95,0.41,50,1146.83,97.52,0.06,1150,0.49,0.08,y
3.4,1.94,0.97,0,0.49,0.49,628,193156,98.42,0.01,194779,0.5,0.05,n
5.48,3.71,1.61,0.32,0.81,0.16,89,3755.17,98.1,0.03,3804,0.5,0.02,y
8.24,5.88,2.35,0,0,2.35,1225,743530,99.34,0,746216,0.5,0.02,y
7.19,6.24,0.96,0,0.72,0,731,264627,99.45,0.01,265324,0.5,0.02,y
6.08,4.56,1.52,0.14,0.62,0.35,899,396675,98.49,0.01,400536,0.5,0.03,y
6.74,3.79,2.68,0.33,0.72,0.65,376,68180.7,97.23,0.02,69300,0.49,0.08,y
7.97,3.92,3.98,0.27,1.13,0.8,102,4359.8,86.33,0.09,4668,0.46,0.36,y
10,5.71,4.29,0,2.86,0,322,50065.9,97.48,0.02,50696,0.49,0.1,y
7.54,5.84,1.7,0,0.73,0.49,385,62433.4,84.9,0.02,72697,0.49,0.04,y
5.73,3.94,1.79,0,0.72,1.08,644,203058,98.38,0.01,204908,0.5,0.05,y
8.39,6.34,1.88,0,0.68,0.51,457,100045,96.44,0.02,102101,0.49,0.16,y
9.51,7.81,1.7,0.31,0.31,0.35,254,30611.8,96.03,0.02,31359,0.49,0.09,n
5.68,3.18,2.5,0.17,0.65,0.59,307,42793.6,91.7,0.04,45225,0.48,0.23,y
10.11,7.76,2.35,0.42,0.14,0.55,294,40662.7,95.06,0.03,41888,0.49,0.14,y
7.45,4.73,2.72,0.37,0.75,0.41,289,39253.6,94.98,0.03,40499,0.49,0.13,y
8.79,4.02,4.77,0.34,1.26,0.75,369,65119.5,96.43,0.02,66518,0.49,0.09,n
4.46,3.18,1.27,0,0.64,0,1264,780799,97.97,0.01,792237,0.5,0.06,y
5.74,5.29,0.45,0.11,0.11,0,57,1509.5,98.02,0.05,1522,0.49,0.03,y
8.63,6.39,2.24,0,0.64,0,290,40289.5,96.81,0.02,41037,0.49,0.08,n
5.49,3.45,2.04,0.16,0.86,0.24,198,17832.2,92.37,0.05,18495,0.48,0.29,n
6.95,4.85,2.03,0.39,0.52,0.52,171,12680.2,88.27,0.06,13671,0.48,0.28,y
6.88,5.07,1.81,0.36,1.45,0,326,50112.9,95.18,0.02,51706,0.49,0.11,y
5.73,2.68,2.95,0.27,1.15,0.76,241,27321.2,95.26,0.03,28150,0.49,0.11,y
5.88,5.88,0,0,0,0,177,14043.1,91.19,0.06,14643,0.48,0.36,n
5.26,2.18,3.09,0.54,1.27,0.73,464,103794,97.05,0.02,105666,0.49,0.08,y
8.03,5.12,2.91,0.28,1.11,0.83,265,33752.4,97.22,0.02,34425,0.5,0.03,y
7.67,4.49,3.1,0.15,0.62,1.39,102,4216.48,83.49,0.09,4694,0.46,0.32,n
6.14,5.7,0.44,0,0,0,802,313912,97.98,0.01,318280,0.5,0.04,y
8.4,4.69,3.52,0,2.34,0.59,122,6529.3,89.94,0.07,6893,0.47,0.26,y
7.04,3.32,3.62,0.4,1.91,0.6,216,21645,94.09,0.03,22428,0.49,0.15,y
11.98,10.38,1.4,0,0.6,0,315,48289.7,98.27,0.02,48683,0.5,0.06,y
10.89,8.56,2.33,0.36,0.16,1.09,1596,1251780,98.47,0.01,1263790,0.5,0.07,y
10.98,10.2,0.78,0,0,0.39,245,28355.6,95.65,0.03,29130,0.49,0.08,n
11.11,9.44,1.67,0.56,0.83,0,146,9777.14,93.65,0.05,10084,0.48,0.19,n
4.26,0,2.13,0,2.13,0,731,261379,98.23,0.01,264141,0.5,0.06,n
9.59,7.23,2.17,0.2,0.72,0.46,317,44228.9,88.87,0.03,48360,0.49,0.17,y
5.52,3.61,1.82,0.19,0.57,0.45,209,20582.2,95.61,0.03,21092,0.49,0.11,y
7.56,5.29,2.28,0.59,0.22,0.66,58,1054.67,66.08,0.08,1516,0.47,0.12,y
6.77,5.18,1.39,0,0.2,0,270,35195.6,97.64,0.02,35659,0.49,0.06,y
5.95,3.33,2.63,0.18,1.23,0.88,75,2650.67,98.14,0.04,2660,0.49,0.05,n
4.91,3.12,1.78,0.22,0.67,0.56,135,8479.96,95.16,0.04,8711,0.49,0.12,y
5.56,4.05,1.5,0,0.6,0.6,335,54004.8,97.11,0.02,54838,0.49,0.09,n
10.9,6.39,4.14,0,3.01,0.75,312,44661,92.65,0.05,46150,0.48,0.38,n
7.56,6.48,1.08,0,0.43,0.43,306,44142.5,95.22,0.03,45388,0.49,0.16,y
6.8,5.33,1.47,0,0.18,0.74,1460,1056550,99.34,0,1060480,0.5,0.03,y
8.7,6.1,2.5,0.18,0.88,0.35,300,43159,96.88,0.02,43968,0.49,0.07,n
9.02,6.75,2.27,0.21,0.48,0.34,775,290973,97.27,0.01,296174,0.5,0.08,y
11.19,6.72,3.73,0.75,0.75,0,381,70739.6,98.24,0.01,71416,0.5,0.04,y
4.35,3.38,0.97,0.48,0,0.48,573,154659,94.7,0.02,160407,0.49,0.18,n
7.78,4.8,2.99,0.32,0.32,0.64,332,51657.2,94.58,0.03,53320,0.49,0.2,y
11.54,4.62,6.92,1.54,0.77,1.54,950,438219,97.42,0.01,445454,0.5,0.09,y
5.69,3.5,2.19,0,1.17,0.58,354,59885.4,96.39,0.02,61142,0.49,0.1,y
7.61,5.32,2.25,0.14,1.13,0.59,463,103722,97.4,0.02,105113,0.49,0.13,y
8.68,4.28,4.4,0.24,0.86,1.83,256,30788.5,95.07,0.03,31646,0.49,0.16,y
2.4,2.1,0.3,0,0,0.3,1350,895790,98.52,0.01,904309,0.5,0.05,n
8.54,5.7,2.85,0,0.55,0.44,196,15523.1,82.07,0.06,17982,0.48,0.25,n
10.76,5.1,5.38,0.57,1.13,0.28,258,29260.8,88.95,0.07,30879,0.47,0.46,y
11.25,9.44,1.81,0,0.91,0.18,606,177453,97.12,0.01,180788,0.49,0.07,n
6.28,4.59,1.45,0.24,0.48,0.72,134,8649.25,98.53,0.02,8697,0.5,0.03,y
6.95,5.08,1.88,0.56,0.56,0.19,77,2830.5,99.32,0.03,2837,0.5,0.01,y
8,6.67,1.33,0,0,0,959,441049,96.21,0.01,453251,0.49,0.1,n
6.52,3.41,3.11,0.3,1.93,0.15,475,108866,97.11,0.02,110588,0.49,0.13,y
10.45,6.87,3.48,0.66,0.56,1.13,699,236036,97.03,0.01,240885,0.5,0.09,n
8.87,8.6,0.27,0,0,0.27,900,397632,98.51,0.01,400980,0.5,0.06,y
7.79,6.64,1.15,0.13,0.13,0.38,721,248889,96.16,0.02,255465,0.49,0.12,y
7.19,4.32,2.88,0,1.44,0,239,24116.1,85.51,0.05,26937,0.48,0.27,y
7.08,4.12,2.96,0.26,0.9,0.39,29,334.42,88.47,0.14,348,0.46,0.26,y
5.42,4.01,1.3,0,0.22,0.43,160,12180.8,96.97,0.03,12382,0.49,0.06,y
6.67,5.19,1.48,0,0,0.74,289,38381.5,92.87,0.03,40329,0.49,0.15,n
3.03,1.21,1.82,0.61,1.21,0,222,21894.7,90.06,0.04,23462,0.48,0.21,y
9.82,6.25,3.57,0,1.79,0.89,332,51669.8,94.61,0.03,53479,0.49,0.18,y
4.74,3.27,1.47,0,0.65,0.16,254,29724.9,93.25,0.04,30978,0.49,0.18,y
