@relation '3. ConscientiousnessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-13,15-32,34,39,41-43,45-46,49-50,52-57,59,61-84,86-88,90-93,99-100'

@attribute Clout numeric
@attribute Authentic numeric
@attribute Dic numeric
@attribute you numeric
@attribute anx numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute male numeric
@attribute discrep numeric
@attribute differ numeric
@attribute percept numeric
@attribute feel numeric
@attribute affiliation numeric
@attribute power numeric
@attribute Colon numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute cCON {n,y}

@data
53.02,65.53,85.85,2.45,0.19,0.19,8.87,0,0.19,0,1.32,3.21,2.64,0.19,2.64,2.64,3.58,0.38,1151,650745,98.5,0.01,656894,y
74.41,4.68,67.21,0,0,0,7.65,0.55,0.55,3.83,1.09,0,1.64,1.09,2.19,0,2.73,2.19,313,45656,94.11,0.03,47527,n
41.29,83.47,88.9,0.5,0.35,0.58,5.92,1.01,0.54,0.89,0.85,1.82,1.78,0.5,2.13,2.32,0.31,1.28,965,453685,97.74,0.01,460223,n
38.97,48.31,54.31,0.47,0.23,0.23,3.73,0.93,0.47,0.47,0.7,1.4,1.4,0.23,0.7,1.4,0.47,0.23,671,216520,96.61,0.02,220974,y
32.66,95.05,91.01,1.69,0.28,0.28,5.06,0.28,0,0,1.4,2.81,2.81,0.84,2.25,1.12,0.28,1.12,241,28030.7,97.74,0.02,28314,y
29.95,75.5,80.3,2.06,0,0,6.38,0.19,0.38,0.38,2.06,2.63,1.5,0.38,1.13,1.88,4.69,1.13,159,10831.2,87.33,0.04,12050,n
92.33,52.86,92.86,7.14,0,7.14,21.43,7.14,0,0,7.14,0,0,0,7.14,0,0,0,907,404895,98.76,0.01,407823,n
65.64,69.96,81.61,0.57,0,0.57,8.62,0.86,0.86,0.57,1.15,2.3,1.44,0.29,3.74,2.87,0.57,0.29,459,102508,97.95,0.01,103590,y
40.6,85.62,82.14,0,0,0,1.19,0,0,0,0,0,4.76,1.19,0,2.38,0,0,72,2015.24,81.1,0.12,2262,y
53.72,41.87,83.49,2.56,0.23,0.23,5.58,0.23,0.47,0.23,2.79,1.4,3.49,1.4,2.33,0.7,0.23,0.23,91,3763.98,93.98,0.05,3899,n
50,31.94,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,127388,97.76,0.01,129045,y
37.6,95.29,83.16,0.53,0,0,3.16,0.53,0,1.58,0.53,1.58,0.53,0.53,0.53,0.53,0,0,144,6219.2,61.25,0.15,8791,n
56.23,67.32,87.8,2.79,0.35,0.7,11.67,0.17,0.52,0.7,2.61,4.88,2.44,0.52,2.79,2.09,0.87,0.87,126,7710.5,99.49,0.02,7729,n
20.71,99,93.88,0,0,0,6.12,2.04,0,0,0,2.04,2.04,2.04,2.04,2.04,0,0,414,84404.8,99.21,0.01,84584,n
49.28,21.37,75.71,2.02,0.18,0.18,6.97,0.18,0,0.63,1.62,1.93,3.37,0.63,1.26,1.98,0.54,0.81,89,3036.16,79.31,0.12,3452,n
41.59,77.49,63.83,0,0,0,2.13,0,0,0,2.13,2.13,4.26,2.13,2.13,0,0,0,82,2956.54,91.25,0.09,3036,n
22.2,79.56,84.98,0.87,0.27,0.66,5.18,0.5,0.17,0.95,1.49,3.56,2.8,1.06,1.12,1.41,0.58,3.05,169,12774.1,91.06,0.05,13457,n
34.85,79.63,89.2,1.36,0.49,0.58,7.59,0.19,0.1,0.19,2.24,3.02,2.63,0.58,2.24,1.17,0.97,0.88,41,762.5,97.76,0.07,765,n
28.62,71.11,84.83,1.06,0.18,0.71,6.35,0.35,0,1.76,3,3.88,2.65,1.23,0.71,1.23,1.76,0.35,440,94264.3,98.05,0.01,95323,y
66.81,1,82.61,0,0,0,13.04,0,0,0,4.35,4.35,4.35,0,0,0,0,4.35,77,2816.33,98.82,0.03,2824,y
90.92,27.73,83.81,1.73,0,0.16,13.68,0,0,2.99,1.1,2.2,3.14,0.47,3.62,4.56,0.47,0.63,24,225,88.93,0.13,241,n
67.16,18.21,86.67,2.22,0,3.33,10,0,1.11,4.44,2.22,3.33,2.22,0,2.22,3.33,0,0,565,156458,98.55,0.01,157750,n
84.2,36.58,84.03,4.85,0,0.33,12.22,0.44,0.77,0.55,2.2,3.19,1.54,0,2.53,2.09,0.44,1.65,159,10399.2,83.84,0.08,11611,y
43.09,74.32,81.13,0.33,0,0.08,3.73,0.41,0.08,0.33,0.99,0.99,1.9,0.25,0.99,0.99,2.81,1.08,775,289468,96.76,0.01,296135,y
74.61,2.85,71.32,0.74,1.47,0,8.82,0.74,0,0,1.47,2.21,2.94,0,1.47,1.47,1.47,1.47,379,66420.9,93.22,0.03,69191,y
44.96,80.42,85.79,1.02,0,1.02,8.38,0.51,0.51,0.51,1.52,2.03,1.52,1.02,2.79,2.28,2.03,0.51,826,338268,99.52,0,339027,y
76.66,37.04,78.64,1.88,0,0.47,10.33,0.94,0.47,2.58,0.94,1.41,2.82,0.23,1.88,2.11,0,0.94,175,14199.5,94.34,0.04,14654,n
40.62,72.73,82.2,1.48,0.3,0.3,6.53,0,0.59,0.89,2.08,4.45,3.86,0.89,1.48,1.78,0,0.3,486,115531,98.43,0.01,116816,y
32.12,69.96,84.86,1.05,0,0.45,6,0,0.15,1.05,1.2,3.45,2.7,0.6,1.95,0.75,0.45,0.9,302,43566.4,96.49,0.02,44428,y
75.02,9.16,86.99,0.96,0.72,0.48,10.36,0.24,0,0.48,3.86,1.93,0.72,0.24,0.72,2.41,0,0.24,322,47166.9,91.84,0.02,50780,n
58.62,39.65,86.09,1.57,0.27,0.61,8.38,0.14,0,2.93,1.77,3.34,3.14,1.09,0.82,2.18,0.07,0.34,436,90494.3,95.87,0.02,92933,y
45.88,67.42,45.36,0,0,0,3.09,1.03,0,0,0,2.06,2.06,0,1.03,0,3.09,0,127,7633,96.93,0.03,7743,y
22.08,98.79,96.15,0,0,0,3.85,0,0,0,0,3.85,7.69,0,0,3.85,3.85,0,1098,593081,98.66,0.01,598066,n
54.65,60.79,83.02,3.5,0.09,0.27,9.07,0.27,0.09,0.63,1.71,2.61,2.25,0.45,1.8,2.43,0.45,0.99,313,48253.6,99.46,0.01,48356,n
35.01,1.4,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,11.54,457,100985,97.34,0.01,102634,y
57.13,77.32,82.47,1.59,0,0.4,8.57,1.99,0.6,1.39,0.6,2.59,3.39,0.4,4.38,1,1.59,1.39,139,9100.53,96.27,0.04,9251,n
48.45,19.74,68.22,0.78,0.39,0.39,4.65,0,0,0.78,0.78,1.16,1.55,0.39,1.94,5.04,3.49,3.49,95,4143.03,94.78,0.05,4239,y
44.46,67.48,79.07,0.47,0,0,6.05,0,0.47,0.47,0.93,2.79,0.93,0.47,2.79,2.33,0.93,0.47,243,27562,94.52,0.03,28498,n
42.81,75.36,85.52,1.47,0.68,0.68,7.24,0.11,0.57,0.57,1.58,3.17,2.6,0.23,1.7,2.6,0.9,0.57,1118,614830,98.64,0,622150,y
23.92,75.8,95.28,1.57,0.79,0.79,6.3,1.57,0.79,0,4.72,3.15,5.51,0.79,1.57,0,0,0,85,2972.73,85.28,0.1,3201,y
50,93.3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,y
80.2,16.24,70.75,1.89,0,0.94,7.55,0,0,0,1.89,0.94,0.94,0,1.89,2.83,0,0.94,216,19345.4,84.09,0.06,21766,n
32.15,91.87,82.65,0.69,0,0.17,5.84,0.17,0.17,0.86,0.86,1.55,3.61,0.69,0.17,1.2,1.72,0.69,962,446252,96.74,0.01,456202,y
34.29,85.21,91.92,2.02,0,1.01,9.09,0,0,4.04,1.01,5.05,2.02,2.02,2.02,3.03,0,4.04,559,152219,97.95,0.01,153896,y
74.53,66.92,86.26,3.57,0,1.65,11.54,1.37,1.1,0.27,2.75,3.85,2.75,0.27,4.12,1.92,0,1.92,238,27449.6,98.15,0.01,27822,n
42.23,40.84,81.37,0.98,0,0.98,6.86,0,0,0.98,0.98,0,4.9,2.94,1.96,3.92,0,0,138,8926.11,95.81,0.04,9061,n
44.45,63.37,83,1.16,0.35,0.23,8.61,0.23,0.58,1.05,1.51,3.73,2.79,0.58,1.98,1.16,0.7,0.35,431,91298.5,98.98,0.01,91701,n
33.84,81.76,83.43,1.01,0.09,0.39,5.48,0.35,0.53,0.13,2.32,3.24,2.63,0.35,1.89,1.97,0.44,0.44,236,25651.9,93.3,0.03,26805,y
39.25,5.29,40.86,1.56,0,0.39,2.33,0,0,0,2.33,1.56,1.17,0.39,1.17,0.39,0,0,1071,565761,98.92,0.01,569584,y
87.57,1.4,73.08,0,0,0,11.54,3.85,0,0,3.85,0,0,0,0,3.85,0,7.69,187,16580.2,96.37,0.03,16845,y
76.6,17.2,91.63,2.02,0.1,0.5,10.79,0.1,0.2,0,2.42,2.92,4.03,1.81,0.91,1.81,0.2,0.4,477,111206,98.37,0.01,112134,n
65.86,92.38,90.82,2.04,0,2.04,10.2,0,0,2.04,1.02,3.06,2.04,0,3.06,3.06,0,1.02,361,58695.3,90.83,0.02,63826,n
32.4,76.73,87.31,1.52,0.51,0,4.06,0,0,0,2.03,2.54,3.55,0,1.02,1.02,0.51,0.51,497,116529,94.92,0.02,120779,n
24.51,69.96,93.1,0,0,0,6.9,0,3.45,0,6.9,0,6.9,0,3.45,3.45,0,0,99,4243.83,89.29,0.04,4660,n
60.95,26.79,88.89,3.09,0.31,0.31,9.26,0.31,0,0.62,4.63,4.32,4.32,0.31,0.62,1.54,0,0.31,831,338383,98.36,0.01,341154,y
63.31,50.84,89.68,2.34,0.23,0.34,9.71,0,0.11,0.72,2.04,4.35,2.87,0.98,2.04,3.29,0.04,0.3,278,27967.7,73.16,0.04,36786,y
57.44,1,37.5,0.62,0,0,6.25,0.62,0,0,0,1.25,0,0,3.12,0.62,1.88,0,374,64849.8,93.47,0.03,67740,n
50,98.71,89.66,0,6.9,0,6.9,0,0,0,0,0,3.45,0,0,0,3.45,6.9,99,4201.5,88.4,0.03,4687,y
64.37,27.39,78.26,1,0.17,0.67,6.86,0.33,0.17,0.33,1.67,1.17,2.51,0.33,1.34,1.84,2.84,0.17,46,967.5,97.73,0.06,976,y
27.43,89.12,78,0.4,0.8,0.4,4.4,0.8,0,0.4,0.8,2,2,0,0.8,3.2,0.8,0,405,78205,96.07,0.01,81253,n
50,6.7,76,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,381,68247.6,94.78,0.03,70505,n
45.16,97.62,89.02,0,2.44,2.44,2.44,0,0,1.22,0,0,2.44,0,0,3.66,0,0,56,1205.1,81.15,0.12,1362,y
76.72,75.47,89.73,4.05,0,0.54,12.16,0,0,1.35,1.08,2.43,4.05,1.08,2.7,2.7,2.97,2.16,367,46193.6,69.16,0.06,62940,n
50,84.25,94.59,0,0,2.7,10.81,0,2.7,0,2.7,0,2.7,2.7,2.7,0,0,0,139,8137.73,86.09,0.08,8817,n
34.9,62.52,85.43,1.65,0.12,0.35,7.87,0.71,0.35,0.35,2.35,3.17,3.17,1.41,1.29,1.18,0,0.12,584,164031,96.69,0.02,167499,y
41.35,69.66,75.91,1.46,0,0,4.38,0,0,2.19,0,2.92,0.73,0.73,0.73,0,2.92,0,1043,532379,98.16,0.01,538780,n
35.41,19.72,71.03,3.74,0,1.87,3.74,0,0,0,2.8,1.87,4.67,0,0,0.93,0,0,457,99059.2,95.49,0.03,101166,n
60,60.08,81.57,1.57,0.36,0.48,9.04,0.12,0.12,0.6,2.05,2.17,1.33,0.84,2.89,2.05,0.72,0.24,695,238038,98.99,0.01,239033,y
66.81,12.61,84.78,2.17,1.09,1.09,7.61,1.09,2.17,0,1.09,2.17,3.26,0,4.35,1.09,0,1.09,255,30917.9,96.22,0.03,31439,n
36.27,74.2,83.38,0.75,0.08,0.33,5.1,0.58,0.42,0.17,1.67,2.76,3.34,1.42,2.01,1.5,0.75,0.75,40,732.5,98.85,0.06,734,n
61.07,86.87,87.37,4.21,0.35,0.35,10.18,0,0.35,1.05,0.7,2.11,2.46,0.7,2.46,1.75,0.35,0.35,277,36015.4,94.9,0.03,36920,y
1,99,92.86,0,0,0,0,0,0,0,7.14,14.29,0,0,0,0,0,0,378,67968.2,95.9,0.02,69841,y
50,84.35,91.3,2.42,0.97,2.9,9.18,0,0.48,0,2.9,3.38,1.45,0.48,2.9,4.35,1.45,0,167,13037.8,95.2,0.04,13281,n
38.87,45.61,86.44,0,0,1.13,6.78,0,0.56,1.69,3.95,4.52,1.69,0.56,0.56,2.82,1.69,0.56,197,15938.2,83.4,0.07,17908,y
1,99,89.13,0,0,0,4.35,0,0,0,0,8.7,0,0,0,2.17,0,2.17,119,5588.16,80.95,0.1,6340,y
31.26,73.58,86.39,0.52,0.17,0.17,4.54,0.17,0.17,0.52,1.05,2.79,3.84,0.87,0.7,0.87,0.35,0.7,262,32959,97.14,0.02,33381,y
12.43,83.83,73.08,0,0,3.85,7.69,0,0,0,0,0,7.69,0,0,3.85,0,0,563,153582,97.43,0.01,156035,n
61.84,5.27,89.47,1.5,0,0,9.02,0,0,1.5,3.01,2.26,3.01,0.75,0.75,0.75,0.75,0,266,31169.8,89.11,0.03,34191,n
67.52,85.21,87.5,0,0,0,5.68,1.14,0,0,0,0,1.14,1.14,2.27,0,3.41,0,1267,767221,95.81,0,798934,y
50,61.57,76.46,2.14,0,0.19,7,0.39,0.78,0.39,1.36,2.92,2.14,0.97,3.31,2.33,0.19,1.17,318,49024.8,97.88,0.02,49584,y
52.19,52.23,79.32,0.98,0.22,0.33,8.1,1.2,0.44,0.33,1.42,2.52,2.52,1.09,2.52,1.2,0,2.41,130,7666.67,92.86,0.05,7938,y
48.48,68.87,78.33,1.14,0.38,1.52,3.8,0,0,0,1.52,2.28,3.04,0.38,0.76,1.14,0.38,0.76,288,39168,95.44,0.02,40303,y
67.41,38.11,81.49,1.35,0,0.11,10.38,0.45,0.45,0,1.69,1.24,1.13,0.34,2.93,1.69,1.35,2.82,322,49274,95.94,0.02,50466,y
62.65,13.99,79.03,0,0,0,8.06,0,1.61,1.61,1.61,0,1.61,0,3.23,0,0,0,595,172875,98.16,0.01,174859,y
50,1,96.3,3.7,0,3.7,7.41,0,0,0,3.7,3.7,0,0,0,0,0,0,294,39642.4,92.67,0.04,41550,n
33.09,63.85,82.5,0,0.62,0,2.5,0,0,0,1.25,2.5,4.38,1.25,0.62,0.62,0.62,0,333,53583.4,97.52,0.02,54306,y
50,17.46,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,18123.1,97.81,0.02,18313,y
44.61,26.29,84.16,0,0.45,0,5.43,0.9,0,1.81,1.36,2.71,3.62,0.45,0,1.81,1.36,1.36,174,13616.8,91.52,0.05,14360,y
18.16,85.21,74.03,0,0,0,0,0,0,0,1.3,3.9,2.6,0,0,1.3,0,0,176,14764.9,96.98,0.03,14973,y
25.86,98.3,87.05,0.72,0,0,5.04,0,0,0,0.72,3.6,5.04,1.44,1.44,0,1.44,1.44,1323,871606,99.82,0,872305,y
70.45,70.1,88.59,2.01,0,0.67,8.72,0,0,0,5.37,3.36,3.36,0,0.67,4.03,0,1.34,38,648.17,97.32,0.07,653,n
21.49,97.59,89.47,3.95,0,0,9.21,1.32,1.32,1.32,0,2.63,1.32,0,3.95,1.32,1.32,0,947,442522,99,0.01,444948,y
59.69,64.53,85.64,1.34,0.58,0.53,8.35,0.23,0.12,0.06,1.23,2.69,2.69,0.76,2.69,1.63,0.58,0.41,175,14120.1,93.82,0.04,14554,n
50,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,y
1,23.51,91.67,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,0,0,0,134,8096.6,92.24,0.07,8311,n
60.13,17.46,46.15,0,0,0,2.56,2.56,0,2.56,5.13,0,0,0,0,2.56,7.69,0,622,184474,95.83,0.02,189353,n
15.04,99,85.06,0,0,1.15,2.87,0,0,1.72,1.15,1.15,2.3,0,0,3.45,0.57,0.57,257,24340.7,74.57,0.05,31404,n
35.13,53.24,79.72,1.41,0,0.4,8.23,1,0.4,0.6,1,2.61,5.02,1.41,2.61,3.01,6.43,0,413,82803.9,97.8,0.02,83757,y
50,47.25,85.29,0,0,0,8.82,0,1.47,0,2.94,2.94,2.94,1.47,1.47,1.47,1.47,0,1226,729549,97.31,0,749015,y
15.86,95.6,81.25,0,2.5,2.5,2.5,0,0,0,1.25,1.25,0,0,1.25,5,0,1.25,141,8399.66,86.33,0.07,9196,y
50,99,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,n
85.54,33.44,82.95,0.69,0,0.23,15.9,1.84,0.23,3,1.84,3.92,0.92,0,3.69,2.76,0.46,0.23,84,3223.35,94.72,0.06,3287,n
48.87,77.31,90.93,2.27,0.57,0.57,9.63,0.57,0.28,0.28,2.27,4.25,1.98,0.85,3.97,1.7,0,0,446,95134.1,96.3,0.02,97416,n
38.92,56.37,85.1,1.96,0.13,0.26,8.63,0.46,0.59,0.78,2.81,3.53,2.48,0.46,1.57,1.9,0.72,0.46,253,26645.7,84.25,0.07,29632,n
55.32,33.99,72.54,1.12,0.67,0.22,6.25,0.22,0.89,0.45,1.56,2.68,2.46,0.22,2.23,2.46,1.12,0.45,213,20225.1,90.43,0.07,21100,y
80.04,24.54,86.75,2.41,0,0,14.46,0,3.61,0,0,2.41,2.41,1.2,8.43,0,0,0,343,56515.9,96.92,0.02,57442,n
5.5,87.83,80,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,295,42927.7,99.67,0.01,42998,n
50,2.17,69.91,0,0,0.88,7.96,0,1.77,0,0.88,4.42,4.42,1.77,3.54,0.88,0,3.54,443,92762.5,95.18,0.02,95665,n
23.75,52.86,78.57,0,0,7.14,7.14,0,7.14,0,7.14,0,0,0,7.14,7.14,0,7.14,329,49454.7,92.22,0.03,52282,n
1,99,73.68,0,0,0,0,0,0,0,0,21.05,0,0,0,0,0,0,714,245021,96.53,0.02,250442,y
77.05,26.79,81.48,3.7,0,0,11.11,0,1.23,0,2.47,1.23,2.47,0,2.47,2.47,0,0,478,111885,98.55,0.01,113210,n
66.4,76.81,86.24,0.53,0,0.53,11.64,0,3.17,0.53,1.59,1.59,2.65,0.53,5.82,2.12,0,0,61,1761,99.49,0.04,1761,n
93.41,36.91,88.83,2.79,1.12,0.56,17.88,2.23,1.12,1.12,2.23,2.79,2.79,0,7.82,4.47,0,0,166,12689.4,93.79,0.04,13137,n
27.03,59.54,79.59,0,0,0,4.08,0,0,0,0,0,2.04,0,0,2.04,0,0,494,117689,97.04,0.01,119963,n
68.27,30.99,88.24,0.63,0.75,0.5,9.76,0.13,0.13,3.13,1.63,3.75,3.13,1,1.88,1.88,1.5,0.75,955,441841,97.2,0.01,450439,y
50,14.33,84.27,1.12,0,1.12,11.24,0,0,0,3.37,3.37,3.37,1.12,2.25,1.12,1.12,0,436,90799.3,96.19,0.02,92952,n
50,23.51,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,3706.68,86.65,0.09,3973,n
82.12,20.67,85.06,5.75,0,0,10.34,0,2.3,0,1.15,4.6,5.75,1.15,3.45,1.15,1.15,2.3,542,138053,94.51,0.01,145576,n
72.77,1,24.24,0,0,0,6.06,0,0,0,0,0,0,0,3.03,0,0,3.03,321,48543.8,95.11,0.03,49782,y
99,4.97,88.89,11.11,0,0,22.22,11.11,0,0,0,0,0,0,11.11,11.11,0,0,70,1969.99,83.97,0.1,2172,n
50,99,75,3.57,0,0,3.57,0,0,0,0,0,0,0,3.57,0,3.57,10.71,447,95181.3,95.92,0.02,97635,y
50,1,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,149,10140.3,93.22,0.04,10581,n
4.8,98.01,100,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,161,11667.8,91.73,0.05,12225,y
16.73,98.27,88.6,1.32,0,0,5.7,0,1.32,0.44,2.63,5.26,3.51,1.32,1.75,1.75,0.44,0.44,325,49975.1,95.51,0.03,51220,y
71.35,92.35,97.18,4.23,0,0,7.04,0,0,0,2.82,2.82,1.41,0,1.41,1.41,0,0,297,41728.8,95.58,0.03,42826,n
13.65,91.91,91.1,1.07,0.14,0.57,5.48,0.36,0.36,0.36,1.99,4.06,4.2,1.35,1.64,2.42,0.14,0.5,231,22856.8,86.79,0.06,24946,y
41.59,65.58,89.36,2.13,0,2.13,4.26,0,0,0,0,0,0,0,2.13,4.26,0,0,65,1696.85,84.17,0.1,1876,n
15.86,99,70,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10,451,98153.1,97.16,0.02,99733,y
50,1,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,36,185.71,31.21,0.4,377,n
99,99,90.91,9.09,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,83,2935.76,88.4,0.08,3120,y
50,1,84.62,0,0,0,0,0,0,0,7.69,0,7.69,7.69,0,0,0,0,154,11424.5,98.25,0.02,11510,n
50,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,138337,95.77,0.02,142460,y
38.08,85.21,81.82,0,0,0,6.06,0,0,0,0,6.06,3.03,0,6.06,0,0,0,535,133010,93.46,0.02,139855,y
47.08,67.49,84.67,2.92,0.36,0.73,9.49,2.19,0.36,1.46,0.36,1.46,2.19,0.73,2.92,1.46,0,0,285,39451.6,98.17,0.02,39856,n
52.56,51.52,84.11,1.41,0.42,0.58,7.26,0.26,0.22,1.25,1.31,2.43,3.84,0.51,1.34,2.43,0.26,0.83,356,59578.9,94.82,0.03,61533,y
47.14,74.76,80,0,0,2.86,5,0.71,0.71,0,0.71,0,4.29,0.71,2.14,1.43,0.71,0,222,17150.1,70.55,0.09,22359,n
