@relation '6. Cognitive Process + SN Features'

@attribute cogproc numeric
@attribute insight numeric
@attribute cause numeric
@attribute discrep numeric
@attribute tentat numeric
@attribute certain numeric
@attribute differ numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
10.98,1.22,1.22,1.22,4.88,0,4.88,298,42048.1,95.66,0.03,43144,0.49,0.12,y
12,2,1,4,5,1,3,686,223635,95.46,0.02,230361,0.49,0.16,n
9.18,1.79,1.02,1.53,1.62,1.45,2.98,631,192351,97.08,0.02,195496,0.49,0.14,y
6.28,0.84,0.84,1.26,1.26,1.67,0.84,1091,584445,98.47,0.01,590203,0.5,0.05,y
8.6,1.36,0.9,1.81,3.17,1.81,2.71,622,188741,98.04,0.01,190791,0.5,0.11,y
11.33,1.94,1.62,1.62,3.56,1.29,4.53,267,33049.5,93.77,0.03,34304,0.49,0.2,n
14.34,3.02,2.08,1.32,3.21,3.21,3.21,1151,650745,98.5,0.01,656894,0.5,0.06,y
6.01,2.73,1.09,1.09,0,1.09,0,313,45656,94.11,0.03,47527,0.49,0.13,n
7.58,1.55,1.2,0.85,1.51,1.12,1.82,965,453685,97.74,0.01,460223,0.5,0.08,y
3.03,0.23,0.23,0.7,0.23,0.23,1.4,671,216520,96.61,0.02,220974,0.49,0.17,n
8.71,1.97,0.56,1.4,1.12,1.69,2.81,241,28030.7,97.74,0.02,28314,0.49,0.07,y
9.76,2.06,1.13,2.06,3,0.75,2.63,159,10831.2,87.33,0.04,12050,0.49,0.1,n
14.29,0,0,7.14,0,7.14,0,907,404895,98.76,0.01,407823,0.5,0.04,y
8.91,2.01,0.57,1.15,2.01,2.01,2.3,459,102508,97.95,0.01,103590,0.49,0.08,n
5.95,1.19,1.19,0,2.38,2.38,0,72,2015.24,81.1,0.12,2262,0.46,0.38,n
10.23,2.09,0.23,2.79,3.95,1.4,1.4,91,3763.98,93.98,0.05,3899,0.49,0.09,n
0,0,0,0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,n
4.74,1.58,0.53,0.53,0.53,0,1.58,144,6219.2,61.25,0.15,8791,0.43,0.48,n
16.9,3.31,2.09,2.61,5.92,1.74,4.88,126,7710.5,99.49,0.02,7729,0.5,0.01,n
12.24,0,6.12,0,2.04,2.04,2.04,414,84404.8,99.21,0.01,84584,0.5,0.04,n
8.28,1.75,1.03,1.62,1.62,1.53,1.93,89,3036.16,79.31,0.12,3452,0.45,0.43,n
4.26,0,0,2.13,0,0,2.13,82,2956.54,91.25,0.09,3036,0.47,0.38,n
11.77,1.64,1.24,1.49,4.08,1.14,3.56,169,12774.1,91.06,0.05,13457,0.48,0.28,n
10.31,1.75,0.49,2.24,3.7,1.07,3.02,41,762.5,97.76,0.07,765,0.49,0.06,y
14.46,2.82,1.59,3,4.94,1.06,3.88,440,94264.3,98.05,0.01,95323,0.5,0.05,n
21.74,0,4.35,4.35,0,8.7,4.35,77,2816.33,98.82,0.03,2824,0.5,0.03,n
7.7,1.1,1.26,1.1,2.2,0.79,2.2,24,225,88.93,0.13,241,0.48,0.12,n
15.56,1.11,3.33,2.22,5.56,1.11,3.33,565,156458,98.55,0.01,157750,0.5,0.03,n
11.23,1.76,1.65,2.2,3.63,1.54,3.19,159,10399.2,83.84,0.08,11611,0.47,0.43,n
5.38,0.5,0.75,0.99,2.15,0.5,0.99,775,289468,96.76,0.01,296135,0.49,0.07,y
5.15,1.47,0.74,1.47,2.21,0.74,2.21,379,66420.9,93.22,0.03,69191,0.49,0.27,n
8.88,1.78,1.02,1.52,1.52,2.28,2.03,826,338268,99.52,0,339027,0.5,0.01,y
4.69,1.41,0.23,0.94,0.47,0.94,1.41,175,14199.5,94.34,0.04,14654,0.49,0.17,y
13.65,4.45,1.19,2.08,1.78,1.19,4.45,486,115531,98.43,0.01,116816,0.5,0.03,n
11.09,2.7,0.6,1.2,3,1.5,3.45,302,43566.4,96.49,0.02,44428,0.49,0.1,y
15.42,3.61,2.65,3.86,1.93,1.93,1.93,322,47166.9,91.84,0.02,50780,0.49,0.04,n
12.13,2.86,1.91,1.77,3,1.36,3.34,436,90494.3,95.87,0.02,92933,0.49,0.1,n
3.09,0,0,0,0,1.03,2.06,127,7633,96.93,0.03,7743,0.49,0.08,n
15.38,3.85,3.85,0,0,3.85,3.85,1098,593081,98.66,0.01,598066,0.5,0.04,n
12.4,2.88,1.44,1.71,2.7,2.43,2.61,313,48253.6,99.46,0.01,48356,0.5,0.01,n
0,0,0,0,0,0,0,457,100985,97.34,0.01,102634,0.49,0.06,n
8.76,1.2,1.2,0.6,1.99,2.19,2.59,139,9100.53,96.27,0.04,9251,0.49,0.11,n
6.98,1.16,1.55,0.78,1.55,0.78,1.16,95,4143.03,94.78,0.05,4239,0.48,0.16,n
6.98,0.93,0,0.93,0.93,1.86,2.79,243,27562,94.52,0.03,28498,0.49,0.15,n
9.73,1.81,0.79,1.58,3.05,1.02,3.17,1118,614830,98.64,0,622150,0.5,0.01,y
13.39,0.79,0,4.72,3.94,1.57,3.15,85,2972.73,85.28,0.1,3201,0.46,0.37,n
0,0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,n
4.72,0,0,1.89,1.89,1.89,0.94,216,19345.4,84.09,0.06,21766,0.47,0.33,n
9.45,3.09,2.23,0.86,0.86,1.37,1.55,962,446252,96.74,0.01,456202,0.49,0.11,y
9.09,1.01,1.01,1.01,2.02,1.01,5.05,559,152219,97.95,0.01,153896,0.5,0.08,y
10.16,1.92,1.1,2.75,3.02,0.82,3.85,238,27449.6,98.15,0.01,27822,0.5,0.04,n
7.84,0.98,0.98,0.98,2.94,1.96,0,138,8926.11,95.81,0.04,9061,0.49,0.17,y
10.48,2.21,0.7,1.51,2.91,1.05,3.73,431,91298.5,98.98,0.01,91701,0.5,0.03,n
12.14,2.37,1.84,2.32,3.02,1.53,3.24,236,25651.9,93.3,0.03,26805,0.49,0.18,n
6.23,1.95,0,2.33,0.39,0.39,1.56,1071,565761,98.92,0.01,569584,0.5,0.03,y
7.69,0,0,3.85,3.85,0,0,187,16580.2,96.37,0.03,16845,0.49,0.12,y
13.61,3.02,1.61,2.42,2.42,2.22,2.92,477,111206,98.37,0.01,112134,0.5,0.06,y
8.16,1.02,0,1.02,1.02,2.04,3.06,361,58695.3,90.83,0.02,63826,0.49,0.05,n
7.11,0.51,1.02,2.03,1.52,0.51,2.54,497,116529,94.92,0.02,120779,0.49,0.13,n
17.24,0,3.45,6.9,0,6.9,0,99,4243.83,89.29,0.04,4660,0.49,0.06,n
13.27,1.85,0.31,4.63,3.4,0.93,4.32,831,338383,98.36,0.01,341154,0.5,0.07,n
14.74,3.21,1.81,2.04,3.02,2.72,4.35,278,27967.7,73.16,0.04,36786,0.48,0.21,n
3.75,0,1.25,0,0,1.25,1.25,374,64849.8,93.47,0.03,67740,0.49,0.19,n
10.34,3.45,6.9,0,3.45,0,0,99,4201.5,88.4,0.03,4687,0.49,0.04,n
7.02,2.17,1,1.67,1.34,0.67,1.17,46,967.5,97.73,0.06,976,0.49,0.04,y
7.2,0.8,0.4,0.8,2.4,1.2,2,405,78205,96.07,0.01,81253,0.5,0.01,y
12,0,0,4,8,4,0,381,68247.6,94.78,0.03,70505,0.49,0.16,n
4.88,2.44,0,0,0,2.44,0,56,1205.1,81.15,0.12,1362,0.46,0.31,n
10,1.89,0.54,1.08,0.81,3.24,2.43,367,46193.6,69.16,0.06,62940,0.47,0.33,n
13.51,2.7,0,2.7,5.41,2.7,0,139,8137.73,86.09,0.08,8817,0.47,0.39,n
11.05,2,1.88,2.35,2,1.29,3.17,584,164031,96.69,0.02,167499,0.49,0.12,y
8.03,1.46,3.65,0,0.73,0,2.92,1043,532379,98.16,0.01,538780,0.5,0.06,y
8.41,0,0.93,2.8,1.87,1.87,1.87,457,99059.2,95.49,0.03,101166,0.49,0.26,n
9.28,1.93,0.72,2.05,3.13,0.96,2.17,695,238038,98.99,0.01,239033,0.5,0.05,n
6.52,1.09,0,1.09,1.09,1.09,2.17,255,30917.9,96.22,0.03,31439,0.49,0.19,n
8.02,1.5,0.5,1.67,2.42,0.84,2.76,40,732.5,98.85,0.06,734,0.5,0.03,y
10.18,1.75,2.11,0.7,3.16,1.75,2.11,277,36015.4,94.9,0.03,36920,0.49,0.21,n
21.43,7.14,0,7.14,14.29,0,14.29,378,67968.2,95.9,0.02,69841,0.49,0.09,y
12.08,1.93,1.45,2.9,4.35,0.48,3.38,167,13037.8,95.2,0.04,13281,0.48,0.21,n
16.38,4.52,1.69,3.95,3.39,0.56,4.52,197,15938.2,83.4,0.07,17908,0.47,0.36,n
17.39,2.17,2.17,0,2.17,2.17,8.7,119,5588.16,80.95,0.1,6340,0.46,0.37,n
13.09,2.79,1.75,1.05,4.36,1.57,2.79,262,32959,97.14,0.02,33381,0.49,0.13,n
3.85,0,3.85,0,0,0,0,563,153582,97.43,0.01,156035,0.49,0.08,y
10.53,0,3.01,3.01,3.01,0.75,2.26,266,31169.8,89.11,0.03,34191,0.49,0.11,n
5.68,2.27,0,0,1.14,2.27,0,1267,767221,95.81,0,798934,0.5,0.01,y
9.14,0.97,0.97,1.36,2.92,1.56,2.92,318,49024.8,97.88,0.02,49584,0.49,0.06,y
7.99,1.75,0.66,1.42,1.75,0.77,2.52,130,7666.67,92.86,0.05,7938,0.48,0.22,n
8.37,1.14,0.76,1.52,1.52,1.14,2.28,288,39168,95.44,0.02,40303,0.49,0.13,y
7.22,1.02,1.47,1.69,1.58,0.9,1.24,322,49274,95.94,0.02,50466,0.49,0.12,y
8.06,0,3.23,1.61,3.23,0,0,595,172875,98.16,0.01,174859,0.5,0.05,y
25.93,0,3.7,3.7,7.41,7.41,3.7,294,39642.4,92.67,0.04,41550,0.49,0.21,n
8.12,1.88,1.25,1.25,1.88,0,2.5,333,53583.4,97.52,0.02,54306,0.49,0.07,n
0,0,0,0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
9.5,0.9,0.9,1.36,2.26,1.36,2.71,174,13616.8,91.52,0.05,14360,0.48,0.19,y
7.79,0,1.3,1.3,1.3,0,3.9,176,14764.9,96.98,0.03,14973,0.49,0.09,n
9.35,2.16,0,0.72,1.44,2.88,3.6,1323,871606,99.82,0,872305,0.5,0.01,y
20.81,7.38,0,5.37,8.72,3.36,3.36,38,648.17,97.32,0.07,653,0.49,0.06,n
10.53,0,0,0,2.63,5.26,2.63,947,442522,99,0.01,444948,0.5,0.03,y
10.33,1.81,1.28,1.23,2.63,1.58,2.69,175,14120.1,93.82,0.04,14554,0.48,0.22,n
0,0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
8.33,0,0,0,0,0,8.33,134,8096.6,92.24,0.07,8311,0.47,0.35,n
10.26,7.69,0,5.13,2.56,0,0,622,184474,95.83,0.02,189353,0.49,0.21,y
9.2,1.72,0,1.15,5.75,1.15,1.15,257,24340.7,74.57,0.05,31404,0.48,0.16,n
10.44,2.01,1.81,1,2.01,1.41,2.61,413,82803.9,97.8,0.02,83757,0.49,0.07,n
10.29,0,1.47,2.94,1.47,1.47,2.94,1226,729549,97.31,0,749015,0.5,0,y
10,0,1.25,1.25,5,1.25,1.25,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,n
11.29,2.3,1.38,1.84,2.53,1.61,3.92,84,3223.35,94.72,0.06,3287,0.48,0.15,n
13.6,3.4,2.27,2.27,3.12,1.13,4.25,446,95134.1,96.3,0.02,97416,0.49,0.1,n
11.05,1.37,1.31,2.81,3.4,0.65,3.53,253,26645.7,84.25,0.07,29632,0.47,0.39,n
10.94,2.01,2.01,1.56,2.68,1.79,2.68,213,20225.1,90.43,0.07,21100,0.47,0.44,n
9.64,2.41,2.41,0,1.2,2.41,2.41,343,56515.9,96.92,0.02,57442,0.49,0.1,n
8,0,0,4,0,4,0,295,42927.7,99.67,0.01,42998,0.5,0.01,y
10.62,1.77,0.88,0.88,4.42,0.88,4.42,443,92762.5,95.18,0.02,95665,0.49,0.15,n
7.14,0,0,7.14,0,0,0,329,49454.7,92.22,0.03,52282,0.49,0.17,y
21.05,0,0,0,5.26,0,21.05,714,245021,96.53,0.02,250442,0.49,0.16,n
3.7,0,0,2.47,3.7,0,1.23,478,111885,98.55,0.01,113210,0.5,0.02,n
12.7,2.65,0.53,1.59,5.29,3.7,1.59,61,1761,99.49,0.04,1761,0.5,0.02,n
8.38,1.68,1.12,2.23,2.79,0.56,2.79,166,12689.4,93.79,0.04,13137,0.49,0.17,n
6.12,0,4.08,0,0,2.04,0,494,117689,97.04,0.01,119963,0.49,0.08,y
12.52,2.63,2,1.63,3.25,1.38,3.75,955,441841,97.2,0.01,450439,0.5,0.08,y
10.11,2.25,1.12,3.37,3.37,0,3.37,436,90799.3,96.19,0.02,92952,0.49,0.11,n
0,0,0,0,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,n
6.9,1.15,0,1.15,2.3,1.15,4.6,542,138053,94.51,0.01,145576,0.5,0.01,n
0,0,0,0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
11.11,0,0,0,0,11.11,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
0,0,0,0,0,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,y
0,0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
33.33,8.33,0,8.33,0,8.33,8.33,161,11667.8,91.73,0.05,12225,0.48,0.26,n
13.6,0.88,2.19,2.63,3.95,0.88,5.26,325,49975.1,95.51,0.03,51220,0.49,0.18,y
19.72,2.82,2.82,2.82,2.82,5.63,2.82,297,41728.8,95.58,0.03,42826,0.49,0.17,n
11.67,1.78,1.35,1.99,2.35,1.57,4.06,231,22856.8,86.79,0.06,24946,0.47,0.36,n
0,0,0,0,0,0,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
0,0,0,0,0,0,0,451,98153.1,97.16,0.02,99733,0.49,0.12,y
0,0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,n
0,0,0,0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
7.69,0,0,7.69,0,0,0,154,11424.5,98.25,0.02,11510,0.49,0.05,n
0,0,0,0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
6.06,0,0,0,0,0,6.06,535,133010,93.46,0.02,139855,0.49,0.15,y
8.39,1.46,0.73,0.36,1.82,2.55,1.46,285,39451.6,98.17,0.02,39856,0.5,0.04,n
10.52,1.76,1.41,1.31,2.62,1.76,2.43,356,59578.9,94.82,0.03,61533,0.49,0.17,n
8.57,5,0.71,0.71,1.43,1.43,0,222,17150.1,70.55,0.09,22359,0.46,0.34,n
9.3,0.78,1.55,2.71,1.94,1.94,1.94,145,9755.34,94.75,0.04,10042,0.49,0.14,y
9.31,1.58,1.29,1.98,2.18,1.19,2.18,739,267574,98.39,0.01,270029,0.5,0.07,y
10.82,1.92,1.24,1.92,2.93,1.24,2.82,145,10258,99.63,0.02,10272,0.5,0.01,n
11.93,2.5,1.7,1.1,2.98,1.34,3.41,633,196606,98.6,0.01,198186,0.5,0.07,n
11.11,2.86,0.92,2.18,2.52,1.15,3.44,332,51211.9,93.77,0.03,53309,0.49,0.16,y
10.1,1.49,1.53,1.13,2.75,1.67,2.71,50,1146.83,97.52,0.06,1150,0.49,0.08,n
9.71,2.43,0.49,0.97,3.88,0.97,1.94,628,193156,98.42,0.01,194779,0.5,0.05,n
8.87,2.26,1.13,1.29,3.06,0.81,1.61,89,3755.17,98.1,0.03,3804,0.5,0.02,y
8.24,1.18,1.18,0,0,2.35,3.53,1225,743530,99.34,0,746216,0.5,0.02,n
4.8,0.96,0.96,1.2,0.96,0.72,0.24,731,264627,99.45,0.01,265324,0.5,0.02,n
7.73,1.66,0.9,1.04,2.56,0.97,1.52,899,396675,98.49,0.01,400536,0.5,0.03,y
12.69,3.4,2.16,1.37,2.03,1.96,2.94,376,68180.7,97.23,0.02,69300,0.49,0.08,y
7.64,2.06,0.66,1.59,2.26,0.46,1.53,102,4359.8,86.33,0.09,4668,0.46,0.36,y
5.71,0,2.86,0,1.43,0,1.43,322,50065.9,97.48,0.02,50696,0.49,0.1,n
10.95,1.7,2.19,1.95,3.16,0.49,3.89,385,62433.4,84.9,0.02,72697,0.49,0.04,y
12.19,3.23,0.36,0.36,4.66,1.43,2.15,644,203058,98.38,0.01,204908,0.5,0.05,y
10.45,1.54,1.37,2.57,3.08,1.71,2.23,457,100045,96.44,0.02,102101,0.49,0.16,y
10.78,2.53,1.88,0.92,1.57,2.53,2.18,254,30611.8,96.03,0.02,31359,0.49,0.09,y
10.26,2.16,1.49,1.63,2.81,0.93,2.81,307,42793.6,91.7,0.04,45225,0.48,0.23,n
9,1.25,1.8,0.97,2.22,1.66,2.63,294,40662.7,95.06,0.03,41888,0.49,0.14,y
8.23,1.19,1.01,1.08,2.61,1.79,2.12,289,39253.6,94.98,0.03,40499,0.49,0.13,y
9.13,1.42,1.01,1.93,2.01,1.93,2.01,369,65119.5,96.43,0.02,66518,0.49,0.09,y
15.92,5.73,3.82,1.27,1.91,3.18,1.91,1264,780799,97.97,0.01,792237,0.5,0.06,y
4.17,0.56,0.68,0.68,0.79,0.79,1.01,57,1509.5,98.02,0.05,1522,0.49,0.03,y
8.31,3.19,0.96,0.64,0.96,0.32,2.24,290,40289.5,96.81,0.02,41037,0.49,0.08,y
7.76,1.8,1.18,1.02,1.57,1.1,1.96,198,17832.2,92.37,0.05,18495,0.48,0.29,n
9.96,2.36,1.25,1.25,2.1,1.51,2.75,171,12680.2,88.27,0.06,13671,0.48,0.28,n
9.06,1.09,0.36,2.17,1.81,1.81,3.26,326,50112.9,95.18,0.02,51706,0.49,0.11,y
12.56,4.86,1.2,1.53,1.53,1.64,2.79,241,27321.2,95.26,0.03,28150,0.49,0.11,n
5.88,0,0,0,5.88,0,0,177,14043.1,91.19,0.06,14643,0.48,0.36,n
12.16,2,1.63,1.81,3.99,1.27,3.81,464,103794,97.05,0.02,105666,0.49,0.08,y
11.22,0.97,0.69,2.08,2.49,2.08,4.16,265,33752.4,97.22,0.02,34425,0.5,0.03,n
7.05,1.55,0.93,1.01,2.01,0.7,1.63,102,4216.48,83.49,0.09,4694,0.46,0.32,n
10.96,1.75,0.88,3.07,0.88,2.19,2.63,802,313912,97.98,0.01,318280,0.5,0.04,n
11.33,1.56,1.37,0.39,2.15,3.12,3.12,122,6529.3,89.94,0.07,6893,0.47,0.26,n
10.26,2.11,1.81,1.31,2.11,1.81,2.52,216,21645,94.09,0.03,22428,0.49,0.15,y
9.38,1.8,0.2,0.4,1.4,2.59,3.79,315,48289.7,98.27,0.02,48683,0.5,0.06,y
10.17,1.92,1.4,2.23,1.76,1.5,2.07,1596,1251780,98.47,0.01,1263790,0.5,0.07,n
5.88,0.78,1.57,0.39,0.39,0,2.75,245,28355.6,95.65,0.03,29130,0.49,0.08,n
12.78,2.22,0.56,3.61,2.78,4.17,2.78,146,9777.14,93.65,0.05,10084,0.48,0.19,n
10.64,0,2.13,2.13,2.13,2.13,4.26,731,261379,98.23,0.01,264141,0.5,0.06,n
7.62,1.64,0.85,0.66,1.18,1.71,1.91,317,44228.9,88.87,0.03,48360,0.49,0.17,y
8.55,1.82,0.96,1.66,2.78,1.08,1.79,209,20582.2,95.61,0.03,21092,0.49,0.11,n
8,0.66,0.73,2.2,1.62,1.4,2.06,58,1054.67,66.08,0.08,1516,0.47,0.12,y
9.16,2.19,1,0.4,2.59,1.39,2.79,270,35195.6,97.64,0.02,35659,0.49,0.06,n
5.43,1.23,0.35,0.88,1.58,0.53,1.4,75,2650.67,98.14,0.04,2660,0.49,0.05,n
9.81,1.11,1.23,2.12,2.9,1.67,2.9,135,8479.96,95.16,0.04,8711,0.49,0.12,n
9.61,2.55,1.2,1.65,3,1.65,1.35,335,54004.8,97.11,0.02,54838,0.49,0.09,n
12.78,3.76,0.75,1.88,3.38,0.38,4.51,312,44661,92.65,0.05,46150,0.48,0.38,n
11.02,2.16,1.3,1.73,1.94,1.3,3.89,306,44142.5,95.22,0.03,45388,0.49,0.16,n
6.62,1.19,0.64,1.29,1.65,1.1,1.65,1460,1056550,99.34,0,1060480,0.5,0.03,n
10.94,2.24,1.58,1.1,2.64,1.41,2.85,300,43159,96.88,0.02,43968,0.49,0.07,n
9.16,2.2,0.62,1.79,1.79,1.03,2.69,775,290973,97.27,0.01,296174,0.5,0.08,y
11.19,0.75,0.75,2.99,2.24,3.73,2.99,381,70739.6,98.24,0.01,71416,0.5,0.04,n
11.59,2.9,1.93,1.45,1.93,3.38,1.45,573,154659,94.7,0.02,160407,0.49,0.18,n
10.02,2.35,0.85,2.45,2.03,1.71,1.81,332,51657.2,94.58,0.03,53320,0.49,0.2,y
10,2.31,2.31,0,3.08,1.54,1.54,950,438219,97.42,0.01,445454,0.5,0.09,y
12.54,2.92,2.04,1.46,2.62,1.46,3.5,354,59885.4,96.39,0.02,61142,0.49,0.1,n
12.25,3.02,1.58,2.3,2.88,1.8,2.52,463,103722,97.4,0.02,105113,0.49,0.13,n
12.96,2.57,1.59,2.2,3.42,2.08,3.67,256,30788.5,95.07,0.03,31646,0.49,0.16,n
5.39,0.3,1.2,0.6,0.9,0.9,1.5,1350,895790,98.52,0.01,904309,0.5,0.05,y
8.43,1.2,0.66,2.19,2.08,1.42,2.52,196,15523.1,82.07,0.06,17982,0.48,0.25,n
11.9,1.7,0.85,3.12,4.25,1.98,2.83,258,29260.8,88.95,0.07,30879,0.47,0.46,n
6.72,0.54,1.45,1.27,2.54,1.63,0.91,606,177453,97.12,0.01,180788,0.49,0.07,y
7.97,1.69,1.21,0.97,1.69,1.45,2.17,134,8649.25,98.53,0.02,8697,0.5,0.03,n
9.59,2.44,1.13,1.88,3.38,1.13,1.5,77,2830.5,99.32,0.03,2837,0.5,0.01,n
8,0.44,0.89,2.22,1.78,2.67,0.89,959,441049,96.21,0.01,453251,0.49,0.1,y
10.52,1.19,1.63,2.07,2.07,2.22,2.52,475,108866,97.11,0.02,110588,0.49,0.13,y
9.32,1.41,0.75,1.79,3.01,1.41,1.88,699,236036,97.03,0.01,240885,0.5,0.09,y
2.42,0.54,0.54,0.81,0.54,0,0.27,900,397632,98.51,0.01,400980,0.5,0.06,y
11.88,1.92,0.89,1.53,2.04,2.81,3.83,721,248889,96.16,0.02,255465,0.49,0.12,n
6.47,2.88,0,1.44,1.44,0,0.72,239,24116.1,85.51,0.05,26937,0.48,0.27,n
9.91,2.12,1.03,1.87,1.99,1.61,2.19,29,334.42,88.47,0.14,348,0.46,0.26,y
10.2,1.84,0.87,1.52,2.93,1.41,3.04,160,12180.8,96.97,0.03,12382,0.49,0.06,n
6.67,0.74,0,2.22,0.74,0.74,2.22,289,38381.5,92.87,0.03,40329,0.49,0.15,y
6.67,3.03,0.61,0,1.21,1.82,0.61,222,21894.7,90.06,0.04,23462,0.48,0.21,n
14.29,0,0,1.79,1.79,4.46,6.25,332,51669.8,94.61,0.03,53479,0.49,0.18,n
10.78,3.27,1.31,0.65,3.1,0.82,2.12,254,29724.9,93.25,0.04,30978,0.49,0.18,y
