@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-25,37-38,40-43,45-93'

@attribute compare numeric
@attribute interrog numeric
@attribute number numeric
@attribute quant numeric
@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute female numeric
@attribute discrep numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,n
2.83,0,3.77,0.94,6.6,4.72,1.89,0,0,0.94,7.55,0,1.89,216,19345.4,84.09,0.06,21766,0.47,0.33,n
0.69,2.06,2.06,1.03,5.5,3.09,2.41,0,1.55,0.17,5.84,0.17,0.86,962,446252,96.74,0.01,456202,0.49,0.11,y
1.01,0,1.01,2.02,5.05,3.03,2.02,0,1.01,1.01,9.09,2.02,1.01,559,152219,97.95,0.01,153896,0.5,0.08,y
1.65,1.1,1.65,0.82,7.14,4.95,2.2,0,0,1.65,11.54,0.55,2.75,238,27449.6,98.15,0.01,27822,0.5,0.04,n
1.96,0.98,1.96,3.92,9.8,2.94,6.86,0,1.96,0.98,6.86,0,0.98,138,8926.11,95.81,0.04,9061,0.49,0.17,y
2.68,0.7,1.51,2.44,5.59,2.91,2.44,0.35,0.7,0.23,8.61,0,1.51,431,91298.5,98.98,0.01,91701,0.5,0.03,n
1.75,1.67,1.97,2.19,5.7,4.43,1.27,0.09,0.22,0.39,5.48,0.31,2.32,236,25651.9,93.3,0.03,26805,0.49,0.18,n
0.39,0.78,0,0,5.84,4.28,1.56,0,0,0.39,2.33,0,2.33,1071,565761,98.92,0.01,569584,0.5,0.03,y
0,0,0,0,0,0,0,0,0,0,11.54,0,3.85,187,16580.2,96.37,0.03,16845,0.49,0.12,y
2.62,1.01,1.41,3.63,6.75,3.33,3.33,0.1,0.81,0.5,10.79,4.94,2.42,477,111206,98.37,0.01,112134,0.5,0.06,y
3.06,1.02,1.02,3.06,15.31,12.24,3.06,0,0,2.04,10.2,0,1.02,361,58695.3,90.83,0.02,63826,0.49,0.05,n
0.51,1.52,2.54,2.03,5.08,3.05,2.03,0.51,1.02,0,4.06,0.51,2.03,497,116529,94.92,0.02,120779,0.49,0.13,n
0,0,0,3.45,3.45,3.45,0,0,0,0,6.9,0,6.9,99,4243.83,89.29,0.04,4660,0.49,0.06,n
1.54,0.93,1.85,1.23,5.86,2.47,3.4,0.31,0.93,0.31,9.26,2.47,4.63,831,338383,98.36,0.01,341154,0.5,0.07,n
3.36,2.34,1.81,2.61,6.31,3.78,2.46,0.23,1.17,0.34,9.71,0.04,2.04,278,27967.7,73.16,0.04,36786,0.48,0.21,n
0.62,1.25,2.5,0,3.12,3.12,0,0,0,0,6.25,2.5,0,374,64849.8,93.47,0.03,67740,0.49,0.19,n
0,6.9,0,0,17.24,3.45,13.79,6.9,6.9,0,6.9,0,0,99,4201.5,88.4,0.03,4687,0.49,0.04,n
1.67,0.67,4.35,1.84,6.69,3.01,3.51,0.17,0.5,0.67,6.86,2.17,1.67,46,967.5,97.73,0.06,976,0.49,0.04,y
2,0.8,4.8,2,7.2,5.2,2,0.8,0,0.4,4.4,0,0.8,405,78205,96.07,0.01,81253,0.5,0.01,y
0,0,0,0,8,4,4,0,0,0,0,0,4,381,68247.6,94.78,0.03,70505,0.49,0.16,n
1.22,1.22,4.88,1.22,8.54,3.66,4.88,2.44,1.22,2.44,2.44,0,0,56,1205.1,81.15,0.12,1362,0.46,0.31,n
3.51,2.43,2.97,2.43,11.08,7.57,3.51,0,1.62,0.54,12.16,0.54,1.08,367,46193.6,69.16,0.06,62940,0.47,0.33,n
5.41,0,0,5.41,10.81,5.41,5.41,0,0,2.7,10.81,0,2.7,139,8137.73,86.09,0.08,8817,0.47,0.39,n
2.82,1.76,2.23,3.17,6.7,4.35,2.35,0.12,1.06,0.35,7.87,1.06,2.35,584,164031,96.69,0.02,167499,0.49,0.12,y
1.46,0.73,10.22,0,6.57,2.92,3.65,0,0.73,0,4.38,0,0,1043,532379,98.16,0.01,538780,0.5,0.06,y
0,0,0.93,2.8,4.67,1.87,2.8,0,0,1.87,3.74,0,2.8,457,99059.2,95.49,0.03,101166,0.49,0.26,n
0.96,1.57,3.25,1.69,4.46,2.65,1.81,0.36,0.36,0.48,9.04,0.36,2.05,695,238038,98.99,0.01,239033,0.5,0.05,n
3.26,2.17,3.26,1.09,14.13,9.78,4.35,1.09,1.09,1.09,7.61,1.09,1.09,255,30917.9,96.22,0.03,31439,0.49,0.19,n
1.59,0.33,2.51,1.67,8.35,5.26,3.01,0.08,1.84,0.33,5.1,0.42,1.67,40,732.5,98.85,0.06,734,0.5,0.03,y
1.4,3.16,2.46,2.46,6.32,5.26,1.05,0.35,0,0.35,10.18,0,0.7,277,36015.4,94.9,0.03,36920,0.49,0.21,n
0,0,0,0,0,0,0,0,0,0,0,0,7.14,378,67968.2,95.9,0.02,69841,0.49,0.09,y
1.93,1.45,1.93,0.97,11.11,5.31,5.8,0.97,0.48,2.9,9.18,0,2.9,167,13037.8,95.2,0.04,13281,0.48,0.21,n
2.26,2.26,1.13,0.56,9.6,4.52,4.52,0,0.56,1.13,6.78,0,3.95,197,15938.2,83.4,0.07,17908,0.47,0.36,n
0,0,0,4.35,0,0,0,0,0,0,4.35,0,0,119,5588.16,80.95,0.1,6340,0.46,0.37,n
2.27,1.22,1.75,1.92,7.68,3.84,3.66,0.17,1.75,0.17,4.54,0.17,1.05,262,32959,97.14,0.02,33381,0.49,0.13,n
0,3.85,3.85,0,3.85,0,3.85,0,0,3.85,7.69,0,0,563,153582,97.43,0.01,156035,0.49,0.08,y
0.75,0.75,0.75,0.75,8.27,7.52,0.75,0,0.75,0,9.02,0,3.01,266,31169.8,89.11,0.03,34191,0.49,0.11,n
2.27,1.14,1.14,1.14,11.36,9.09,2.27,0,1.14,0,5.68,1.14,0,1267,767221,95.81,0,798934,0.5,0.01,y
1.75,1.17,1.17,1.17,7,5.25,1.36,0,0.58,0.19,7,0,1.36,318,49024.8,97.88,0.02,49584,0.49,0.06,y
1.64,0.77,2.84,1.31,7.77,4.49,3.06,0.22,0.98,0.33,8.1,2.95,1.42,130,7666.67,92.86,0.05,7938,0.48,0.22,n
1.9,1.14,4.56,3.42,7.6,5.32,2.28,0.38,0.76,1.52,3.8,0,1.52,288,39168,95.44,0.02,40303,0.49,0.13,y
1.13,1.47,3.84,0.9,9.37,7.11,2.14,0,0.9,0.11,10.38,2.48,1.69,322,49274,95.94,0.02,50466,0.49,0.12,y
1.61,1.61,3.23,1.61,6.45,6.45,0,0,0,0,8.06,0,1.61,595,172875,98.16,0.01,174859,0.5,0.05,y
0,3.7,0,0,11.11,3.7,7.41,0,3.7,3.7,7.41,0,3.7,294,39642.4,92.67,0.04,41550,0.49,0.21,n
0.62,1.88,0.62,1.25,8.12,5.62,2.5,0.62,1.25,0,2.5,0,1.25,333,53583.4,97.52,0.02,54306,0.49,0.07,n
0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
0.45,0.45,0.9,1.36,5.88,4.07,1.81,0.45,0.45,0,5.43,1.81,1.36,174,13616.8,91.52,0.05,14360,0.48,0.19,y
6.49,0,1.3,0,5.19,3.9,1.3,0,0,0,0,0,1.3,176,14764.9,96.98,0.03,14973,0.49,0.09,n
0.72,0.72,1.44,0.72,2.88,1.44,1.44,0,0,0,5.04,0,0.72,1323,871606,99.82,0,872305,0.5,0.01,y
0.67,0.67,0,3.36,7.38,6.71,0.67,0,0,0.67,8.72,0,5.37,38,648.17,97.32,0.07,653,0.49,0.06,n
0,1.32,1.32,3.95,6.58,5.26,1.32,0,1.32,0,9.21,0,0,947,442522,99,0.01,444948,0.5,0.03,y
1.46,1.23,1.63,2.04,6.83,4.44,2.34,0.58,0.18,0.53,8.35,2.28,1.23,175,14120.1,93.82,0.04,14554,0.48,0.22,n
0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
0,0,0,0,16.67,8.33,8.33,0,0,0,0,0,0,134,8096.6,92.24,0.07,8311,0.47,0.35,n
0,0,15.38,2.56,0,0,0,0,0,0,2.56,0,5.13,622,184474,95.83,0.02,189353,0.49,0.21,y
2.3,1.15,4.02,1.15,4.02,0.57,3.45,0,0.57,1.15,2.87,0,1.15,257,24340.7,74.57,0.05,31404,0.48,0.16,n
1.61,1.61,6.83,1.2,11.45,8.23,3.01,0,0.8,0.4,8.23,1.2,1,413,82803.9,97.8,0.02,83757,0.49,0.07,n
0,0,0,2.94,10.29,7.35,2.94,0,1.47,0,8.82,1.47,2.94,1226,729549,97.31,0,749015,0.5,0,y
2.5,1.25,1.25,0,8.75,3.75,5,2.5,0,2.5,2.5,0,1.25,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,0,0,0,0,0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,n
0.92,1.15,1.38,1.61,4.38,3.46,0.69,0,0.23,0.23,15.9,1.15,1.84,84,3223.35,94.72,0.06,3287,0.48,0.15,n
0.85,2.55,1.13,0.85,9.63,7.37,2.27,0.57,0.28,0.57,9.63,0.28,2.27,446,95134.1,96.3,0.02,97416,0.49,0.1,n
1.83,1.57,2.16,1.37,9.08,6.41,2.68,0.13,1.76,0.26,8.63,0.65,2.81,253,26645.7,84.25,0.07,29632,0.47,0.39,n
1.34,1.56,3.79,1.34,6.03,3.12,2.9,0.67,1.12,0.22,6.25,0,1.56,213,20225.1,90.43,0.07,21100,0.47,0.44,n
0,4.82,3.61,2.41,7.23,3.61,3.61,0,2.41,0,14.46,0,0,343,56515.9,96.92,0.02,57442,0.49,0.1,n
0,0,0,4,4,0,4,0,0,0,0,0,4,295,42927.7,99.67,0.01,42998,0.5,0.01,y
1.77,0.88,4.42,1.77,7.08,3.54,3.54,0,1.77,0.88,7.96,0,0.88,443,92762.5,95.18,0.02,95665,0.49,0.15,n
7.14,0,0,0,14.29,7.14,7.14,0,0,7.14,7.14,0,7.14,329,49454.7,92.22,0.03,52282,0.49,0.17,y
0,5.26,0,0,0,0,0,0,0,0,0,0,0,714,245021,96.53,0.02,250442,0.49,0.16,n
3.7,0,0,1.23,12.35,9.88,2.47,0,2.47,0,11.11,0,2.47,478,111885,98.55,0.01,113210,0.5,0.02,n
2.12,0,4.23,2.12,8.47,6.35,2.12,0,0,0.53,11.64,0,1.59,61,1761,99.49,0.04,1761,0.5,0.02,n
0.56,3.35,1.12,1.68,7.26,5.03,2.23,1.12,0.56,0.56,17.88,0,2.23,166,12689.4,93.79,0.04,13137,0.49,0.17,n
0,0,2.04,2.04,4.08,0,4.08,0,4.08,0,4.08,0,0,494,117689,97.04,0.01,119963,0.49,0.08,y
1.5,1.38,2.38,2.13,4.88,2.5,2.25,0.75,0.5,0.5,9.76,0,1.63,955,441841,97.2,0.01,450439,0.5,0.08,y
3.37,0,1.12,2.25,3.37,0,3.37,0,1.12,1.12,11.24,4.49,3.37,436,90799.3,96.19,0.02,92952,0.49,0.11,n
0,0,0,0,0,0,0,0,0,0,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,n
0,0,0,1.15,8.05,5.75,2.3,0,2.3,0,10.34,0,1.15,542,138053,94.51,0.01,145576,0.5,0.01,n
0,0,0,0,6.06,6.06,0,0,0,0,6.06,3.03,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
0,0,0,11.11,22.22,22.22,0,0,0,0,22.22,0,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
3.57,0,7.14,3.57,3.57,3.57,0,0,0,0,3.57,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,y
0,0,0,0,0,0,0,0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
0,0,0,8.33,16.67,16.67,0,0,0,0,0,0,8.33,161,11667.8,91.73,0.05,12225,0.48,0.26,n
1.32,1.32,0.88,0,9.65,7.46,2.19,0,1.32,0,5.7,0,2.63,325,49975.1,95.51,0.03,51220,0.49,0.18,y
1.41,1.41,2.82,5.63,12.68,12.68,0,0,0,0,7.04,0,2.82,297,41728.8,95.58,0.03,42826,0.49,0.17,n
2.35,1.71,0.93,2.14,9.82,6.12,3.49,0.14,1.78,0.57,5.48,0,1.99,231,22856.8,86.79,0.06,24946,0.47,0.36,n
0,2.13,4.26,0,8.51,6.38,2.13,0,0,2.13,4.26,0,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
0,0,0,0,10,0,10,0,10,0,10,0,0,451,98153.1,97.16,0.02,99733,0.49,0.12,y
0,0,0,0,0,0,0,0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,n
0,0,0,0,0,0,0,0,0,0,18.18,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
0,0,0,0,0,0,0,0,0,0,0,0,7.69,154,11424.5,98.25,0.02,11510,0.49,0.05,n
25,0,0,25,0,0,0,0,0,0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
0,0,3.03,3.03,3.03,3.03,0,0,0,0,6.06,0,0,535,133010,93.46,0.02,139855,0.49,0.15,y
2.55,0.73,2.19,2.55,8.76,5.47,3.28,0.36,1.82,0.73,9.49,2.19,0.36,285,39451.6,98.17,0.02,39856,0.5,0.04,n
2.01,1.53,1.5,2.24,6.84,3.9,2.88,0.42,1.05,0.58,7.26,0.48,1.31,356,59578.9,94.82,0.03,61533,0.49,0.17,n
2.86,0.71,1.43,0.71,8.57,4.29,4.29,0,0,2.86,5,0.71,0.71,222,17150.1,70.55,0.09,22359,0.46,0.34,n
0,0.78,3.1,1.55,11.24,6.59,4.65,0,1.94,0.39,8.53,0,2.71,145,9755.34,94.75,0.04,10042,0.49,0.14,y
0.99,1.49,2.57,1.78,5.05,3.56,1.49,0.1,0.5,0.4,6.93,0.3,1.98,739,267574,98.39,0.01,270029,0.5,0.07,y
3.04,1.13,2.37,3.04,8.79,6.65,2.14,0.11,0.9,0.23,7.1,0.11,1.92,145,10258,99.63,0.02,10272,0.5,0.01,n
1.89,1.7,2.43,2.5,7.24,4.32,2.86,0.12,0.91,0.37,7.24,1.1,1.1,633,196606,98.6,0.01,198186,0.5,0.07,n
1.95,0.92,1.83,1.37,6.99,4.12,2.75,0.57,0.69,0.69,8.93,0.23,2.18,332,51211.9,93.77,0.03,53309,0.49,0.16,y
2.84,1.35,2.17,2.12,7.22,4.47,2.66,0.18,0.95,0.41,7.62,0.77,1.13,50,1146.83,97.52,0.06,1150,0.49,0.08,n
2.43,1.46,3.4,2.91,3.4,1.94,0.97,0,0.49,0.49,10.68,1.46,0.97,628,193156,98.42,0.01,194779,0.5,0.05,n
1.77,1.77,2.26,2.9,5.48,3.71,1.61,0.32,0.81,0.16,5.81,0.32,1.29,89,3755.17,98.1,0.03,3804,0.5,0.02,y
0,0,3.53,1.18,8.24,5.88,2.35,0,0,2.35,2.35,0,0,1225,743530,99.34,0,746216,0.5,0.02,n
1.44,0.24,3.12,1.68,7.19,6.24,0.96,0,0.72,0,3.84,0,1.2,731,264627,99.45,0.01,265324,0.5,0.02,n
1.66,1.1,3.11,1.59,6.08,4.56,1.52,0.14,0.62,0.35,9.19,2.49,1.04,899,396675,98.49,0.01,400536,0.5,0.03,y
2.16,1.7,1.5,1.5,6.74,3.79,2.68,0.33,0.72,0.65,7.59,0.07,1.37,376,68180.7,97.23,0.02,69300,0.49,0.08,y
1.99,1,2.52,1.66,7.97,3.92,3.98,0.27,1.13,0.8,5.84,0.13,1.59,102,4359.8,86.33,0.09,4668,0.46,0.36,y
1.43,2.86,1.43,0,10,5.71,4.29,0,2.86,0,2.86,0,0,322,50065.9,97.48,0.02,50696,0.49,0.1,n
0.73,1.22,2.92,1.7,7.54,5.84,1.7,0,0.73,0.49,5.6,0.24,1.95,385,62433.4,84.9,0.02,72697,0.49,0.04,y
3.23,1.79,3.58,3.58,5.73,3.94,1.79,0,0.72,1.08,15.41,0,0.36,644,203058,98.38,0.01,204908,0.5,0.05,y
1.54,0.68,2.4,3.08,8.39,6.34,1.88,0,0.68,0.51,7.53,0,2.57,457,100045,96.44,0.02,102101,0.49,0.16,y
1.4,2.4,1.4,1.79,9.51,7.81,1.7,0.31,0.31,0.35,13.22,0.39,0.92,254,30611.8,96.03,0.02,31359,0.49,0.09,y
1.88,1.43,1.46,1.52,5.68,3.18,2.5,0.17,0.65,0.59,7.98,0.56,1.63,307,42793.6,91.7,0.04,45225,0.48,0.23,n
