@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93'

@attribute Authentic numeric
@attribute ppron numeric
@attribute i numeric
@attribute they numeric
@attribute interrog numeric
@attribute body numeric
@attribute drives numeric
@attribute reward numeric
@attribute filler numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
27.73,8.96,1.73,1.26,2.2,0.63,9.91,1.42,0,0.63,24,225,88.93,0.13,241,0.48,0.12,n
18.21,8.89,2.22,0,1.11,1.11,10,2.22,0,0,565,156458,98.55,0.01,157750,0.5,0.03,n
36.58,7.49,1.87,0.55,2.2,0.55,8.26,2.42,0,1.65,159,10399.2,83.84,0.08,11611,0.47,0.43,n
74.32,4.64,3.89,0.08,0.91,0.83,6.95,1.16,0,1.08,775,289468,96.76,0.01,296135,0.49,0.07,y
2.85,5.88,0,0,0,2.21,7.35,1.47,0,1.47,379,66420.9,93.22,0.03,69191,0.49,0.27,n
80.42,9.9,6.6,0,0.51,2.79,9.39,2.54,0,0.51,826,338268,99.52,0,339027,0.5,0.01,y
37.04,7.75,1.88,1.41,0.47,0.47,5.87,1.88,0.23,0.94,175,14199.5,94.34,0.04,14654,0.49,0.17,y
72.73,5.93,3.26,0.59,0.89,0.89,5.64,1.48,0,0.3,486,115531,98.43,0.01,116816,0.5,0.03,n
69.96,6.9,4.65,0.3,2.25,1.2,4.95,1.2,0.6,0.9,302,43566.4,96.49,0.02,44428,0.49,0.1,y
9.16,6.75,0.96,0,2.65,0.72,5.78,0.96,0,0.24,322,47166.9,91.84,0.02,50780,0.49,0.04,n
39.65,8.04,2.66,0.34,1.3,1.43,6.68,2.79,0,0.34,436,90494.3,95.87,0.02,92933,0.49,0.1,n
67.42,1.03,1.03,0,2.06,0,4.12,1.03,0,0,127,7633,96.93,0.03,7743,0.49,0.08,n
98.79,3.85,3.85,0,0,0,3.85,0,0,0,1098,593081,98.66,0.01,598066,0.5,0.04,n
60.79,10.51,5.21,0.09,0.99,1.08,7.19,1.89,0.09,0.99,313,48253.6,99.46,0.01,48356,0.5,0.01,n
1.4,3.85,3.85,0,0,0,0,0,0,11.54,457,100985,97.34,0.01,102634,0.49,0.06,n
77.32,7.37,4.78,0,1,1.2,7.57,1.99,0,1.39,139,9100.53,96.27,0.04,9251,0.49,0.11,n
19.74,3.49,1.55,0,0.39,2.71,9.3,1.55,0,3.49,95,4143.03,94.78,0.05,4239,0.48,0.16,n
67.48,4.65,2.79,0.47,0,0.93,10.23,3.26,0,0.47,243,27562,94.52,0.03,28498,0.49,0.15,n
75.36,8.26,5.2,0.34,1.13,0.9,6.79,1.58,0,0.57,1118,614830,98.64,0,622150,0.5,0.01,y
75.8,9.45,7.87,0,0,1.57,8.66,4.72,0,0,85,2972.73,85.28,0.1,3201,0.46,0.37,n
93.3,0,0,0,0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,n
16.24,5.66,1.89,0,0,0,6.6,2.83,0,0.94,216,19345.4,84.09,0.06,21766,0.47,0.33,n
91.87,9.62,7.39,0.52,2.06,0.86,3.44,1.37,0,0.69,962,446252,96.74,0.01,456202,0.49,0.11,y
85.21,12.12,7.07,0,0,6.06,7.07,1.01,1.01,4.04,559,152219,97.95,0.01,153896,0.5,0.08,y
66.92,8.24,3.85,0.27,1.1,0,10.16,2.2,0,1.92,238,27449.6,98.15,0.01,27822,0.5,0.04,n
40.84,6.86,4.9,0,0.98,3.92,7.84,1.96,0,0,138,8926.11,95.81,0.04,9061,0.49,0.17,y
63.37,8.73,5.12,1.28,0.7,1.05,6.75,2.21,0,0.35,431,91298.5,98.98,0.01,91701,0.5,0.03,n
81.76,7.8,6.36,0.13,1.67,0.44,6.97,1.75,0,0.44,236,25651.9,93.3,0.03,26805,0.49,0.18,n
5.29,6.61,4.28,0,0.78,0.78,2.72,0.78,0,0,1071,565761,98.92,0.01,569584,0.5,0.03,y
1.4,3.85,0,3.85,0,0,19.23,11.54,0,7.69,187,16580.2,96.37,0.03,16845,0.49,0.12,y
17.2,8.47,0.5,0.71,1.01,1.21,4.94,1.11,0,0.4,477,111206,98.37,0.01,112134,0.5,0.06,y
92.38,7.14,3.06,0,1.02,0,14.29,1.02,0,1.02,361,58695.3,90.83,0.02,63826,0.49,0.05,n
76.73,8.12,5.08,0,1.52,0.51,4.06,1.02,0,0.51,497,116529,94.92,0.02,120779,0.49,0.13,n
69.96,10.34,10.34,0,0,0,6.9,0,0,0,99,4243.83,89.29,0.04,4660,0.49,0.06,n
26.79,8.95,2.78,0,0.93,2.16,6.48,2.16,0,0.31,831,338383,98.36,0.01,341154,0.5,0.07,n
50.84,8.39,2.68,1.02,2.34,0.83,9.79,2.19,0,0.3,278,27967.7,73.16,0.04,36786,0.48,0.21,n
1,4.38,1.88,0,1.25,0,5.62,1.25,0.62,0,374,64849.8,93.47,0.03,67740,0.49,0.19,n
98.71,3.45,3.45,0,6.9,3.45,0,0,0,6.9,99,4201.5,88.4,0.03,4687,0.49,0.04,n
27.39,5.69,2.51,0,0.67,0.67,4.18,1,0,0.17,46,967.5,97.73,0.06,976,0.49,0.04,y
89.12,7.6,7.2,0,0.8,0,4.4,1.6,0,0,405,78205,96.07,0.01,81253,0.5,0.01,y
6.7,0,0,0,0,4,4,0,0,0,381,68247.6,94.78,0.03,70505,0.49,0.16,n
97.62,3.66,2.44,0,1.22,1.22,4.88,0,0,0,56,1205.1,81.15,0.12,1362,0.46,0.31,n
75.47,10.54,4.86,0,2.43,1.35,8.11,2.16,0,2.16,367,46193.6,69.16,0.06,62940,0.47,0.33,n
84.25,8.11,8.11,0,0,0,2.7,0,0,0,139,8137.73,86.09,0.08,8817,0.47,0.39,n
62.52,10.58,7.64,0.59,1.76,1.76,4.47,1.41,0.24,0.12,584,164031,96.69,0.02,167499,0.49,0.12,y
69.66,5.84,2.19,0,0.73,1.46,7.3,5.11,0,0,1043,532379,98.16,0.01,538780,0.5,0.06,y
19.72,10.28,6.54,0,0,0,0.93,0,0,0,457,99059.2,95.49,0.03,101166,0.49,0.26,n
60.08,9.64,5.9,0.36,1.57,0.48,6.75,1.33,0.12,0.24,695,238038,98.99,0.01,239033,0.5,0.05,n
12.61,3.26,0,0,2.17,1.09,9.78,4.35,0,1.09,255,30917.9,96.22,0.03,31439,0.49,0.19,n
74.2,5.35,4.18,0,0.33,1.34,5.85,1.25,0,0.75,40,732.5,98.85,0.06,734,0.5,0.03,y
86.87,14.39,8.42,0.35,3.16,4.21,6.32,1.4,0.7,0.35,277,36015.4,94.9,0.03,36920,0.49,0.21,n
99,14.29,14.29,0,0,7.14,14.29,0,0,0,378,67968.2,95.9,0.02,69841,0.49,0.09,y
84.35,9.66,6.76,0.48,1.45,0.48,10.63,2.42,0,0,167,13037.8,95.2,0.04,13281,0.48,0.21,n
45.61,4.52,2.26,1.13,2.26,2.82,4.52,0.56,0,0.56,197,15938.2,83.4,0.07,17908,0.47,0.36,n
99,15.22,15.22,0,0,0,6.52,4.35,0,2.17,119,5588.16,80.95,0.1,6340,0.46,0.37,n
73.58,6.98,5.58,0.35,1.22,1.22,4.36,1.4,0,0.7,262,32959,97.14,0.02,33381,0.49,0.13,n
83.83,15.38,15.38,0,3.85,0,3.85,0,0,0,563,153582,97.43,0.01,156035,0.49,0.08,y
5.27,6.77,4.51,0,0.75,0,6.02,2.26,0,0,266,31169.8,89.11,0.03,34191,0.49,0.11,n
85.21,4.55,2.27,0,1.14,0,7.95,3.41,0,0,1267,767221,95.81,0,798934,0.5,0.01,y
61.57,9.14,5.84,0,1.17,0,9.14,1.95,0.19,1.17,318,49024.8,97.88,0.02,49584,0.49,0.06,y
52.23,6.89,3.94,0.11,0.77,1.2,6.89,1.75,0,2.41,130,7666.67,92.86,0.05,7938,0.48,0.22,n
68.87,3.04,1.52,0,1.14,0.38,6.08,0.76,0.38,0.76,288,39168,95.44,0.02,40303,0.49,0.13,y
38.11,8.24,4.18,0.56,1.47,0.79,7.9,2.37,0,2.82,322,49274,95.94,0.02,50466,0.49,0.12,y
13.99,4.84,3.23,0,1.61,0,8.06,3.23,0,0,595,172875,98.16,0.01,174859,0.5,0.05,y
1,3.7,0,0,3.7,0,3.7,3.7,0,0,294,39642.4,92.67,0.04,41550,0.49,0.21,n
63.85,5,4.38,0,1.88,0.62,5,0.62,0,0,333,53583.4,97.52,0.02,54306,0.49,0.07,n
17.46,0,0,0,0,0,0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
26.29,4.98,2.71,0.45,0.45,1.36,3.62,1.81,0,1.36,174,13616.8,91.52,0.05,14360,0.48,0.19,y
85.21,5.19,5.19,0,0,0,3.9,2.6,0,0,176,14764.9,96.98,0.03,14973,0.49,0.09,n
98.3,5.04,4.32,0,0.72,2.16,4.32,0.72,0,1.44,1323,871606,99.82,0,872305,0.5,0.01,y
70.1,4.7,2.01,0.67,0.67,0.67,4.03,0,0,1.34,38,648.17,97.32,0.07,653,0.49,0.06,n
97.59,18.42,13.16,0,1.32,1.32,9.21,2.63,0,0,947,442522,99,0.01,444948,0.5,0.03,y
64.53,9.11,3.85,0.23,1.23,0.99,6.48,1.4,0,0.41,175,14120.1,93.82,0.04,14554,0.48,0.22,n
1,0,0,0,0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
23.51,0,0,0,0,0,8.33,8.33,0,0,134,8096.6,92.24,0.07,8311,0.47,0.35,n
17.46,0,0,0,0,0,7.69,2.56,0,0,622,184474,95.83,0.02,189353,0.49,0.21,y
99,12.64,10.92,0,1.15,1.15,7.47,0.57,0,0.57,257,24340.7,74.57,0.05,31404,0.48,0.16,n
53.24,11.45,8.63,0.6,1.61,0.4,6.63,1.41,0.2,0,413,82803.9,97.8,0.02,83757,0.49,0.07,n
47.25,5.88,2.94,2.94,0,1.47,4.41,1.47,0,0,1226,729549,97.31,0,749015,0.5,0,y
95.6,8.75,8.75,0,1.25,0,8.75,0,0,1.25,141,8399.66,86.33,0.07,9196,0.47,0.31,n
99,0,0,0,0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,n
33.44,10.6,2.76,2.07,1.15,0,8.53,1.61,0,0.23,84,3223.35,94.72,0.06,3287,0.48,0.15,n
77.31,12.46,7.08,0.57,2.55,0.28,8.78,2.27,0.57,0,446,95134.1,96.3,0.02,97416,0.49,0.1,n
56.37,10.33,7.06,0.2,1.57,1.63,6.08,2.16,0,0.46,253,26645.7,84.25,0.07,29632,0.47,0.39,n
33.99,4.46,2.23,0.45,1.56,0.45,6.7,0.45,0,0.45,213,20225.1,90.43,0.07,21100,0.47,0.44,n
24.54,8.43,2.41,0,4.82,1.2,14.46,4.82,0,0,343,56515.9,96.92,0.02,57442,0.49,0.1,n
87.83,16,16,0,0,0,0,0,0,0,295,42927.7,99.67,0.01,42998,0.5,0.01,y
2.17,0.88,0.88,0,0.88,1.77,5.31,0.88,0,3.54,443,92762.5,95.18,0.02,95665,0.49,0.15,n
52.86,7.14,7.14,0,0,7.14,14.29,0,0,7.14,329,49454.7,92.22,0.03,52282,0.49,0.17,y
99,0,0,0,5.26,0,0,0,0,0,714,245021,96.53,0.02,250442,0.49,0.16,n
26.79,11.11,6.17,1.23,0,2.47,6.17,2.47,0,0,478,111885,98.55,0.01,113210,0.5,0.02,n
76.81,7.94,4.76,1.06,0,0,9.52,1.59,0,0,61,1761,99.49,0.04,1761,0.5,0.02,n
36.91,10.06,2.79,1.68,3.35,0,15.08,1.12,0,0,166,12689.4,93.79,0.04,13137,0.49,0.17,n
59.54,4.08,4.08,0,0,2.04,4.08,0,0,0,494,117689,97.04,0.01,119963,0.49,0.08,y
30.99,5.51,0.88,0.13,1.38,0.13,6.01,1.5,0.13,0.75,955,441841,97.2,0.01,450439,0.5,0.08,y
14.33,11.24,4.49,0,0,2.25,4.49,0,0,0,436,90799.3,96.19,0.02,92952,0.49,0.11,n
23.51,0,0,0,0,0,0,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,n
20.67,6.9,1.15,0,0,0,6.9,2.3,0,2.3,542,138053,94.51,0.01,145576,0.5,0.01,n
1,0,0,0,0,0,6.06,0,0,3.03,321,48543.8,95.11,0.03,49782,0.49,0.22,y
4.97,11.11,0,0,0,0,22.22,0,0,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
99,10.71,7.14,0,0,0,3.57,0,0,10.71,447,95181.3,95.92,0.02,97635,0.49,0.13,y
1,0,0,0,0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
98.01,8.33,8.33,0,0,0,0,0,0,0,161,11667.8,91.73,0.05,12225,0.48,0.26,n
98.27,10.53,7.46,1.32,1.32,0.88,7.46,1.75,0,0.44,325,49975.1,95.51,0.03,51220,0.49,0.18,y
92.35,5.63,1.41,0,1.41,0,9.86,2.82,0,0,297,41728.8,95.58,0.03,42826,0.49,0.17,n
91.91,10.6,9.32,0.14,1.71,1.78,7.05,1.71,0.14,0.5,231,22856.8,86.79,0.06,24946,0.47,0.36,n
65.58,8.51,6.38,0,2.13,2.13,8.51,2.13,0,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
99,20,20,0,0,0,10,0,0,10,451,98153.1,97.16,0.02,99733,0.49,0.12,y
1,0,0,0,0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,n
99,9.09,0,0,0,0,0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
1,0,0,0,0,0,0,0,0,0,154,11424.5,98.25,0.02,11510,0.49,0.05,n
1,0,0,0,0,25,25,25,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
85.21,6.06,3.03,0,0,0,6.06,0,0,0,535,133010,93.46,0.02,139855,0.49,0.15,y
67.49,12.41,8.39,0,0.73,1.09,6.57,2.19,0,0,285,39451.6,98.17,0.02,39856,0.5,0.04,n
51.52,6.87,3.8,0.26,1.53,1.15,6.91,1.95,0.1,0.83,356,59578.9,94.82,0.03,61533,0.49,0.17,n
74.76,5.71,5,0.71,0.71,1.43,5.71,2.14,0,0,222,17150.1,70.55,0.09,22359,0.46,0.34,n
39.35,13.18,6.98,0.39,0.78,0.39,11.24,3.88,0,0.78,145,9755.34,94.75,0.04,10042,0.49,0.14,y
53.89,7.72,4.46,0.5,1.49,0.1,6.63,2.18,0,0.59,739,267574,98.39,0.01,270029,0.5,0.07,y
73.07,5.41,3.49,0.34,1.13,1.01,7.33,2.48,0.11,2.03,145,10258,99.63,0.02,10272,0.5,0.01,n
66.85,5.84,2.86,0.49,1.7,0.61,6.88,1.34,0.06,1.16,633,196606,98.6,0.01,198186,0.5,0.07,n
53.57,9.28,4.93,1.37,0.92,1.26,5.15,1.03,0.11,0.69,332,51211.9,93.77,0.03,53309,0.49,0.16,y
39.45,7.67,4.01,0.41,1.35,1.04,5.68,1.4,0,1.04,50,1146.83,97.52,0.06,1150,0.49,0.08,n
58.76,8.74,3.4,0.97,1.46,1.46,4.85,0.49,0,3.88,628,193156,98.42,0.01,194779,0.5,0.05,n
54.08,5,4.03,0.48,1.77,1.13,7.42,2.1,0.16,1.13,89,3755.17,98.1,0.03,3804,0.5,0.02,y
51.18,15.29,9.41,0,0,2.35,5.88,2.35,0,1.18,1225,743530,99.34,0,746216,0.5,0.02,n
44.33,2.16,0.72,0,0.24,0.24,8.39,2.88,0,0.48,731,264627,99.45,0.01,265324,0.5,0.02,n
23.74,6.08,1.59,0.28,1.1,1.17,7.25,2.14,0,0.97,899,396675,98.49,0.01,400536,0.5,0.03,y
25.96,6.41,2.16,0.52,1.7,0.26,4.71,0.78,0,3.27,376,68180.7,97.23,0.02,69300,0.49,0.08,y
71.65,6.84,4.32,0.86,1,0.6,7.97,2.26,0.07,0.8,102,4359.8,86.33,0.09,4668,0.46,0.36,y
52.86,2.86,1.43,1.43,2.86,1.43,5.71,1.43,0,0,322,50065.9,97.48,0.02,50696,0.49,0.1,n
28.09,6.08,2.43,0.97,1.22,0.73,7.3,2.68,0,0,385,62433.4,84.9,0.02,72697,0.49,0.04,y
75.24,13.26,1.43,5.73,1.79,0,6.45,1.79,0,0,644,203058,98.38,0.01,204908,0.5,0.05,y
48.13,7.02,2.57,0.68,0.68,1.37,6.16,1.03,0.17,0.34,457,100045,96.44,0.02,102101,0.49,0.16,y
49.62,15.71,6.81,0.22,2.4,1.48,10.51,1.53,0.04,0.96,254,30611.8,96.03,0.02,31359,0.49,0.09,y
70.36,9.95,6.44,0.25,1.43,0.73,7.2,1.46,0,0.11,307,42793.6,91.7,0.04,45225,0.48,0.23,n
37.65,3.32,2.35,0.14,0.55,0.28,6.65,1.25,0,2.35,294,40662.7,95.06,0.03,41888,0.49,0.14,y
53.57,5.77,2.35,0.41,1.12,1.45,8.08,1.97,0,1.01,289,39253.6,94.98,0.03,40499,0.49,0.13,y
67.87,9.21,6.2,0.59,1.17,1.17,6.37,2.35,0,0.08,369,65119.5,96.43,0.02,66518,0.49,0.09,y
98.66,5.73,3.82,0,3.18,0.64,5.73,0.64,0.64,0,1264,780799,97.97,0.01,792237,0.5,0.06,y
70.39,1.8,1.13,0.23,0.23,0.56,5.52,1.13,0,1.69,57,1509.5,98.02,0.05,1522,0.49,0.03,y
76.02,6.39,1.92,0,0,1.28,11.82,3.51,0,0,290,40289.5,96.81,0.02,41037,0.49,0.08,y
55.73,4.7,1.88,0.08,0.94,1.72,7.45,1.41,0,0.94,198,17832.2,92.37,0.05,18495,0.48,0.29,n
48.49,5.11,1.38,0.72,1.51,0.26,7.47,1.11,0.07,1.64,171,12680.2,88.27,0.06,13671,0.48,0.28,n
52.51,7.61,2.17,0.72,1.81,1.09,5.43,1.81,0.36,1.81,326,50112.9,95.18,0.02,51706,0.49,0.11,y
62.67,8.14,4.92,0.22,1.37,0.55,8.08,3.44,0.05,10.65,241,27321.2,95.26,0.03,28150,0.49,0.11,n
1,0,0,0,0,0,0,0,0,0,177,14043.1,91.19,0.06,14643,0.48,0.36,n
80.38,6.53,3.27,0,0.54,0.18,6.53,1.27,0.18,3.45,464,103794,97.05,0.02,105666,0.49,0.08,y
60.37,6.93,4.02,0.42,0.69,0.55,7.2,1.94,0,1.52,265,33752.4,97.22,0.02,34425,0.5,0.03,n
9.82,5.65,2.94,0.08,0.31,1.16,4.18,1.08,0,0.23,102,4216.48,83.49,0.09,4694,0.46,0.32,n
38.82,4.82,1.75,0,0.44,0,10.53,2.19,0,0,802,313912,97.98,0.01,318280,0.5,0.04,n
53.23,4.49,3.71,0,1.17,0.98,5.66,1.76,0,1.56,122,6529.3,89.94,0.07,6893,0.47,0.26,n
13.15,8.95,3.32,1.21,2.21,1.01,8.15,1.51,0,2.11,216,21645,94.09,0.03,22428,0.49,0.15,y
52.38,4.59,3.59,0.2,0.4,0.4,5.59,1.6,0,4.59,315,48289.7,98.27,0.02,48683,0.5,0.06,y
20.37,5.55,0.83,0.16,1.24,1.4,7.16,2.39,0.05,0.62,1596,1251780,98.47,0.01,1263790,0.5,0.07,n
98.01,5.49,5.49,0,1.18,0.78,7.06,0.78,0,0,245,28355.6,95.65,0.03,29130,0.49,0.08,n
63.41,6.11,2.78,0.28,0.83,2.22,10.28,6.11,0,1.94,146,9777.14,93.65,0.05,10084,0.48,0.19,n
25.35,2.13,2.13,0,4.26,0,2.13,0,0,0,731,261379,98.23,0.01,264141,0.5,0.06,n
77.96,9.66,7.82,0.46,0.59,0.46,6.96,2.23,0,0.99,317,44228.9,88.87,0.03,48360,0.49,0.17,y
59.64,6.99,3.89,0.51,1.02,0.73,7.63,1.79,0,1.21,209,20582.2,95.61,0.03,21092,0.49,0.11,n
47.54,4.92,2.42,0.37,0.66,0.73,6.46,2.28,0.07,1.17,58,1054.67,66.08,0.08,1516,0.47,0.12,y
58.63,6.97,2.79,0.4,1.2,1,9.36,2.39,0,0.8,270,35195.6,97.64,0.02,35659,0.49,0.06,n
23.36,5.08,2.45,0.53,1.05,0.53,6.48,1.58,0,1.05,75,2650.67,98.14,0.04,2660,0.49,0.05,n
24.94,6.35,2.01,0.67,0.89,0.67,5.46,1.23,0,1.67,135,8479.96,95.16,0.04,8711,0.49,0.12,n
49.14,8.86,4.2,0.45,0.75,0.45,7.81,1.5,0,1.65,335,54004.8,97.11,0.02,54838,0.49,0.09,n
45.36,3.76,2.26,0,1.5,1.13,4.51,1.5,0,1.88,312,44661,92.65,0.05,46150,0.48,0.38,n
83.24,9.29,7.34,0.65,1.08,0.65,5.4,1.08,0,3.02,306,44142.5,95.22,0.03,45388,0.49,0.16,n
35.94,5.42,1.56,0.09,0.83,0.46,6.43,1.38,0,1.47,1460,1056550,99.34,0,1060480,0.5,0.03,n
