@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93-weka.filters.unsupervised.attribute.Remove-R1-10,12,14-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
3120,0.47,0.26,y
11510,0.49,0.05,n
142460,0.49,0.13,y
139855,0.49,0.15,y
39856,0.5,0.04,n
61533,0.49,0.17,n
22359,0.46,0.34,n
10042,0.49,0.14,y
270029,0.5,0.07,y
10272,0.5,0.01,n
198186,0.5,0.07,n
53309,0.49,0.16,y
1150,0.49,0.08,n
194779,0.5,0.05,n
3804,0.5,0.02,y
746216,0.5,0.02,n
265324,0.5,0.02,n
400536,0.5,0.03,y
69300,0.49,0.08,y
4668,0.46,0.36,y
50696,0.49,0.1,n
72697,0.49,0.04,y
204908,0.5,0.05,y
102101,0.49,0.16,y
31359,0.49,0.09,y
45225,0.48,0.23,n
41888,0.49,0.14,y
40499,0.49,0.13,y
66518,0.49,0.09,y
792237,0.5,0.06,y
1522,0.49,0.03,y
41037,0.49,0.08,y
18495,0.48,0.29,n
13671,0.48,0.28,n
51706,0.49,0.11,y
28150,0.49,0.11,n
14643,0.48,0.36,n
105666,0.49,0.08,y
34425,0.5,0.03,n
4694,0.46,0.32,n
318280,0.5,0.04,n
6893,0.47,0.26,n
22428,0.49,0.15,y
48683,0.5,0.06,y
1263790,0.5,0.07,n
29130,0.49,0.08,n
10084,0.48,0.19,n
264141,0.5,0.06,n
48360,0.49,0.17,y
21092,0.49,0.11,n
1516,0.47,0.12,y
35659,0.49,0.06,n
2660,0.49,0.05,n
8711,0.49,0.12,n
54838,0.49,0.09,n
46150,0.48,0.38,n
45388,0.49,0.16,n
1060480,0.5,0.03,n
43968,0.49,0.07,n
296174,0.5,0.08,y
71416,0.5,0.04,n
160407,0.49,0.18,n
53320,0.49,0.2,y
445454,0.5,0.09,y
61142,0.49,0.1,n
105113,0.49,0.13,n
31646,0.49,0.16,n
904309,0.5,0.05,y
17982,0.48,0.25,n
30879,0.47,0.46,n
180788,0.49,0.07,y
8697,0.5,0.03,n
2837,0.5,0.01,n
453251,0.49,0.1,y
110588,0.49,0.13,y
240885,0.5,0.09,y
400980,0.5,0.06,y
255465,0.49,0.12,n
26937,0.48,0.27,n
348,0.46,0.26,y
12382,0.49,0.06,n
40329,0.49,0.15,y
23462,0.48,0.21,n
53479,0.49,0.18,n
30978,0.49,0.18,y
