@relation '2. OpennessFinder_24 features'

@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute female numeric
@attribute male numeric
@attribute cogproc numeric
@attribute insight numeric
@attribute cause numeric
@attribute discrep numeric
@attribute tentat numeric
@attribute certain numeric
@attribute differ numeric
@attribute work numeric
@attribute leisure numeric
@attribute home numeric
@attribute money numeric
@attribute relig numeric
@attribute death numeric
@attribute cOPN {y,n}

@data
6.6,3.55,3.05,0,0.51,1.02,8.38,0.51,0.51,1.78,0.51,8.88,1.78,1.02,1.52,1.52,2.28,2.03,4.06,1.27,0,0.76,0.51,0.51,y
4.93,3.76,1.17,0,0.47,0.47,10.33,0.94,0.47,1.17,2.58,4.69,1.41,0.23,0.94,0.47,0.94,1.41,0.94,2.11,1.17,0.7,0,0.23,y
4.75,3.26,1.48,0.3,0.3,0.3,6.53,0,0.59,0,0.89,13.65,4.45,1.19,2.08,1.78,1.19,4.45,3.26,3.86,0,0.3,0,0.3,y
9,4.8,4.2,0,2.25,0.45,6,0,0.15,0.15,1.05,11.09,2.7,0.6,1.2,3,1.5,3.45,1.95,2.85,1.05,0.6,0.45,0.3,y
7.47,5.06,2.41,0.72,0.24,0.48,10.36,0.24,0,5.06,0.48,15.42,3.61,2.65,3.86,1.93,1.93,1.93,2.89,1.45,0.24,0.24,0,0.24,n
7.5,4.77,2.66,0.27,0.82,0.61,8.38,0.14,0,0.34,2.93,12.13,2.86,1.91,1.77,3,1.36,3.34,1.36,1.5,0.75,0.48,0.2,0.27,y
3.09,3.09,0,0,0,0,3.09,1.03,0,0,0,3.09,0,0,0,0,1.03,2.06,4.12,1.03,2.06,0,0,0,y
0,0,0,0,0,0,3.85,0,0,0,0,15.38,3.85,3.85,0,0,3.85,3.85,0,3.85,0,3.85,3.85,0,n
7.28,3.32,3.86,0.09,2.43,0.27,9.07,0.27,0.09,0.63,0.63,12.4,2.88,1.44,1.71,2.7,2.43,2.61,3.59,2.16,0.09,0.45,0.18,0.18,n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,3.85,0,0,y
9.36,7.77,1.2,0,0.2,0.4,8.57,1.99,0.6,0,1.39,8.76,1.2,1.2,0.6,1.99,2.19,2.59,1.99,3.78,1.59,0.2,0.6,0,n
9.3,6.59,2.71,0.39,1.55,0.39,4.65,0,0,0,0.78,6.98,1.16,1.55,0.78,1.55,0.78,1.16,5.81,1.55,0,0.39,0.39,0,n
7.44,6.51,0.93,0,0.47,0,6.05,0,0.47,0.93,0.47,6.98,0.93,0,0.93,0.93,1.86,2.79,2.79,1.4,1.4,1.4,0.47,0,n
7.69,4.52,3.05,0.68,0.79,0.68,7.24,0.11,0.57,1.24,0.57,9.73,1.81,0.79,1.58,3.05,1.02,3.17,2.15,2.04,0.34,0.9,0.57,0.11,y
7.09,4.72,2.36,0.79,0,0.79,6.3,1.57,0.79,0.79,0,13.39,0.79,0,4.72,3.94,1.57,3.15,2.36,1.57,0.79,0,0,0,n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
6.6,4.72,1.89,0,0,0.94,7.55,0,0,0,0,4.72,0,0,1.89,1.89,1.89,0.94,1.89,2.83,0.94,1.89,0,0,y
5.5,3.09,2.41,0,1.55,0.17,5.84,0.17,0.17,0.17,0.86,9.45,3.09,2.23,0.86,0.86,1.37,1.55,3.09,1.72,0.86,1.72,0.17,0.34,y
5.05,3.03,2.02,0,1.01,1.01,9.09,0,0,2.02,4.04,9.09,1.01,1.01,1.01,2.02,1.01,5.05,0,0,0,0,1.01,0,y
7.14,4.95,2.2,0,0,1.65,11.54,1.37,1.1,0.55,0.27,10.16,1.92,1.1,2.75,3.02,0.82,3.85,1.37,1.65,1.1,0,0.55,0.27,n
9.8,2.94,6.86,0,1.96,0.98,6.86,0,0,0,0.98,7.84,0.98,0.98,0.98,2.94,1.96,0,0.98,2.94,0.98,0,0,0.98,n
5.59,2.91,2.44,0.35,0.7,0.23,8.61,0.23,0.58,0,1.05,10.48,2.21,0.7,1.51,2.91,1.05,3.73,1.4,2.21,0,0.58,0.47,0.23,y
5.7,4.43,1.27,0.09,0.22,0.39,5.48,0.35,0.53,0.31,0.13,12.14,2.37,1.84,2.32,3.02,1.53,3.24,2.72,4.16,1.05,1.18,0.22,0.22,y
5.84,4.28,1.56,0,0,0.39,2.33,0,0,0,0,6.23,1.95,0,2.33,0.39,0.39,1.56,0,0.39,0,0,0.78,0,y
0,0,0,0,0,0,11.54,3.85,0,0,0,7.69,0,0,3.85,3.85,0,0,0,0,0,0,0,0,y
6.75,3.33,3.33,0.1,0.81,0.5,10.79,0.1,0.2,4.94,0,13.61,3.02,1.61,2.42,2.42,2.22,2.92,1.41,1.81,1.21,0.81,0.4,0.4,n
15.31,12.24,3.06,0,0,2.04,10.2,0,0,0,2.04,8.16,1.02,0,1.02,1.02,2.04,3.06,4.08,1.02,0,1.02,4.08,0,y
5.08,3.05,2.03,0.51,1.02,0,4.06,0,0,0.51,0,7.11,0.51,1.02,2.03,1.52,0.51,2.54,5.58,0.51,1.52,0,0,0,n
3.45,3.45,0,0,0,0,6.9,0,3.45,0,0,17.24,0,3.45,6.9,0,6.9,0,0,3.45,0,0,0,0,y
5.86,2.47,3.4,0.31,0.93,0.31,9.26,0.31,0,2.47,0.62,13.27,1.85,0.31,4.63,3.4,0.93,4.32,2.16,0.62,0.31,0.62,0,0.31,y
6.31,3.78,2.46,0.23,1.17,0.34,9.71,0,0.11,0.04,0.72,14.74,3.21,1.81,2.04,3.02,2.72,4.35,2.61,0.94,0.11,0.23,0.19,0.34,y
3.12,3.12,0,0,0,0,6.25,0.62,0,2.5,0,3.75,0,1.25,0,0,1.25,1.25,0,1.88,0,0,0,1.25,y
17.24,3.45,13.79,6.9,6.9,0,6.9,0,0,0,0,10.34,3.45,6.9,0,3.45,0,0,0,0,0,0,0,0,y
6.69,3.01,3.51,0.17,0.5,0.67,6.86,0.33,0.17,2.17,0.33,7.02,2.17,1,1.67,1.34,0.67,1.17,3.18,3.01,1.34,0.33,0.84,0,y
7.2,5.2,2,0.8,0,0.4,4.4,0.8,0,0,0.4,7.2,0.8,0.4,0.8,2.4,1.2,2,2,3.6,0.8,0,1.2,0.4,y
8,4,4,0,0,0,0,0,0,0,0,12,0,0,4,8,4,0,0,0,0,0,0,0,y
8.54,3.66,4.88,2.44,1.22,2.44,2.44,0,0,0,1.22,4.88,2.44,0,0,0,2.44,0,3.66,2.44,0,0,0,0,y
11.08,7.57,3.51,0,1.62,0.54,12.16,0,0,0.54,1.35,10,1.89,0.54,1.08,0.81,3.24,2.43,1.35,1.35,0,0.54,0.81,1.08,y
10.81,5.41,5.41,0,0,2.7,10.81,0,2.7,0,0,13.51,2.7,0,2.7,5.41,2.7,0,2.7,2.7,0,0,0,0,y
6.7,4.35,2.35,0.12,1.06,0.35,7.87,0.71,0.35,1.06,0.35,11.05,2,1.88,2.35,2,1.29,3.17,1.88,0.59,0.24,0.82,0.35,0.24,n
6.57,2.92,3.65,0,0.73,0,4.38,0,0,0,2.19,8.03,1.46,3.65,0,0.73,0,2.92,0,2.92,0,2.19,0,0,y
4.67,1.87,2.8,0,0,1.87,3.74,0,0,0,0,8.41,0,0.93,2.8,1.87,1.87,1.87,0,3.74,0.93,0,0,0,n
4.46,2.65,1.81,0.36,0.36,0.48,9.04,0.12,0.12,0.36,0.6,9.28,1.93,0.72,2.05,3.13,0.96,2.17,3.61,1.45,0.36,0,0.36,0.36,y
14.13,9.78,4.35,1.09,1.09,1.09,7.61,1.09,2.17,1.09,0,6.52,1.09,0,1.09,1.09,1.09,2.17,0,1.09,1.09,0,0,0,y
8.35,5.26,3.01,0.08,1.84,0.33,5.1,0.58,0.42,0.42,0.17,8.02,1.5,0.5,1.67,2.42,0.84,2.76,3.76,3.43,0.42,0.58,0.67,0.33,n
6.32,5.26,1.05,0.35,0,0.35,10.18,0,0.35,0,1.05,10.18,1.75,2.11,0.7,3.16,1.75,2.11,1.4,1.4,1.05,0,0.7,0,y
0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,0,7.14,14.29,0,14.29,14.29,0,0,0,0,0,y
11.11,5.31,5.8,0.97,0.48,2.9,9.18,0,0.48,0,0,12.08,1.93,1.45,2.9,4.35,0.48,3.38,2.9,4.35,0.97,0.48,0,0.97,n
9.6,4.52,4.52,0,0.56,1.13,6.78,0,0.56,0,1.69,16.38,4.52,1.69,3.95,3.39,0.56,4.52,0.56,1.13,0.56,1.13,0,0.56,n
0,0,0,0,0,0,4.35,0,0,0,0,17.39,2.17,2.17,0,2.17,2.17,8.7,2.17,2.17,0,2.17,0,0,y
7.68,3.84,3.66,0.17,1.75,0.17,4.54,0.17,0.17,0.17,0.52,13.09,2.79,1.75,1.05,4.36,1.57,2.79,2.62,0.87,1.05,0.52,0.35,0.52,n
3.85,0,3.85,0,0,3.85,7.69,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,y
8.27,7.52,0.75,0,0.75,0,9.02,0,0,0,1.5,10.53,0,3.01,3.01,3.01,0.75,2.26,10.53,3.01,1.5,3.01,0,0,n
11.36,9.09,2.27,0,1.14,0,5.68,1.14,0,1.14,0,5.68,2.27,0,0,1.14,2.27,0,2.27,1.14,3.41,0,0,0,y
7,5.25,1.36,0,0.58,0.19,7,0.39,0.78,0,0.39,9.14,0.97,0.97,1.36,2.92,1.56,2.92,0.97,1.17,0.58,0,1.56,0.39,n
7.77,4.49,3.06,0.22,0.98,0.33,8.1,1.2,0.44,2.95,0.33,7.99,1.75,0.66,1.42,1.75,0.77,2.52,1.64,2.74,0.44,1.64,0.22,0,y
7.6,5.32,2.28,0.38,0.76,1.52,3.8,0,0,0,0,8.37,1.14,0.76,1.52,1.52,1.14,2.28,3.8,3.42,0.38,1.14,0.76,0.38,y
9.37,7.11,2.14,0,0.9,0.11,10.38,0.45,0.45,2.48,0,7.22,1.02,1.47,1.69,1.58,0.9,1.24,2.03,1.92,1.13,0.79,0.23,0.11,n
6.45,6.45,0,0,0,0,8.06,0,1.61,0,1.61,8.06,0,3.23,1.61,3.23,0,0,1.61,3.23,1.61,1.61,0,0,y
11.11,3.7,7.41,0,3.7,3.7,7.41,0,0,0,0,25.93,0,3.7,3.7,7.41,7.41,3.7,3.7,0,0,0,0,0,n
8.12,5.62,2.5,0.62,1.25,0,2.5,0,0,0,0,8.12,1.88,1.25,1.25,1.88,0,2.5,1.88,1.88,0.62,0.62,0,0.62,n
15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,n
5.88,4.07,1.81,0.45,0.45,0,5.43,0.9,0,1.81,1.81,9.5,0.9,0.9,1.36,2.26,1.36,2.71,0,3.17,1.36,0.45,0.45,0,y
5.19,3.9,1.3,0,0,0,0,0,0,0,0,7.79,0,1.3,1.3,1.3,0,3.9,1.3,1.3,1.3,0,0,0,y
2.88,1.44,1.44,0,0,0,5.04,0,0,0,0,9.35,2.16,0,0.72,1.44,2.88,3.6,0.72,1.44,0.72,0.72,0,0,y
7.38,6.71,0.67,0,0,0.67,8.72,0,0,0,0,20.81,7.38,0,5.37,8.72,3.36,3.36,3.36,4.03,0,0.67,0.67,0,y
6.58,5.26,1.32,0,1.32,0,9.21,1.32,1.32,0,1.32,10.53,0,0,0,2.63,5.26,2.63,2.63,2.63,1.32,0,0,0,y
6.83,4.44,2.34,0.58,0.18,0.53,8.35,0.23,0.12,2.28,0.06,10.33,1.81,1.28,1.23,2.63,1.58,2.69,1.81,1.58,0.82,0.47,0.12,0.12,n
33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n
16.67,8.33,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,n
0,0,0,0,0,0,2.56,2.56,0,0,2.56,10.26,7.69,0,5.13,2.56,0,0,12.82,0,0,2.56,0,0,n
4.02,0.57,3.45,0,0.57,1.15,2.87,0,0,0,1.72,9.2,1.72,0,1.15,5.75,1.15,1.15,4.6,0,1.15,1.15,0,0,y
11.45,8.23,3.01,0,0.8,0.4,8.23,1,0.4,1.2,0.6,10.44,2.01,1.81,1,2.01,1.41,2.61,1.41,4.22,0.2,0.2,0.6,0,y
10.29,7.35,2.94,0,1.47,0,8.82,0,1.47,1.47,0,10.29,0,1.47,2.94,1.47,1.47,2.94,1.47,4.41,1.47,1.47,1.47,0,n
8.75,3.75,5,2.5,0,2.5,2.5,0,0,0,0,10,0,1.25,1.25,5,1.25,1.25,1.25,1.25,0,0,0,0,n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
4.38,3.46,0.69,0,0.23,0.23,15.9,1.84,0.23,1.15,3,11.29,2.3,1.38,1.84,2.53,1.61,3.92,1.15,0.69,0.92,0.46,2.76,0.23,y
9.63,7.37,2.27,0.57,0.28,0.57,9.63,0.57,0.28,0.28,0.28,13.6,3.4,2.27,2.27,3.12,1.13,4.25,1.98,3.12,0.85,0.28,1.42,0,y
9.08,6.41,2.68,0.13,1.76,0.26,8.63,0.46,0.59,0.65,0.78,11.05,1.37,1.31,2.81,3.4,0.65,3.53,1.44,3.79,0.72,0.33,0.39,0.26,y
6.03,3.12,2.9,0.67,1.12,0.22,6.25,0.22,0.89,0,0.45,10.94,2.01,2.01,1.56,2.68,1.79,2.68,4.24,2.68,0.45,0.89,0.22,0.45,n
7.23,3.61,3.61,0,2.41,0,14.46,0,3.61,0,0,9.64,2.41,2.41,0,1.2,2.41,2.41,2.41,2.41,0,0,0,0,y
4,0,4,0,0,0,0,0,0,0,0,8,0,0,4,0,4,0,0,0,0,0,0,0,y
7.08,3.54,3.54,0,1.77,0.88,7.96,0,1.77,0,0,10.62,1.77,0.88,0.88,4.42,0.88,4.42,0,1.77,0,0.88,0,0,y
14.29,7.14,7.14,0,0,7.14,7.14,0,7.14,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,n
0,0,0,0,0,0,0,0,0,0,0,21.05,0,0,0,5.26,0,21.05,0,10.53,0,0,0,0,y
12.35,9.88,2.47,0,2.47,0,11.11,0,1.23,0,0,3.7,0,0,2.47,3.7,0,1.23,1.23,1.23,0,0,0,2.47,y
8.47,6.35,2.12,0,0,0.53,11.64,0,3.17,0,0.53,12.7,2.65,0.53,1.59,5.29,3.7,1.59,1.59,2.65,0,0,0,0,y
7.26,5.03,2.23,1.12,0.56,0.56,17.88,2.23,1.12,0,1.12,8.38,1.68,1.12,2.23,2.79,0.56,2.79,0.56,4.47,3.35,0,2.79,0,y
4.08,0,4.08,0,4.08,0,4.08,0,0,0,0,6.12,0,4.08,0,0,2.04,0,4.08,2.04,0,0,2.04,0,y
4.88,2.5,2.25,0.75,0.5,0.5,9.76,0.13,0.13,0,3.13,12.52,2.63,2,1.63,3.25,1.38,3.75,2.25,1.63,0.5,0.63,0.75,0.13,n
3.37,0,3.37,0,1.12,1.12,11.24,0,0,4.49,0,10.11,2.25,1.12,3.37,3.37,0,3.37,2.25,0,3.37,0,0,0,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,y
8.05,5.75,2.3,0,2.3,0,10.34,0,2.3,0,0,6.9,1.15,0,1.15,2.3,1.15,4.6,3.45,3.45,0,0,2.3,0,n
6.06,6.06,0,0,0,0,6.06,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
22.22,22.22,0,0,0,0,22.22,11.11,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,22.22,0,y
3.57,3.57,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
16.67,16.67,0,0,0,0,0,0,0,0,0,33.33,8.33,0,8.33,0,8.33,8.33,0,0,0,0,8.33,0,y
9.65,7.46,2.19,0,1.32,0,5.7,0,1.32,0,0.44,13.6,0.88,2.19,2.63,3.95,0.88,5.26,3.95,1.32,1.32,0.88,0,0.44,y
12.68,12.68,0,0,0,0,7.04,0,0,0,0,19.72,2.82,2.82,2.82,2.82,5.63,2.82,5.63,1.41,0,1.41,0,0,y
9.82,6.12,3.49,0.14,1.78,0.57,5.48,0.36,0.36,0,0.36,11.67,1.78,1.35,1.99,2.35,1.57,4.06,1.99,1.78,0.64,0.28,0.43,0.14,y
8.51,6.38,2.13,0,0,2.13,4.26,0,0,0,0,0,0,0,0,0,0,0,2.13,4.26,0,2.13,4.26,0,y
10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,7.69,0,0,0,0,0,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
3.03,3.03,0,0,0,0,6.06,0,0,0,0,6.06,0,0,0,0,0,6.06,3.03,6.06,3.03,3.03,0,0,y
8.76,5.47,3.28,0.36,1.82,0.73,9.49,2.19,0.36,2.19,1.46,8.39,1.46,0.73,0.36,1.82,2.55,1.46,1.09,1.46,0.73,0.73,0,0,y
