@relation '3. AgreeablenessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-12,14,17-20,22-35,37-39,41-46,48-49,51-75,78-79,81-89,91,93-95,97-99'

@attribute Clout numeric
@attribute WPS numeric
@attribute we numeric
@attribute shehe numeric
@attribute they numeric
@attribute adverb numeric
@attribute social numeric
@attribute male numeric
@attribute differ numeric
@attribute hear numeric
@attribute informal numeric
@attribute swear numeric
@attribute nonflu numeric
@attribute Quote numeric
@attribute Parenth numeric
@attribute NBETWEENNESS numeric
@attribute TRANSITIVITY numeric
@attribute cAGR {n,y}

@data
44.46,10.24,0,0.93,0.47,4.19,6.05,0.47,2.79,0,4.65,0.93,0.93,0.93,2.79,94.52,0.15,n
42.81,10.65,0.34,0.9,0.34,6,7.24,0.57,3.17,0.68,2.6,0.79,0.45,1.13,1.36,98.64,0.01,n
23.92,18.14,0,0,0,3.94,6.3,0,3.15,2.36,1.57,0,0.79,0,0,85.28,0.37,n
50,10,0,0,0,10,0,0,0,0,0,0,0,0,0,94.3,0.22,n
80.2,5.3,1.89,0,0,0.94,7.55,0,0.94,0.94,1.89,0,0,0,0,84.09,0.33,n
32.15,9.86,0.17,0.86,0.52,5.15,5.84,0.86,1.55,2.06,2.75,0.86,0.69,2.41,0.34,96.74,0.11,y
34.29,8.25,0,3.03,0,4.04,9.09,4.04,5.05,0,2.02,1.01,0,2.02,0,97.95,0.08,y
74.53,9.33,0.55,0,0.27,5.22,11.54,0.27,3.85,1.37,1.1,0,0,1.1,1.65,98.15,0.04,y
42.23,7.29,0,0.98,0,3.92,6.86,0.98,0,0.98,9.8,3.92,0.98,0,0,95.81,0.17,n
44.45,17.18,0.47,0.7,1.28,4.42,8.61,1.05,3.73,0.47,1.28,0.35,0.35,0.93,1.4,98.98,0.03,y
33.84,26.22,0.18,0.13,0.13,4.43,5.48,0.13,3.24,0.75,1.67,0.18,0.39,0.44,0.44,93.3,0.18,n
39.25,8.86,0.78,0,0,1.56,2.33,0,1.56,0,1.56,0,0,0.78,0.78,98.92,0.03,y
87.57,8.67,0,0,3.85,0,11.54,0,0,0,0,0,0,0,0,96.37,0.12,y
76.6,10.23,0.3,4.94,0.71,4.84,10.79,0,2.92,0.6,1.31,0.3,0.2,0,0.1,98.37,0.06,y
65.86,6.53,0,2.04,0,5.1,10.2,2.04,3.06,1.02,6.12,0,1.02,0,0,90.83,0.05,n
32.4,5.05,1.02,0.51,0,4.57,4.06,0,2.54,1.02,4.57,1.52,1.52,0,0.51,94.92,0.13,y
24.51,14.5,0,0,0,10.34,6.9,0,0,0,3.45,0,0,0,0,89.29,0.06,n
60.95,10.12,0.31,2.78,0,6.48,9.26,0.62,4.32,1.54,1.54,0.62,0.93,2.47,0,98.36,0.07,n
63.31,23.21,1.93,0.42,1.02,4.35,9.71,0.72,4.35,0.83,0.45,0.19,0.11,0.08,0.15,73.16,0.21,y
57.44,9.41,0,1.88,0,3.75,6.25,0,1.25,0,6.88,0,0,0,0,93.47,0.19,y
50,4.83,0,0,0,6.9,6.9,0,0,0,3.45,3.45,0,0,0,88.4,0.04,n
64.37,5.34,0.33,1.84,0,4.68,6.86,0.33,1.17,0.67,2.01,0.17,0,0.33,1,97.73,0.04,y
27.43,14.71,0,0,0,4.4,4.4,0.4,2,0,2,0.4,0.4,0,0,96.07,0.01,n
50,5,0,0,0,8,0,0,0,0,0,0,0,0,0,94.78,0.16,y
45.16,7.45,0,1.22,0,7.32,2.44,1.22,0,0,0,0,0,0,0,81.15,0.31,y
76.72,6.49,0.54,1.08,0,4.59,12.16,1.35,2.43,0.81,3.78,0.27,0.27,4.32,0.27,69.16,0.33,y
50,7.4,0,0,0,5.41,10.81,0,0,0,0,0,0,0,0,86.09,0.39,y
34.9,7.81,0.35,0.35,0.59,5.64,7.87,0.35,3.17,1.18,4,0.71,0.47,2.82,0.71,96.69,0.12,n
41.35,13.7,0,2.19,0,5.11,4.38,2.19,2.92,0,0.73,0.73,0,0,0,98.16,0.06,y
35.41,11.89,0,0,0,2.8,3.74,0,1.87,0.93,1.87,0.93,0,0,0,95.49,0.26,n
60,19.3,1.45,0.36,0.36,3.73,9.04,0.6,2.17,0.24,2.77,0,0,0.48,0.24,98.99,0.05,y
66.81,7.08,0,1.09,0,10.87,7.61,0,2.17,2.17,3.26,1.09,1.09,4.35,0,96.22,0.19,n
36.27,7.39,0.17,0.25,0,4.51,5.1,0.17,2.76,0.5,4.93,1.25,0.67,0.84,0.17,98.85,0.03,y
61.07,6.95,0.35,1.05,0.35,9.47,10.18,1.05,2.11,0.7,3.51,0,1.05,0,1.4,94.9,0.21,y
1,7,0,0,0,7.14,0,0,14.29,0,7.14,7.14,0,0,0,95.9,0.09,n
50,7.96,0,0,0.48,7.73,9.18,0,3.38,0.97,0.97,0,0,0,0,95.2,0.21,n
38.87,10.41,0,1.13,1.13,3.95,6.78,1.69,4.52,0,2.82,0.56,0.56,0,0,83.4,0.36,n
1,15.33,0,0,0,10.87,4.35,0,8.7,0,0,0,0,4.35,0,80.95,0.37,n
31.26,9.24,0.17,0.35,0.35,8.9,4.54,0.52,2.79,1.05,2.44,0.52,0.7,2.27,1.75,97.14,0.13,n
12.43,5.2,0,0,0,3.85,7.69,0,0,7.69,0,0,0,0,0,97.43,0.08,y
61.84,6.33,0,0.75,0,3.76,9.02,1.5,2.26,2.26,2.26,0,0,1.5,0,89.11,0.11,y
67.52,29.33,1.14,1.14,0,5.68,5.68,0,0,0,4.55,0,0,0,0,95.81,0.01,y
50,17.72,0.97,0.19,0,2.72,7,0.39,2.92,0.39,3.89,0,0,0,0.19,97.88,0.06,n
52.19,10.88,0.11,1.75,0.11,3.28,8.1,0.33,2.52,0,1.64,0.44,0.33,0.66,1.31,92.86,0.22,n
48.48,9.39,0.38,0,0,3.8,3.8,0,2.28,0.76,1.52,0.38,0,0,0.38,95.44,0.13,n
67.41,11.22,0.11,2.03,0.56,4.4,10.38,0,1.24,0.11,8.35,0.9,0.79,0,1.02,95.94,0.12,n
62.65,12.4,0,1.61,0,3.23,8.06,1.61,0,0,3.23,0,0,0,0,98.16,0.05,y
50,5.4,0,0,0,11.11,7.41,0,3.7,0,3.7,0,0,0,0,92.67,0.21,n
33.09,11.43,0.62,0,0,5.62,2.5,0,2.5,0,5,0,0.62,0,0,97.52,0.07,y
50,6.5,0,0,0,7.69,0,0,0,0,0,0,0,0,0,97.81,0.06,n
44.61,20.09,0,1.81,0.45,6.33,5.43,1.81,2.71,0.9,0.45,0,0,0,1.81,91.52,0.19,y
18.16,11,0,0,0,5.19,0,0,3.9,0,0,0,0,2.6,0,96.98,0.09,n
25.86,9.93,0,0,0,11.51,5.04,0,3.6,0.72,1.44,1.44,0,0,1.44,99.82,0.01,n
70.45,16.56,0,0,0.67,4.03,8.72,0,3.36,0,2.68,0,0,2.68,0,97.32,0.06,n
21.49,6.91,0,1.32,0,7.89,9.21,1.32,2.63,0,2.63,1.32,0,0,0,99,0.03,n
59.69,17.48,1.58,2.1,0.23,6.36,8.35,0.06,2.69,0.41,1.81,0.18,0.29,0.93,0.58,93.82,0.22,n
50,3,0,0,0,0,0,0,0,0,33.33,0,0,0,0,97.94,0.04,n
1,4,0,0,0,16.67,0,0,8.33,0,25,8.33,0,0,0,92.24,0.35,n
60.13,9.75,0,0,0,0,2.56,2.56,0,0,0,0,0,0,15.38,95.83,0.21,y
15.04,11.6,0,1.72,0,5.17,2.87,1.72,1.15,0,2.3,1.15,0.57,0,0,74.57,0.16,y
35.13,5.86,0.2,0.6,0.6,6.63,8.23,0.6,2.61,2.01,6.02,0.6,0.6,0.4,0.4,97.8,0.07,y
50,8.5,0,0,2.94,8.82,8.82,0,2.94,0,10.29,1.47,1.47,0,0,97.31,0,y
15.86,6.67,0,0,0,8.75,2.5,0,1.25,0,2.5,0,0,2.5,0,86.33,0.31,n
50,3,0,0,0,33.33,0,0,0,0,0,0,0,0,0,98.98,0.04,n
85.54,12.06,2.07,3,2.07,3.69,15.9,3,3.92,0.46,0.69,0,0.23,5.07,0,94.72,0.15,y
48.87,9.81,1.98,0.57,0.57,5.1,9.63,0.28,4.25,0.57,2.55,0,0.28,0.57,0,96.3,0.1,n
38.92,13.54,0.26,0.85,0.2,5.49,8.63,0.78,3.53,1.31,3.66,0.92,0.52,0.92,0.39,84.25,0.39,y
55.32,13.18,0.45,0.22,0.45,5.36,6.25,0.45,2.68,1.56,1.34,0.45,0.45,1.79,2.68,90.43,0.44,y
80.04,10.38,3.61,0,0,8.43,14.46,0,2.41,0,2.41,2.41,0,0,0,96.92,0.1,y
5.5,25,0,0,0,0,0,0,0,0,12,0,0,0,0,99.67,0.01,y
50,12.56,0,0,0,3.54,7.96,0,4.42,0.88,1.77,1.77,0,0,4.42,95.18,0.15,y
23.75,14,0,0,0,7.14,7.14,0,0,0,7.14,7.14,0,0,0,92.22,0.17,n
1,9.5,0,0,0,10.53,0,0,21.05,0,0,0,0,0,0,96.53,0.16,n
77.05,11.57,0,0,1.23,3.7,11.11,0,1.23,1.23,8.64,0,0,0,0,98.55,0.02,y
66.4,6.52,1.06,0.53,1.06,5.82,11.64,0.53,1.59,0,2.12,0,0.53,0,3.17,99.49,0.02,y
93.41,14.92,1.68,1.12,1.68,4.47,17.88,1.12,2.79,0,1.12,0,0,0,1.12,93.79,0.17,y
27.03,9.8,0,0,0,8.16,4.08,0,0,2.04,6.12,4.08,0,0,0,97.04,0.08,y
68.27,13.54,0.75,3.13,0.13,5.26,9.76,3.13,3.75,0.88,0.5,0,0.13,0.25,1,97.2,0.08,y
50,8.9,1.12,4.49,0,3.37,11.24,0,3.37,1.12,3.37,1.12,1.12,4.49,0,96.19,0.11,n
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86.65,0.39,y
82.12,14.5,0,0,0,1.15,10.34,0,4.6,2.3,1.15,0,0,0,0,94.51,0.01,n
72.77,8.25,0,0,0,0,6.06,0,0,0,15.15,0,0,0,0,95.11,0.22,n
99,4.5,0,0,0,0,22.22,0,0,0,11.11,0,0,0,0,83.97,0.29,n
50,7,0,0,0,0,3.57,0,0,0,3.57,0,0,0,0,95.92,0.13,n
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93.22,0.11,n
4.8,6,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,91.73,0.26,n
16.73,9.5,0.44,0,1.32,10.53,5.7,0.44,5.26,0.44,3.95,0.88,0,0.88,0,95.51,0.18,y
71.35,14.2,0,0,0,7.04,7.04,0,2.82,0,4.23,0,0,0,2.82,95.58,0.17,y
13.65,7.59,0.07,0,0.14,6.26,5.48,0.36,4.06,1.35,3.63,1,0.64,1.42,0.14,86.79,0.36,n
41.59,6.71,0,0,0,10.64,4.26,0,0,0,4.26,0,4.26,0,0,84.17,0.28,n
15.86,5,0,0,0,0,10,0,0,0,0,0,0,0,0,97.16,0.12,y
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.21,0.63,y
99,5.5,0,0,0,9.09,18.18,0,0,0,0,0,0,0,0,88.4,0.26,y
50,6.5,0,0,0,0,0,0,0,0,7.69,0,0,0,0,98.25,0.05,n
50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,95.77,0.13,n
38.08,16.5,3.03,0,0,6.06,6.06,0,6.06,0,0,0,0,0,0,93.46,0.15,n
47.08,6.85,0,1.09,0,5.11,9.49,1.46,1.46,0,7.3,1.82,0.36,2.19,4.74,98.17,0.04,y
52.56,9.34,0.38,1.02,0.26,5.95,7.26,1.25,2.43,1.44,3.16,0.54,0.9,1.79,0.22,94.82,0.17,n
47.14,12.73,0,0,0.71,5,5,0,0,0.71,1.43,0,0.71,1.43,0,70.55,0.34,n
59.18,86,4.26,0.39,0.39,4.65,8.53,0.78,1.94,0.78,12.4,1.16,0.39,0,1.16,94.75,0.14,y
50.79,12.78,1.09,0.59,0.5,5.25,6.93,0.79,2.18,0.99,1.68,0.3,0,1.58,0.2,98.39,0.07,y
50,9.86,0.34,0.68,0.34,4.85,7.1,1.13,2.82,0.45,4.28,0.56,0.9,1.13,1.13,99.63,0.01,y
48.05,8.88,0.73,0.79,0.49,7.18,7.24,0.67,3.41,0.73,3.41,0.55,0.67,1.58,0.85,98.6,0.07,n
52.29,18.57,0.8,0.11,1.37,3.89,8.93,0.34,3.44,1.03,1.26,0.46,0,2.63,0.46,93.77,0.16,y
53.07,10.56,0.36,1.22,0.41,4.42,7.62,1.08,2.71,1.17,2.93,0.45,0.45,0.36,0.54,97.52,0.08,y
65.12,22.89,0.49,3.4,0.97,6.8,10.68,2.43,1.94,0,3.4,0,1.46,0,0,98.42,0.05,y
45.5,5.54,0,0.16,0.48,5.32,5.81,0.16,1.61,0.48,4.35,0.32,0.32,1.61,1.29,98.1,0.02,n
24,6.07,1.18,0,0,5.88,2.35,0,3.53,1.18,10.59,0,2.35,0,0,99.34,0.02,y
64.95,13.9,0.24,0.48,0,1.92,3.84,0.48,0.24,0,0.72,0,0.24,0,0.48,99.45,0.02,y
74.64,8.52,0.07,2.56,0.28,5.18,9.19,0.55,1.52,1.04,1.45,0.41,0.41,1.59,1.66,98.49,0.03,n
64.06,12.04,0.65,0.26,0.52,2.42,7.59,0.78,2.94,0.13,0.92,0,0,0.78,0.39,97.23,0.08,y
47.61,6.49,0.07,0.46,0.86,4.32,5.84,0.73,1.53,0.13,3.12,0.73,0.33,0.27,0,86.33,0.36,n
33.41,6.36,0,0,1.43,7.14,2.86,0,1.43,0,4.29,4.29,0,0,0,97.48,0.1,y
40.39,9.56,0.73,0.73,0.97,3.65,5.6,0.24,3.89,0.49,0.49,0,0.24,0.49,0,84.9,0.04,n
94.64,21.46,0,0.36,5.73,9.32,15.41,0.36,2.15,0.36,1.79,0.36,0.36,0,0,98.38,0.05,n
58.13,14.24,0,2.91,0.68,3.6,7.53,3.08,2.23,0.51,3.25,0.34,0.51,0,0,96.44,0.16,y
82.26,10.51,2.05,1.35,0.22,5.28,13.22,1.75,2.18,0.26,2.62,0.22,0.83,1.61,0.26,96.03,0.09,n
44.42,15.67,0.62,1.07,0.25,5.57,7.98,1.24,2.81,0.56,1.21,0.53,0.31,0.51,0.28,91.7,0.23,y
48.89,15.04,0.14,0.28,0.14,3.32,5.82,0.55,2.63,0.55,3.19,0,0.14,2.22,0.83,95.06,0.14,y
64.4,17.21,1.49,0.3,0.41,4.02,6.63,0.75,2.12,0.41,1.27,0.11,0.26,0.26,0,94.98,0.13,y
51.34,10.85,0.5,0.08,0.59,4.52,8.29,1.01,2.01,1.34,3.27,0.67,1.01,0,0,96.43,0.09,n
50,7.48,0.64,0,0,5.73,7.01,0,1.91,1.27,2.55,0.64,0,1.27,1.27,97.97,0.06,n
53.6,10.57,0,0.34,0.23,3.04,3.15,0.23,1.01,1.24,3.27,0,0.56,0.68,0.45,98.02,0.03,n
80.57,6.39,0.32,1.6,0,5.11,11.5,0.64,2.24,0.32,0.96,0,0,0,0,96.81,0.08,n
57.77,10.29,0.86,1.33,0.08,4.15,5.41,1.57,1.96,0.63,1.96,0.39,0.47,0.39,1.72,92.37,0.29,n
67.43,13.5,0.92,0.92,0.72,4.06,8.19,1.11,2.75,0.39,0.92,0.13,0.2,1.83,0.79,88.27,0.28,n
74.3,7.08,1.09,0.36,0.72,7.97,10.14,1.09,3.26,1.45,3.26,0.72,0.72,3.62,0,95.18,0.11,y
47.38,10.71,0.76,0.6,0.22,4.59,7.65,0.93,2.79,0.55,2.79,0.93,0.05,0.22,0,95.26,0.11,y
72.17,2.83,0,0,0,0,5.88,0,0,0,5.88,0,0,0,0,91.19,0.36,n
50,7.16,0.91,1.45,0,4.72,7.08,2.18,3.81,0.36,1.45,0.18,0.36,2.72,1.09,97.05,0.08,y
38.01,7.76,0,1.25,0.42,6.09,6.51,0.42,4.16,0.28,3.74,0.28,1.52,0.28,1.94,97.22,0.03,n
61.59,7.68,0.23,0.77,0.08,3.25,6.66,0.31,1.63,0.46,2.71,0,0.31,1.08,1.32,83.49,0.32,y
70.08,12,1.75,1.32,0,3.51,8.77,1.75,2.63,0,0,0,0,0,1.75,97.98,0.04,y
28.55,12.19,0,0.2,0,6.05,2.93,0.78,3.12,0.78,0.98,0.2,0.2,1.56,1.17,89.94,0.26,n
66.38,9.84,1.21,0.91,1.21,3.52,9.86,1.21,2.52,0.1,1.81,1.21,0,4.83,0,94.09,0.15,y
42.86,35.79,0,0.2,0.2,7.78,6.79,0.2,3.79,0,8.38,0.2,1.6,0,0,98.27,0.06,n
75.98,15.3,0.05,3.22,0.16,5.81,9.96,0.1,2.07,0.41,3.94,0.1,0.88,0.31,0.57,98.47,0.07,y
22.82,9.81,0,0,0,4.71,2.35,0,2.75,0,8.24,0,0,0,0.39,95.65,0.08,y
56.63,14.4,0,0,0.28,5.56,7.22,0,2.78,0.28,3.06,0.83,0.56,0,1.67,93.65,0.19,y
26.16,4.7,0,0,0,8.51,4.26,0,4.26,0,4.26,2.13,0,0,0,98.23,0.06,n
33.93,10.42,0.13,0.53,0.46,5.06,6.31,0.2,1.91,0.33,2.63,0.2,0.2,0.66,0.72,88.87,0.17,y
56.21,17.22,0.51,1.02,0.51,4.4,6.96,0.35,1.79,0.54,3.54,0.26,0.22,0.89,1.85,95.61,0.11,n
50.88,7.44,0.37,0.95,0.37,5.29,5.14,0.29,2.06,0.81,1.76,0.15,0.22,0,0.88,66.08,0.12,n
70.48,9.65,1.39,0.4,0.4,4.58,9.56,0.6,2.79,0.4,0.2,0,0,0,0,97.64,0.06,y
67.55,16.31,0,1.4,0.53,4.55,8.93,1.75,1.4,0.53,1.58,0.35,0.7,1.4,0.7,98.14,0.05,y
62.68,10.19,1,0.56,0.67,4.01,7.13,0.56,2.9,0.56,0.22,0,0,1.78,2.01,95.16,0.12,y
78.26,8.22,0.9,1.95,0.45,3.3,12.01,1.35,1.35,0.9,2.25,0.15,0.45,0.15,0.9,97.11,0.09,y
32.6,26.6,0,0.75,0,2.63,6.39,1.88,4.51,0.75,5.64,2.63,0,0.75,0,92.65,0.38,n
27.27,11.57,0,0.22,0.65,2.81,6.91,0.86,3.89,0.65,0.43,0,0,0.86,3.89,95.22,0.16,y
67.37,12.65,0.28,2.94,0.09,3.49,7.9,1.01,1.65,0.74,1.19,0,0.28,1.84,0.74,99.34,0.03,y
35.92,19.97,0.31,0.57,0.31,5.62,5.23,0.44,2.85,0.97,3.12,0.44,0.48,1.41,0.22,96.88,0.07,y
40.75,8.39,0.07,1.86,0.07,4.68,5.79,0.07,2.69,0.9,4.68,0.28,0.55,0.55,0.21,97.27,0.08,y
38.25,5.58,0.75,0,0,8.21,2.24,0,2.99,0,6.72,0,1.49,0,0,98.24,0.04,y
75.07,7.67,0,0.48,0,3.86,9.18,2.9,1.45,0.97,0.97,0,0.48,0,0,94.7,0.18,n
