@relation '8. AgreeablenessFinder_Self Focus + SN Features'

@attribute work numeric
@attribute leisure numeric
@attribute home numeric
@attribute money numeric
@attribute relig numeric
@attribute death numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cAGR {n,y}

@data
0.45,0.45,0.9,0.45,0.45,0,622,188741,98.04,0.01,190791,0.5,0.11,y
2.91,1.29,0,0.65,0.97,0.32,267,33049.5,93.77,0.03,34304,0.49,0.2,n
1.89,1.32,0.38,0.19,0.19,0,1151,650745,98.5,0.01,656894,0.5,0.06,y
4.92,1.09,1.64,0,1.09,0,313,45656,94.11,0.03,47527,0.49,0.13,n
5.03,2.05,1.86,0.46,0.31,0.04,965,453685,97.74,0.01,460223,0.5,0.08,n
0.7,0.93,1.4,0.23,0.23,0.23,671,216520,96.61,0.02,220974,0.49,0.17,n
3.09,3.65,0.84,0,0.28,0.28,241,28030.7,97.74,0.02,28314,0.49,0.07,y
1.88,2.63,0.19,0.94,0,0.19,159,10831.2,87.33,0.04,12050,0.49,0.1,n
0,0,0,0,0,0,907,404895,98.76,0.01,407823,0.5,0.04,n
3.74,2.01,0.29,0.57,0.57,0,459,102508,97.95,0.01,103590,0.49,0.08,y
1.19,3.57,2.38,0,0,0,72,2015.24,81.1,0.12,2262,0.46,0.38,n
2.33,2.09,0.23,0.23,0.7,0,91,3763.98,93.98,0.05,3899,0.49,0.09,n
0,0,0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,y
2.11,3.16,1.05,1.05,0,0,144,6219.2,61.25,0.15,8791,0.43,0.48,n
1.39,1.22,0.35,0.17,0.17,0,126,7710.5,99.49,0.02,7729,0.5,0.01,y
6.12,0,2.04,0,0,0,414,84404.8,99.21,0.01,84584,0.5,0.04,y
1.12,2.16,0.27,0.13,0.72,0.58,89,3036.16,79.31,0.12,3452,0.45,0.43,n
4.26,2.13,0,0,0,0,82,2956.54,91.25,0.09,3036,0.47,0.38,n
1.18,1.53,0.93,0.31,0.44,0.46,169,12774.1,91.06,0.05,13457,0.48,0.28,n
1.36,3.4,0.78,0.19,0.39,0.1,41,762.5,97.76,0.07,765,0.49,0.06,y
1.94,2.12,0.71,1.23,0,0.18,440,94264.3,98.05,0.01,95323,0.5,0.05,n
4.35,0,0,0,0,0,77,2816.33,98.82,0.03,2824,0.5,0.03,y
0.31,0.79,0.16,0.47,3.46,0.16,24,225,88.93,0.13,241,0.48,0.12,n
2.22,2.22,1.11,1.11,0,0,565,156458,98.55,0.01,157750,0.5,0.03,y
1.98,1.76,0.11,0.88,0.77,0.11,159,10399.2,83.84,0.08,11611,0.47,0.43,n
11.34,2.4,3.31,0.17,0.91,0,775,289468,96.76,0.01,296135,0.49,0.07,y
2.21,1.47,0,0,0.74,0,379,66420.9,93.22,0.03,69191,0.49,0.27,y
4.06,1.27,0,0.76,0.51,0.51,826,338268,99.52,0,339027,0.5,0.01,n
0.94,2.11,1.17,0.7,0,0.23,175,14199.5,94.34,0.04,14654,0.49,0.17,y
3.26,3.86,0,0.3,0,0.3,486,115531,98.43,0.01,116816,0.5,0.03,y
1.95,2.85,1.05,0.6,0.45,0.3,302,43566.4,96.49,0.02,44428,0.49,0.1,y
2.89,1.45,0.24,0.24,0,0.24,322,47166.9,91.84,0.02,50780,0.49,0.04,n
1.36,1.5,0.75,0.48,0.2,0.27,436,90494.3,95.87,0.02,92933,0.49,0.1,y
4.12,1.03,2.06,0,0,0,127,7633,96.93,0.03,7743,0.49,0.08,y
0,3.85,0,3.85,3.85,0,1098,593081,98.66,0.01,598066,0.5,0.04,n
3.59,2.16,0.09,0.45,0.18,0.18,313,48253.6,99.46,0.01,48356,0.5,0.01,y
0,3.85,0,3.85,0,0,457,100985,97.34,0.01,102634,0.49,0.06,y
1.99,3.78,1.59,0.2,0.6,0,139,9100.53,96.27,0.04,9251,0.49,0.11,n
5.81,1.55,0,0.39,0.39,0,95,4143.03,94.78,0.05,4239,0.48,0.16,n
2.79,1.4,1.4,1.4,0.47,0,243,27562,94.52,0.03,28498,0.49,0.15,n
2.15,2.04,0.34,0.9,0.57,0.11,1118,614830,98.64,0,622150,0.5,0.01,n
2.36,1.57,0.79,0,0,0,85,2972.73,85.28,0.1,3201,0.46,0.37,n
0,0,0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,n
1.89,2.83,0.94,1.89,0,0,216,19345.4,84.09,0.06,21766,0.47,0.33,n
3.09,1.72,0.86,1.72,0.17,0.34,962,446252,96.74,0.01,456202,0.49,0.11,y
0,0,0,0,1.01,0,559,152219,97.95,0.01,153896,0.5,0.08,y
1.37,1.65,1.1,0,0.55,0.27,238,27449.6,98.15,0.01,27822,0.5,0.04,y
0.98,2.94,0.98,0,0,0.98,138,8926.11,95.81,0.04,9061,0.49,0.17,n
1.4,2.21,0,0.58,0.47,0.23,431,91298.5,98.98,0.01,91701,0.5,0.03,y
2.72,4.16,1.05,1.18,0.22,0.22,236,25651.9,93.3,0.03,26805,0.49,0.18,n
0,0.39,0,0,0.78,0,1071,565761,98.92,0.01,569584,0.5,0.03,y
0,0,0,0,0,0,187,16580.2,96.37,0.03,16845,0.49,0.12,y
1.41,1.81,1.21,0.81,0.4,0.4,477,111206,98.37,0.01,112134,0.5,0.06,y
4.08,1.02,0,1.02,4.08,0,361,58695.3,90.83,0.02,63826,0.49,0.05,n
5.58,0.51,1.52,0,0,0,497,116529,94.92,0.02,120779,0.49,0.13,y
0,3.45,0,0,0,0,99,4243.83,89.29,0.04,4660,0.49,0.06,n
2.16,0.62,0.31,0.62,0,0.31,831,338383,98.36,0.01,341154,0.5,0.07,n
2.61,0.94,0.11,0.23,0.19,0.34,278,27967.7,73.16,0.04,36786,0.48,0.21,y
0,1.88,0,0,0,1.25,374,64849.8,93.47,0.03,67740,0.49,0.19,y
0,0,0,0,0,0,99,4201.5,88.4,0.03,4687,0.49,0.04,n
3.18,3.01,1.34,0.33,0.84,0,46,967.5,97.73,0.06,976,0.49,0.04,y
2,3.6,0.8,0,1.2,0.4,405,78205,96.07,0.01,81253,0.5,0.01,n
0,0,0,0,0,0,381,68247.6,94.78,0.03,70505,0.49,0.16,y
3.66,2.44,0,0,0,0,56,1205.1,81.15,0.12,1362,0.46,0.31,y
1.35,1.35,0,0.54,0.81,1.08,367,46193.6,69.16,0.06,62940,0.47,0.33,y
2.7,2.7,0,0,0,0,139,8137.73,86.09,0.08,8817,0.47,0.39,y
1.88,0.59,0.24,0.82,0.35,0.24,584,164031,96.69,0.02,167499,0.49,0.12,n
0,2.92,0,2.19,0,0,1043,532379,98.16,0.01,538780,0.5,0.06,y
0,3.74,0.93,0,0,0,457,99059.2,95.49,0.03,101166,0.49,0.26,n
3.61,1.45,0.36,0,0.36,0.36,695,238038,98.99,0.01,239033,0.5,0.05,y
0,1.09,1.09,0,0,0,255,30917.9,96.22,0.03,31439,0.49,0.19,n
3.76,3.43,0.42,0.58,0.67,0.33,40,732.5,98.85,0.06,734,0.5,0.03,y
1.4,1.4,1.05,0,0.7,0,277,36015.4,94.9,0.03,36920,0.49,0.21,y
14.29,0,0,0,0,0,378,67968.2,95.9,0.02,69841,0.49,0.09,n
2.9,4.35,0.97,0.48,0,0.97,167,13037.8,95.2,0.04,13281,0.48,0.21,n
0.56,1.13,0.56,1.13,0,0.56,197,15938.2,83.4,0.07,17908,0.47,0.36,n
2.17,2.17,0,2.17,0,0,119,5588.16,80.95,0.1,6340,0.46,0.37,n
2.62,0.87,1.05,0.52,0.35,0.52,262,32959,97.14,0.02,33381,0.49,0.13,n
0,0,0,0,0,0,563,153582,97.43,0.01,156035,0.49,0.08,y
10.53,3.01,1.5,3.01,0,0,266,31169.8,89.11,0.03,34191,0.49,0.11,y
2.27,1.14,3.41,0,0,0,1267,767221,95.81,0,798934,0.5,0.01,y
0.97,1.17,0.58,0,1.56,0.39,318,49024.8,97.88,0.02,49584,0.49,0.06,n
1.64,2.74,0.44,1.64,0.22,0,130,7666.67,92.86,0.05,7938,0.48,0.22,n
3.8,3.42,0.38,1.14,0.76,0.38,288,39168,95.44,0.02,40303,0.49,0.13,n
2.03,1.92,1.13,0.79,0.23,0.11,322,49274,95.94,0.02,50466,0.49,0.12,n
1.61,3.23,1.61,1.61,0,0,595,172875,98.16,0.01,174859,0.5,0.05,y
3.7,0,0,0,0,0,294,39642.4,92.67,0.04,41550,0.49,0.21,n
1.88,1.88,0.62,0.62,0,0.62,333,53583.4,97.52,0.02,54306,0.49,0.07,y
7.69,0,0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
0,3.17,1.36,0.45,0.45,0,174,13616.8,91.52,0.05,14360,0.48,0.19,y
1.3,1.3,1.3,0,0,0,176,14764.9,96.98,0.03,14973,0.49,0.09,n
0.72,1.44,0.72,0.72,0,0,1323,871606,99.82,0,872305,0.5,0.01,n
3.36,4.03,0,0.67,0.67,0,38,648.17,97.32,0.07,653,0.49,0.06,n
2.63,2.63,1.32,0,0,0,947,442522,99,0.01,444948,0.5,0.03,n
1.81,1.58,0.82,0.47,0.12,0.12,175,14120.1,93.82,0.04,14554,0.48,0.22,n
0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
0,0,0,0,0,0,134,8096.6,92.24,0.07,8311,0.47,0.35,n
12.82,0,0,2.56,0,0,622,184474,95.83,0.02,189353,0.49,0.21,y
4.6,0,1.15,1.15,0,0,257,24340.7,74.57,0.05,31404,0.48,0.16,y
1.41,4.22,0.2,0.2,0.6,0,413,82803.9,97.8,0.02,83757,0.49,0.07,y
1.47,4.41,1.47,1.47,1.47,0,1226,729549,97.31,0,749015,0.5,0,y
1.25,1.25,0,0,0,0,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,n
1.15,0.69,0.92,0.46,2.76,0.23,84,3223.35,94.72,0.06,3287,0.48,0.15,y
1.98,3.12,0.85,0.28,1.42,0,446,95134.1,96.3,0.02,97416,0.49,0.1,n
1.44,3.79,0.72,0.33,0.39,0.26,253,26645.7,84.25,0.07,29632,0.47,0.39,y
4.24,2.68,0.45,0.89,0.22,0.45,213,20225.1,90.43,0.07,21100,0.47,0.44,y
2.41,2.41,0,0,0,0,343,56515.9,96.92,0.02,57442,0.49,0.1,y
0,0,0,0,0,0,295,42927.7,99.67,0.01,42998,0.5,0.01,y
0,1.77,0,0.88,0,0,443,92762.5,95.18,0.02,95665,0.49,0.15,y
0,0,0,0,0,0,329,49454.7,92.22,0.03,52282,0.49,0.17,n
0,10.53,0,0,0,0,714,245021,96.53,0.02,250442,0.49,0.16,n
1.23,1.23,0,0,0,2.47,478,111885,98.55,0.01,113210,0.5,0.02,y
1.59,2.65,0,0,0,0,61,1761,99.49,0.04,1761,0.5,0.02,y
0.56,4.47,3.35,0,2.79,0,166,12689.4,93.79,0.04,13137,0.49,0.17,y
4.08,2.04,0,0,2.04,0,494,117689,97.04,0.01,119963,0.49,0.08,y
2.25,1.63,0.5,0.63,0.75,0.13,955,441841,97.2,0.01,450439,0.5,0.08,y
2.25,0,3.37,0,0,0,436,90799.3,96.19,0.02,92952,0.49,0.11,n
0,16.67,16.67,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,y
3.45,3.45,0,0,2.3,0,542,138053,94.51,0.01,145576,0.5,0.01,n
0,0,0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,n
0,0,0,0,22.22,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
0,0,0,0,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,n
0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
0,0,0,0,8.33,0,161,11667.8,91.73,0.05,12225,0.48,0.26,n
3.95,1.32,1.32,0.88,0,0.44,325,49975.1,95.51,0.03,51220,0.49,0.18,y
5.63,1.41,0,1.41,0,0,297,41728.8,95.58,0.03,42826,0.49,0.17,y
1.99,1.78,0.64,0.28,0.43,0.14,231,22856.8,86.79,0.06,24946,0.47,0.36,n
2.13,4.26,0,2.13,4.26,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
0,10,0,0,0,0,451,98153.1,97.16,0.02,99733,0.49,0.12,y
0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,y
0,0,0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
7.69,0,0,0,0,0,154,11424.5,98.25,0.02,11510,0.49,0.05,n
0,0,0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,n
3.03,6.06,3.03,3.03,0,0,535,133010,93.46,0.02,139855,0.49,0.15,n
1.09,1.46,0.73,0.73,0,0,285,39451.6,98.17,0.02,39856,0.5,0.04,y
2.21,2.05,0.64,0.54,0.29,0.22,356,59578.9,94.82,0.03,61533,0.49,0.17,n
2.14,2.14,0,0.71,0,0.71,222,17150.1,70.55,0.09,22359,0.46,0.34,n
2.71,0,0.39,0,0,0,145,9755.34,94.75,0.04,10042,0.49,0.14,y
2.18,2.18,0,1.19,0.4,0.5,739,267574,98.39,0.01,270029,0.5,0.07,y
3.38,2.14,0.45,1.13,0.11,0.23,145,10258,99.63,0.02,10272,0.5,0.01,y
2.01,1.64,0.3,0.67,0.61,0.3,633,196606,98.6,0.01,198186,0.5,0.07,n
1.37,2.29,0.57,0.23,0.69,0.46,332,51211.9,93.77,0.03,53309,0.49,0.16,y
1.94,2.07,0.45,0.36,0.27,0.36,50,1146.83,97.52,0.06,1150,0.49,0.08,y
2.91,1.46,1.46,0.49,0.97,0,628,193156,98.42,0.01,194779,0.5,0.05,y
4.35,0.97,0.97,0.97,0.97,0.16,89,3755.17,98.1,0.03,3804,0.5,0.02,n
0,2.35,0,0,0,0,1225,743530,99.34,0,746216,0.5,0.02,y
2.64,3.36,1.44,1.2,0.24,0.24,731,264627,99.45,0.01,265324,0.5,0.02,y
1.52,2.35,0.76,0.21,0.41,0.35,899,396675,98.49,0.01,400536,0.5,0.03,n
1.77,0.72,0,0.2,0.52,0.33,376,68180.7,97.23,0.02,69300,0.49,0.08,y
4.25,3.12,0.53,1,0.13,0.46,102,4359.8,86.33,0.09,4668,0.46,0.36,n
2.86,7.14,0,0,0,0,322,50065.9,97.48,0.02,50696,0.49,0.1,y
3.16,1.22,0.49,0.97,0.73,0.73,385,62433.4,84.9,0.02,72697,0.49,0.04,n
1.08,1.43,0,0.36,0,0,644,203058,98.38,0.01,204908,0.5,0.05,n
2.23,1.71,1.54,0.34,0,0,457,100045,96.44,0.02,102101,0.49,0.16,y
0.92,0.39,0.09,0.22,3.8,0.17,254,30611.8,96.03,0.02,31359,0.49,0.09,n
1.71,2.16,1.01,0.34,0.45,0.2,307,42793.6,91.7,0.04,45225,0.48,0.23,y
1.25,2.22,0.55,0,0.55,0.14,294,40662.7,95.06,0.03,41888,0.49,0.14,y
1.42,1.79,0.75,0.3,0.48,0.37,289,39253.6,94.98,0.03,40499,0.49,0.13,y
2.68,2.35,0.92,0.59,0.25,0.25,369,65119.5,96.43,0.02,66518,0.49,0.09,n
3.18,3.18,0,0,0.64,0,1264,780799,97.97,0.01,792237,0.5,0.06,n
2.93,5.63,1.13,0.34,0.34,0.11,57,1509.5,98.02,0.05,1522,0.49,0.03,n
1.28,1.6,0.64,0.32,1.28,0.64,290,40289.5,96.81,0.02,41037,0.49,0.08,n
2.43,1.65,1.65,0.86,0.71,0.94,198,17832.2,92.37,0.05,18495,0.48,0.29,n
5.05,1.51,0.46,2.03,0.39,0.33,171,12680.2,88.27,0.06,13671,0.48,0.28,n
0.72,3.26,0.72,0.72,1.09,0.36,326,50112.9,95.18,0.02,51706,0.49,0.11,y
3.82,3.93,0.27,0.71,0.16,0.55,241,27321.2,95.26,0.03,28150,0.49,0.11,y
0,11.76,0,0,0,0,177,14043.1,91.19,0.06,14643,0.48,0.36,n
2.72,0.73,0.91,0.18,0.18,0.18,464,103794,97.05,0.02,105666,0.49,0.08,y
4.85,2.77,0.55,0.69,0.14,0,265,33752.4,97.22,0.02,34425,0.5,0.03,n
1.78,1.01,0.08,0.08,0.7,0.23,102,4216.48,83.49,0.09,4694,0.46,0.32,y
2.63,1.75,1.32,0.44,0.44,0,802,313912,97.98,0.01,318280,0.5,0.04,y
0.98,2.15,0.59,0.39,0.2,0.2,122,6529.3,89.94,0.07,6893,0.47,0.26,n
2.41,0.3,0.1,0.8,1.01,0.4,216,21645,94.09,0.03,22428,0.49,0.15,y
1,2.2,0,0.6,0,0,315,48289.7,98.27,0.02,48683,0.5,0.06,n
1.45,1.35,0.67,0.41,0.16,0.1,1596,1251780,98.47,0.01,1263790,0.5,0.07,y
3.92,1.57,1.18,0,1.18,0,245,28355.6,95.65,0.03,29130,0.49,0.08,y
3.89,2.22,1.11,0,0.28,0,146,9777.14,93.65,0.05,10084,0.48,0.19,y
0,2.13,0,2.13,0,0,731,261379,98.23,0.01,264141,0.5,0.06,n
3.35,4.6,0.66,0.39,0.26,0.07,317,44228.9,88.87,0.03,48360,0.49,0.17,y
5.46,2.46,2.43,0.64,0.19,0.26,209,20582.2,95.61,0.03,21092,0.49,0.11,n
3.45,3.3,1.17,0.29,0.29,0,58,1054.67,66.08,0.08,1516,0.47,0.12,n
1.79,2.39,0.8,1.59,0.2,0,270,35195.6,97.64,0.02,35659,0.49,0.06,y
3.5,1.58,1.23,0.7,0.53,0.7,75,2650.67,98.14,0.04,2660,0.49,0.05,y
1.67,1.23,0.45,0.78,0.11,0.11,135,8479.96,95.16,0.04,8711,0.49,0.12,y
1.2,1.2,0.9,0.6,0.15,0.15,335,54004.8,97.11,0.02,54838,0.49,0.09,y
0.38,4.14,0.38,0.38,0,0,312,44661,92.65,0.05,46150,0.48,0.38,n
4.54,1.73,0.22,0.43,1.08,0.43,306,44142.5,95.22,0.03,45388,0.49,0.16,y
1.01,2.21,1.01,0.28,1.29,0,1460,1056550,99.34,0,1060480,0.5,0.03,y
1.58,3.73,0.88,0.66,0.13,0.13,300,43159,96.88,0.02,43968,0.49,0.07,y
3.99,2.48,1.1,0.34,0.07,0.07,775,290973,97.27,0.01,296174,0.5,0.08,y
0.75,3.73,0,0.75,0,0,381,70739.6,98.24,0.01,71416,0.5,0.04,y
0.48,0.97,0,0,0,0,573,154659,94.7,0.02,160407,0.49,0.18,n
2.77,3.2,0.53,0.64,0.21,0.32,332,51657.2,94.58,0.03,53320,0.49,0.2,y
6.15,1.54,0,0.77,0,0.77,950,438219,97.42,0.01,445454,0.5,0.09,n
2.77,1.75,1.02,0.58,0,0,354,59885.4,96.39,0.02,61142,0.49,0.1,n
2.88,1.62,0.23,0.36,0.59,0.14,463,103722,97.4,0.02,105113,0.49,0.13,y
1.1,0.73,0.12,0.49,0.61,0.37,256,30788.5,95.07,0.03,31646,0.49,0.16,y
2.1,1.5,0.9,0.3,0,0,1350,895790,98.52,0.01,904309,0.5,0.05,y
3.72,0.99,0.99,0.11,0.55,0.11,196,15523.1,82.07,0.06,17982,0.48,0.25,n
3.4,1.42,0.57,0,0.28,0,258,29260.8,88.95,0.07,30879,0.47,0.46,n
2.72,1.45,0.54,2.36,0,0,606,177453,97.12,0.01,180788,0.49,0.07,y
1.69,2.17,0.48,0.24,0.97,0,134,8649.25,98.53,0.02,8697,0.5,0.03,y
3.2,3.01,1.32,0.94,0.19,0,77,2830.5,99.32,0.03,2837,0.5,0.01,y
2.22,4,2.67,0.44,1.33,0,959,441049,96.21,0.01,453251,0.49,0.1,y
2.07,1.78,0,1.33,0.15,0.15,475,108866,97.11,0.02,110588,0.49,0.13,n
1.98,3.11,0.19,0.19,0.28,0.19,699,236036,97.03,0.01,240885,0.5,0.09,n
1.61,4.57,1.34,0,1.34,0,900,397632,98.51,0.01,400980,0.5,0.06,y
1.53,1.02,0.77,0.64,3.07,0.13,721,248889,96.16,0.02,255465,0.49,0.12,y
2.88,2.88,0,0,0,0,239,24116.1,85.51,0.05,26937,0.48,0.27,y
1.54,1.42,0.58,0.51,0.26,0.13,29,334.42,88.47,0.14,348,0.46,0.26,y
2.28,1.63,0.22,0.54,0.43,0,160,12180.8,96.97,0.03,12382,0.49,0.06,n
1.48,2.96,0.74,0,0,0,289,38381.5,92.87,0.03,40329,0.49,0.15,n
0.61,0,0,0.61,0.61,0.61,222,21894.7,90.06,0.04,23462,0.48,0.21,y
0.89,2.68,0,0,0,0.89,332,51669.8,94.61,0.03,53479,0.49,0.18,y
2.78,2.29,0.16,0,0.49,0,254,29724.9,93.25,0.04,30978,0.49,0.18,y
