percept,see,hear,feel,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cEXT
0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
0,0,0,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
0,0,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,y
100,100,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
0,0,0,0,161,11667.8,91.73,0.05,12225,0.48,0.26,n
3.51,1.75,0.44,1.32,325,49975.1,95.51,0.03,51220,0.49,0.18,y
1.41,1.41,0,0,297,41728.8,95.58,0.03,42826,0.49,0.17,n
4.2,1.35,1.35,1.35,231,22856.8,86.79,0.06,24946,0.47,0.36,n
0,0,0,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
0,0,0,0,451,98153.1,97.16,0.02,99733,0.49,0.12,y
100,100,0,0,36,185.71,31.21,0.4,377,0.32,0.63,n
0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
7.69,0,0,7.69,154,11424.5,98.25,0.02,11510,0.49,0.05,n
0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
3.03,3.03,0,0,535,133010,93.46,0.02,139855,0.49,0.15,y
2.19,1.46,0,0.73,285,39451.6,98.17,0.02,39856,0.5,0.04,n
3.84,1.63,1.44,0.51,356,59578.9,94.82,0.03,61533,0.49,0.17,n
4.29,1.43,0.71,0.71,222,17150.1,70.55,0.09,22359,0.46,0.34,n
3.1,0,0.78,0.78,145,9755.34,94.75,0.04,10042,0.49,0.14,y
3.17,1.49,0.99,0.79,739,267574,98.39,0.01,270029,0.5,0.07,y
2.71,1.01,0.45,1.24,145,10258,99.63,0.02,10272,0.5,0.01,n
2.19,0.85,0.73,0.43,633,196606,98.6,0.01,198186,0.5,0.07,n
4.12,1.49,1.03,1.03,332,51211.9,93.77,0.03,53309,0.49,0.16,y
3.61,0.86,1.17,0.9,50,1146.83,97.52,0.06,1150,0.49,0.08,n
2.91,1.94,0,0.97,628,193156,98.42,0.01,194779,0.5,0.05,n
2.58,1.45,0.48,0.65,89,3755.17,98.1,0.03,3804,0.5,0.02,y
5.88,3.53,1.18,1.18,1225,743530,99.34,0,746216,0.5,0.02,n
1.2,0.72,0,0,731,264627,99.45,0.01,265324,0.5,0.02,n
3.18,1.45,1.04,0.48,899,396675,98.49,0.01,400536,0.5,0.03,y
1.96,1.18,0.13,0.59,376,68180.7,97.23,0.02,69300,0.49,0.08,y
1.2,0.73,0.13,0.27,102,4359.8,86.33,0.09,4668,0.46,0.36,y
1.43,1.43,0,0,322,50065.9,97.48,0.02,50696,0.49,0.1,n
1.95,0.97,0.49,0.49,385,62433.4,84.9,0.02,72697,0.49,0.04,y
2.87,2.15,0.36,0.36,644,203058,98.38,0.01,204908,0.5,0.05,y
1.54,0.51,0.51,0.51,457,100045,96.44,0.02,102101,0.49,0.16,y
2.79,1.27,0.26,0.96,254,30611.8,96.03,0.02,31359,0.49,0.09,y
2.92,1.46,0.56,0.82,307,42793.6,91.7,0.04,45225,0.48,0.23,n
4.71,2.77,0.55,0.97,294,40662.7,95.06,0.03,41888,0.49,0.14,y
2.53,1.01,0.41,0.89,289,39253.6,94.98,0.03,40499,0.49,0.13,y
3.69,1.59,1.34,0.75,369,65119.5,96.43,0.02,66518,0.49,0.09,y
1.91,0,1.27,0.64,1264,780799,97.97,0.01,792237,0.5,0.06,y
4.28,1.58,1.24,0.79,57,1509.5,98.02,0.05,1522,0.49,0.03,y
3.19,0.96,0.32,1.92,290,40289.5,96.81,0.02,41037,0.49,0.08,y
2.82,1.72,0.63,0.47,198,17832.2,92.37,0.05,18495,0.48,0.29,n
1.7,0.92,0.39,0.33,171,12680.2,88.27,0.06,13671,0.48,0.28,n
3.26,1.09,1.45,0.72,326,50112.9,95.18,0.02,51706,0.49,0.11,y
2.18,1.04,0.55,0.55,241,27321.2,95.26,0.03,28150,0.49,0.11,n
11.76,0,0,5.88,177,14043.1,91.19,0.06,14643,0.48,0.36,n
1.81,0.73,0.36,0.36,464,103794,97.05,0.02,105666,0.49,0.08,y
1.66,0.97,0.28,0.28,265,33752.4,97.22,0.02,34425,0.5,0.03,n
2.09,0.77,0.46,0.7,102,4216.48,83.49,0.09,4694,0.46,0.32,n
0,0,0,0,802,313912,97.98,0.01,318280,0.5,0.04,n
2.73,0.98,0.78,0.78,122,6529.3,89.94,0.07,6893,0.47,0.26,n
1.91,1.11,0.1,0.5,216,21645,94.09,0.03,22428,0.49,0.15,y
1.2,0.8,0,0.2,315,48289.7,98.27,0.02,48683,0.5,0.06,y
3.68,1.87,0.41,1.24,1596,1251780,98.47,0.01,1263790,0.5,0.07,n
1.96,1.57,0,0.39,245,28355.6,95.65,0.03,29130,0.49,0.08,n
4.72,2.5,0.28,1.67,146,9777.14,93.65,0.05,10084,0.48,0.19,n
2.13,2.13,0,0,731,261379,98.23,0.01,264141,0.5,0.06,n
3.29,1.71,0.33,0.85,317,44228.9,88.87,0.03,48360,0.49,0.17,y
2.07,0.64,0.54,0.77,209,20582.2,95.61,0.03,21092,0.49,0.11,n
2.86,1.54,0.81,0.44,58,1054.67,66.08,0.08,1516,0.47,0.12,y
2.19,1,0.4,0.8,270,35195.6,97.64,0.02,35659,0.49,0.06,n
1.93,1.23,0.53,0,75,2650.67,98.14,0.04,2660,0.49,0.05,n
2.45,1,0.56,0.45,135,8479.96,95.16,0.04,8711,0.49,0.12,n
2.85,0.9,0.9,0.6,335,54004.8,97.11,0.02,54838,0.49,0.09,n
3.01,1.88,0.75,0.38,312,44661,92.65,0.05,46150,0.48,0.38,n
2.81,1.73,0.65,0.22,306,44142.5,95.22,0.03,45388,0.49,0.16,n
2.21,0.83,0.74,0.55,1460,1056550,99.34,0,1060480,0.5,0.03,n
3.73,1.36,0.97,1.01,300,43159,96.88,0.02,43968,0.49,0.07,n
2,0.83,0.9,0.21,775,290973,97.27,0.01,296174,0.5,0.08,y
0,0,0,0,381,70739.6,98.24,0.01,71416,0.5,0.04,n
2.42,0,0.97,1.45,573,154659,94.7,0.02,160407,0.49,0.18,n
5.12,2.77,0.75,1.49,332,51657.2,94.58,0.03,53320,0.49,0.2,y
5.38,3.08,0.77,0.77,950,438219,97.42,0.01,445454,0.5,0.09,y
2.04,0.73,0.58,0.58,354,59885.4,96.39,0.02,61142,0.49,0.1,n
2.48,1.35,0.41,0.5,463,103722,97.4,0.02,105113,0.49,0.13,n
3.42,1.1,0.61,1.59,256,30788.5,95.07,0.03,31646,0.49,0.16,n
2.1,1.8,0,0,1350,895790,98.52,0.01,904309,0.5,0.05,y
2.63,1.1,0.66,0.77,196,15523.1,82.07,0.06,17982,0.48,0.25,n
1.13,0.28,0,0.28,258,29260.8,88.95,0.07,30879,0.47,0.46,n
2.72,1.81,0.36,0.54,606,177453,97.12,0.01,180788,0.49,0.07,y
1.93,1.45,0.24,0.24,134,8649.25,98.53,0.02,8697,0.5,0.03,n
1.69,0.56,0.38,0.56,77,2830.5,99.32,0.03,2837,0.5,0.01,n
0.89,0.44,0,0.44,959,441049,96.21,0.01,453251,0.49,0.1,y
2.07,1.04,0.3,0.59,475,108866,97.11,0.02,110588,0.49,0.13,y
3.48,1.22,0.94,0.75,699,236036,97.03,0.01,240885,0.5,0.09,y
1.88,0.81,0,0.81,900,397632,98.51,0.01,400980,0.5,0.06,y
1.53,0.26,0.51,0.64,721,248889,96.16,0.02,255465,0.49,0.12,n
1.44,0.72,0,0.72,239,24116.1,85.51,0.05,26937,0.48,0.27,n
1.74,0.51,0.64,0.51,29,334.42,88.47,0.14,348,0.46,0.26,y
1.41,0.76,0.43,0.22,160,12180.8,96.97,0.03,12382,0.49,0.06,n
0.74,0,0.74,0,289,38381.5,92.87,0.03,40329,0.49,0.15,y
1.82,1.82,0,0,222,21894.7,90.06,0.04,23462,0.48,0.21,n
4.46,1.79,2.68,0,332,51669.8,94.61,0.03,53479,0.49,0.18,n
3.59,1.8,0.65,0.98,254,29724.9,93.25,0.04,30978,0.49,0.18,y
