WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cNEU
1301,84.74,30.32,92.38,97.03,11.22,14.6,85.7,49.35,10.53,7.38,5.92,0.15,0.54,0.69,0.08,3.07,7.53,15.83,7.84,6.07,4,1.08,16.22,5.46,1.54,0.69,2.38,2.77,7.07,6,0.92,0.08,0.15,0.23,3.54,0.31,0.31,0.08,0.69,9.68,2.46,0.92,1.23,2.84,1,2.31,2.08,0.85,0.23,1,1.54,0.46,1,0,0.08,5.92,1.08,1.46,2.31,2.38,0.15,3.46,11.15,2,20.83,2.77,9.76,8.84,1.08,3.61,0.46,0.92,0.23,0.23,1.23,0.08,0.92,0.23,0,0.08,29.75,14.91,2.69,0.38,0,0.31,1.69,0.85,0.61,2.23,2.23,3.84,689,233003,98.59,0.01,235127,0.5,0.03,n
534,80.57,55.95,44.87,93.35,11.12,18.16,79.59,42.88,10.49,6.37,3.75,0.56,0.75,1.12,0.19,4.12,5.99,12.92,6.55,4.31,4.49,1.5,14.61,3.37,1.69,1.12,1.5,1.69,5.43,4.87,0.56,0.19,0.19,0,7.12,0.94,0.19,0.75,1.31,8.8,2.43,0.75,1.87,2.81,0.94,1.69,3.37,1.12,0.75,1.31,2.81,0.75,0.56,0,1.31,8.05,1.69,2.62,1.31,2.43,0.19,2.62,11.42,2.62,15.36,1.87,7.49,6.74,4.31,2.81,0.37,0.19,0,0,2.62,0,2.43,0,0,0,35.21,12.55,2.25,1.87,0.56,0.94,4.12,2.25,2.25,3.75,1.12,3.56,177,14210.2,92.27,0.05,14795,0.48,0.27,y
2340,83.39,67.16,50.17,65.44,7.75,16.79,82.22,46.41,9.74,5.73,1.62,0.21,1.41,2.26,0.21,3.97,7.35,13.42,9.1,3.97,3.8,1.07,16.71,4.87,1.37,0.77,2.14,1.71,6.62,4.36,2.26,0.26,1.07,0.21,8.12,0.17,0.26,0.26,2.52,7.31,1.28,0.47,1.45,1.79,1.37,1.62,3.21,1.92,0.73,0.43,2.39,0.68,0.51,0.17,0.68,6.54,2.09,1.54,1.71,1.58,0.38,2.82,14.15,2.86,20.21,2.18,9.02,9.06,1.37,3.89,0.21,0.26,0.3,0.13,1.97,0.98,0.6,0.38,0.13,0,21.88,11.2,1.07,0.56,0.09,0.43,2.86,0.43,0.17,1.75,0.34,2.99,789,303058,97.74,0.01,307565,0.5,0.07,n
1007,76.19,50.79,7.17,43.9,9.32,11.82,43.3,24.33,6.75,3.97,2.09,0.4,0.6,0.3,0.6,2.78,3.18,4.47,5.26,2.18,2.98,0.99,8.24,3.18,0.79,1.49,1.99,0.89,4.17,2.58,1.59,0.3,0.7,0.2,4.07,0.3,0.2,0.1,0.5,4.77,0.79,0.7,0.89,1.39,0.89,1.49,1.29,0.7,0.1,0.5,0.6,0.2,0.2,0.1,0.1,4.27,0.89,1.39,1.79,0.79,0.1,1.19,5.96,1.99,9.04,1.79,3.08,4.57,1.19,0.99,0,0,0.79,0.1,1.89,0.3,0.7,0.4,0.5,0,46.87,8.04,2.28,0.6,0,1.29,24.33,0.79,0.2,6.16,0.2,2.98,562,146858,93.49,0.02,155268,0.49,0.06,n
296,51.62,34.24,40.75,91.56,5.69,18.92,84.12,44.93,10.14,4.73,2.03,0,0.34,1.69,0.68,5.41,4.73,9.46,11.15,5.07,3.72,4.05,21.28,5.74,1.01,0.68,2.03,1.35,6.08,5.07,1.01,0,0.34,0,4.73,0.34,0,1.69,0,11.82,1.69,1.35,3.04,2.36,2.03,2.7,3.04,1.69,1.01,0,4.05,1.69,1.69,0,0.68,4.05,0.68,0.34,1.01,2.36,0,2.7,15.2,3.04,17.91,1.35,5.74,11.15,1.01,1.69,1.69,0.34,0.34,0,4.05,0.34,1.01,2.36,0.34,0,41.89,25.68,1.69,1.01,0,0.34,5.74,1.69,0,3.04,1.69,1.01,804,312739,97.12,0.01,321175,0.5,0.01,n
1140,59.08,53.16,54.43,46.81,9.27,16.58,86.05,49.91,13.33,8.77,4.91,0.79,1.05,1.75,0.26,4.56,5.79,12.46,8.42,6.75,4.47,2.54,18.42,4.04,2.02,2.02,0.79,2.11,8.16,4.56,3.42,0.44,1.4,0.44,9.04,0.61,0.18,0.53,2.37,11.14,2.81,1.75,1.67,1.67,2.02,2.02,4.47,1.23,2.37,0.61,3.25,1.05,0.96,0.61,0.35,6.67,1.84,1.05,2.63,1.67,0.61,3.95,13.42,1.4,15.35,1.49,5.96,7.81,1.58,0.96,0.18,0.35,0.18,0.44,3.07,0.61,2.02,0.18,0.35,0,41.4,20.88,5.18,1.14,0.35,0.53,2.98,1.14,1.93,2.54,1.05,3.68,493,115837,95.9,0.02,118848,0.49,0.12,n
190,35.27,45.8,90.72,95.69,7.92,11.58,92.63,54.74,14.74,8.95,5.79,0,3.16,0,0,5.79,2.63,13.68,12.11,6.84,6.84,1.58,20,5.26,2.63,2.11,1.58,3.16,8.95,6.84,2.11,0.53,1.05,0,8.42,0,0.53,0,0,12.11,1.05,0.53,2.63,3.68,2.11,4.74,1.05,0,1.05,0,1.58,0.53,0,0,0.53,10.53,1.58,3.16,0.53,5.26,1.05,4.21,16.32,5.26,20,2.63,5.79,11.05,4.21,3.16,0.53,0,0.53,0,1.58,0.53,0.53,0.53,0,0,36.84,17.89,3.16,0,0.53,0,11.05,2.11,0,1.58,0,0.53,654,207792,97.61,0.01,210797,0.5,0.08,n
450,86.07,57.07,86.27,75.29,9.78,17.56,84,46.22,11.33,6.89,3.56,1.33,1.11,0.89,0,4.22,8.67,12.89,6.44,4.67,3.56,0.89,15.56,3.56,1.56,0.44,3.78,2,6.67,4.67,2,0.22,1.11,0.22,6.22,0.22,0.44,0,1.33,9.33,1.78,0.44,0.67,2.44,2.44,1.78,2.22,1.33,0,0.67,3.56,1.56,0.67,0.67,0.44,6.89,2.22,0.67,2.22,2,0,2.89,11.56,2.44,22,3.78,9.78,9.56,2,2.67,0,0.44,0.44,0,1.78,0.67,0.44,0.22,0.22,0,31.33,13.78,3.56,0.67,0,1.11,0.89,2.67,1.78,1.78,2.22,2.89,845,350408,98.5,0.01,353642,0.5,0.05,y
634,78.81,64.18,50.9,94.04,13.78,16.72,86.12,49.53,13.88,8.52,4.42,0.16,3.15,0.79,0,5.36,6.94,14.2,8.83,2.52,3.79,1.42,17.98,4.57,0.95,0.79,1.26,0.47,9.46,6.94,2.52,0.32,0.32,0.32,8.68,0.16,0.16,0.79,0.16,9.94,2.05,0.95,2.21,3.79,1.1,2.52,2.52,1.89,0.16,0.32,1.58,0.16,0.47,0,0.63,7.57,1.89,1.42,1.26,3.15,0.47,3.15,12.3,2.21,15.14,3.94,5.68,5.52,1.1,3.79,0.95,1.1,0,0.16,2.52,0,2.21,0.32,0,0,18.93,10.25,1.42,0,0,2.05,2.84,0,0.63,0.79,0.32,0.63,714,249452,98.28,0.01,251861,0.5,0.05,n
146,29.39,47.26,68.98,25.77,8.11,10.27,81.51,40.41,15.07,9.59,5.48,0.68,2.05,1.37,0,5.48,2.74,5.48,7.53,4.79,6.85,2.05,17.81,4.11,0.68,1.37,0.68,1.37,13.7,6.85,6.85,0,4.11,0,8.22,0,0.68,1.37,0.68,5.48,2.05,0,0,0.68,1.37,1.37,3.42,2.74,0,0.68,4.11,2.05,0,0.68,0.68,9.59,2.74,4.11,1.37,2.05,0,0.68,17.12,4.11,16.44,5.48,5.48,6.16,1.37,4.11,0,0.68,0,0,10.27,2.74,5.48,0,4.11,0.68,58.9,4.11,7.53,7.53,0,1.37,19.18,0,1.37,4.11,0.68,13.01,549,141358,94.32,0.02,146775,0.49,0.18,y
23,99,66.81,98.89,99,5.75,13.04,86.96,39.13,4.35,0,0,0,0,0,0,4.35,13.04,17.39,0,4.35,0,0,0,17.39,0,4.35,4.35,0,8.7,8.7,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,4.35,0,0,0,4.35,13.04,0,4.35,4.35,4.35,0,0,8.7,0,34.78,0,13.04,21.74,13.04,0,8.7,0,0,0,4.35,0,4.35,0,0,0,117.39,52.17,0,0,4.35,17.39,34.78,4.35,0,0,4.35,0,1560,1200910,98.88,0,1213740,0.5,0,y
101,88.12,53.96,99,79.81,11.22,16.83,85.15,45.54,11.88,7.92,5.94,0.99,0.99,0,0,3.96,5.94,15.84,4.95,5.94,2.97,0,17.82,1.98,0,0,2.97,0,4.95,3.96,0.99,0,0.99,0,4.95,0,0,0.99,0,1.98,0,0,0,0,1.98,0,0.99,0,0.99,0,3.96,0,3.96,0,0,5.94,1.98,0.99,0.99,1.98,0,2.97,12.87,4.95,29.7,10.89,6.93,13.86,3.96,1.98,0.99,0,1.98,0,3.96,0,3.96,0,0,0,28.71,0.99,0,0,0,0,22.77,1.98,0,0.99,1.98,0,278,36276,94.9,0.03,37357,0.49,0.16,n
37,39.22,60.66,4.5,99,9.25,10.81,81.08,37.84,18.92,10.81,8.11,0,2.7,0,0,8.11,0,8.11,8.11,2.7,2.7,0,16.22,0,0,5.41,0,0,8.11,8.11,0,0,0,0,8.11,0,0,0,0,16.22,5.41,2.7,5.41,2.7,0,0,8.11,0,5.41,0,5.41,2.7,0,0,0,5.41,5.41,0,0,0,0,0,16.22,0,2.7,0,0,2.7,2.7,5.41,0,0,0,0,2.7,0,2.7,0,0,0,27.03,0,2.7,0,0,5.41,13.51,0,0,0,2.7,2.7,223,21241,86.59,0.06,23383,0.48,0.31,y
260,48.13,66.4,19.17,75.69,10.83,12.69,91.54,54.62,17.69,8.46,2.31,0.77,0.77,2.69,1.92,9.23,6.92,11.15,10.38,6.15,3.46,1.54,19.62,6.54,3.08,1.92,2.69,1.92,8.08,5.38,2.69,0,0.38,0.38,10,0,0,2.69,0,13.08,2.31,1.92,3.08,2.69,1.54,3.08,0.77,0.77,0,0,2.31,0.77,1.15,0,0.38,8.08,2.31,2.31,1.54,3.08,0.38,2.31,13.46,2.69,13.85,1.92,3.85,8.46,1.15,3.85,0,0.38,0,0,1.92,0.38,1.54,0,0,0,24.62,11.92,3.08,0.38,0,0.77,2.69,0.38,2.31,1.54,0,1.54,298,41492.8,94.4,0.03,42968,0.49,0.14,n
82,56.27,64.29,48.21,48.39,8.2,15.85,82.93,46.34,13.41,8.54,3.66,0,3.66,0,1.22,4.88,8.54,8.54,12.2,4.88,4.88,0,12.2,4.88,1.22,2.44,2.44,2.44,6.1,3.66,2.44,0,0,0,8.54,1.22,0,0,0,10.98,1.22,1.22,1.22,4.88,0,4.88,2.44,0,2.44,0,2.44,0,2.44,0,0,13.41,3.66,1.22,4.88,3.66,0,0,13.41,2.44,12.2,1.22,7.32,3.66,6.1,4.88,0,0,0,0,2.44,0,2.44,0,0,0,31.71,17.07,7.32,0,0,2.44,1.22,2.44,0,1.22,0,0,298,42048.1,95.66,0.03,43144,0.49,0.12,n
200,41.53,74.23,53.33,98.17,10,12.5,92,46.5,13.5,10,5,0.5,3.5,1,0,3.5,3.5,9.5,10,4.5,7.5,1,22,3.5,0,0.5,2.5,3,10.5,8,2.5,0,1,0.5,12,1.5,1,1.5,2,12,2,1,4,5,1,3,3,2.5,0,0,2.5,0,0,0,1.5,9,2,0,5,1,1,1,19,4.5,16.5,2.5,8.5,7.5,0.5,1,1.5,0,5.5,0.5,1.5,0.5,0.5,0.5,0,0,29,9.5,2,0,0,1,6,0.5,2,1,2,5,686,223635,95.46,0.02,230361,0.49,0.16,n
1176,78.53,52.72,71.95,73.42,12,18.37,81.21,44.73,11.99,8.08,5.19,0.51,2.04,0.26,0.09,3.83,7.06,12.33,6.72,4.76,4.34,1.02,15.39,3.91,0.77,1.62,3.15,0.94,7.4,4.93,2.38,0.17,0.94,0.43,7.31,0.43,0.26,0.34,0.68,9.18,1.79,1.02,1.53,1.62,1.45,2.98,2.55,1.62,0.6,0.26,1.7,0.26,0.34,0.09,0.68,7.48,2.04,0.68,3.06,1.7,0.68,2.55,10.88,1.62,16.33,3.49,6.63,6.29,2.38,2.3,0.51,0.43,0.51,0.26,2.89,0,1.7,0.6,0.6,0,31.46,13.69,2.3,0.34,0.09,1.02,3.57,1.11,1.19,2.04,1.62,4.51,631,192351,97.08,0.02,195496,0.49,0.14,y
239,84.52,54.98,73.05,99,7.71,19.25,84.94,45.19,8.37,5.02,3.35,0,0.42,1.26,0,3.35,6.28,15.48,7.53,5.44,5.44,1.26,15.06,8.37,1.26,0.84,2.09,1.26,12.13,10.04,2.09,0,0,0.42,7.11,0.42,1.26,1.26,0.84,6.28,0.84,0.84,1.26,1.26,1.67,0.84,5.02,2.09,2.09,0.42,3.35,1.26,0.42,0.42,1.26,6.69,2.09,0.84,1.26,2.09,0.42,1.67,10.04,1.26,22.18,2.09,13.39,7.53,2.93,3.77,0.84,0.42,0,0,3.35,0.84,1.67,0.42,0.42,0,28.45,7.95,2.09,0.42,0,0.84,9.21,2.51,0.84,2.51,1.67,0.42,1091,584445,98.47,0.01,590203,0.5,0.05,n
221,58.07,88.03,34.15,96.67,8.5,18.1,77.83,44.8,12.67,10.41,2.71,1.81,3.62,1.36,0.9,2.26,4.98,11.31,8.14,6.33,5.88,0.9,14.93,6.33,0.45,0.45,4.07,1.36,9.95,7.24,2.26,0,0.45,1.36,12.67,0.9,0,1.36,0,8.6,1.36,0.9,1.81,3.17,1.81,2.71,0.9,0,0.45,0.45,3.62,0.9,0.45,0.45,1.81,7.69,4.07,0,1.81,1.36,0.45,2.26,10.41,1.81,14.93,1.81,7.24,4.52,0.45,0.45,0.9,0.45,0.45,0,1.36,0,0.45,0.9,0,0,40.27,12.22,4.07,2.26,0,1.81,11.31,1.81,0,2.71,2.71,1.36,622,188741,98.04,0.01,190791,0.5,0.11,y
309,61.24,30.22,72.54,25.77,23.77,18.45,82.52,45.63,11.65,7.12,5.18,0.32,0.32,0.97,0.32,4.53,5.5,11.65,10.03,4.85,4.53,2.59,18.45,5.5,1.29,1.29,3.56,2.59,7.12,3.56,3.56,0.32,1.62,0.65,7.44,0.32,1.29,0.97,1.62,11.33,1.94,1.62,1.62,3.56,1.29,4.53,2.91,1.62,0.32,0.65,2.27,0.97,0.65,0.65,0.32,7.44,1.62,2.27,3.56,1.29,0,2.91,12.94,1.94,15.53,1.29,7.77,7.12,2.91,1.29,0,0.65,0.97,0.32,2.91,0.97,1.62,0.32,0.65,0,17.8,1.94,1.62,0.32,0,0.97,4.21,0.97,0.65,2.59,1.94,2.59,267,33049.5,93.77,0.03,34304,0.49,0.2,y
530,60.97,53.02,65.53,99,19.63,12.45,85.85,48.3,11.7,8.49,4.72,0.38,2.45,0.19,0.75,3.21,7.17,11.13,9.43,6.42,4.53,2.83,18.3,7.17,1.51,1.32,4.15,3.21,8.87,7.55,1.32,0.19,0.38,0.19,8.87,0,0.19,0.75,0,14.34,3.02,2.08,1.32,3.21,3.21,3.21,2.64,2.08,0,0.19,3.58,1.13,0.94,0,0.57,7.92,2.64,1.51,2.64,2.64,0,2.08,13.96,2.26,13.96,2.08,6.04,6.04,1.89,1.32,0.38,0.19,0.19,0,2.08,0.19,1.7,0,0.38,0,29.81,8.87,2.64,3.58,0.19,0.19,3.02,0.38,0.75,2.83,2.83,4.53,1151,650745,98.5,0.01,656894,0.5,0.06,n
183,78.85,74.41,4.68,67.1,9.63,22.95,67.21,33.88,5.46,3.83,1.09,0,0,2.73,0,1.64,4.92,8.2,12.02,3.28,1.64,0,20.22,5.46,0.55,0.55,6.01,0.55,7.65,4.92,2.73,0,1.09,0,7.65,0.55,0.55,0,3.83,6.01,2.73,1.09,1.09,0,1.09,0,1.64,0,0,1.09,4.37,1.09,1.64,0,1.09,6.01,2.19,1.09,0,2.19,0.55,2.19,14.75,3.28,10.93,2.19,4.92,5.46,4.92,1.09,1.64,0,1.09,0,1.64,0,0.55,1.09,0,0,32.24,7.65,1.09,2.73,0,1.64,4.92,2.19,0,0.55,0,11.48,313,45656,94.11,0.03,47527,0.49,0.13,y
2586,68.66,41.29,83.47,94.64,11,17.36,88.9,47.41,12.14,8.7,6.26,0.5,0.5,1.12,0.31,3.44,4.87,14.08,6.92,5.49,7.04,1.04,17.32,5.34,1.86,0.97,2.44,2.09,8.31,6.42,1.89,0.35,0.19,0.58,5.92,1.01,0.54,0.93,0.89,7.58,1.55,1.2,0.85,1.51,1.12,1.82,1.78,1.04,0.12,0.5,2.71,0.5,0.58,0,1.08,9.16,2.13,1.86,2.32,3.17,0.31,2.44,11.95,3.29,19.18,2.9,5.96,10.79,5.03,2.05,1.86,0.46,0.31,0.04,3.05,0,2.47,0.15,0.46,0.08,35.61,16.78,4.02,0.31,0.08,0.35,3.56,1.28,0.62,2.9,0.39,5.34,965,453685,97.74,0.01,460223,0.5,0.08,n
429,88.44,38.97,48.31,33.83,6.6,13.75,54.31,29.14,5.36,4.2,3.5,0,0.47,0,0.23,1.17,2.33,11.89,4.2,3.96,3.5,0.93,10.26,2.56,1.17,0.7,3.5,0.93,4.2,2.33,1.86,0.23,0.47,0.23,3.73,0.93,0.47,0.93,0.47,3.03,0.23,0.23,0.7,0.23,0.23,1.4,1.4,0.7,0.47,0.23,1.63,0.47,0.23,0.23,0.7,4.2,0.7,0.47,1.4,1.86,0.47,1.4,7.46,1.63,16.32,2.8,7.93,6.06,0.7,0.93,1.4,0.23,0.23,0.23,5.13,1.17,3.03,0.23,1.17,0,30.77,18.65,0.93,0.47,0,0.7,7.69,0.23,0,0.93,0,1.17,671,216520,96.61,0.02,220974,0.49,0.17,y
356,52.39,32.66,95.05,97.8,9.13,10.67,91.01,49.44,14.33,9.55,7.58,0.28,1.69,0,0,4.78,5.62,12.08,8.71,8.71,4.49,1.12,15.45,5.62,1.4,0.56,2.25,2.53,13.2,9.27,3.93,0.28,0.84,0.28,5.06,0.28,0,0.28,0,8.71,1.97,0.56,1.4,1.12,1.69,2.81,2.81,0.28,1.4,0.84,2.81,0.56,0.84,0,0.56,6.74,2.25,2.25,1.12,1.12,0.56,4.49,10.96,2.25,19.94,1.4,7.3,12.36,3.09,3.65,0.84,0,0.28,0.28,6.46,0,6.46,0,0.84,0,46.63,35.11,1.12,0.28,0,0,4.49,1.12,0,3.09,0,1.4,241,28030.7,97.74,0.02,28314,0.49,0.07,n
